company_id,name,sectors,n_ties,n_directors,first_year,last_year
favoriserdeveloppementindustrie,Société Générale pour favoriser le développement de l'industrie,Documents généraux (par ordre chronologique),12,12,1937,1937
airunion,Air Union,Transports aériens,12,12,1927,1927
banquecolonialeetudesentreprisesmutuelles,Banque coloniale d'études et d'entreprises mutuelles,Groupes financiers transcoloniaux,12,12,1922,1922
centraleenergieelectriquerouenchateauroux,"Cie Centrale d'énergie électrique, Rouen, Châteauroux",Groupes financiers transcoloniaux,12,12,1912,1912
financiereindustrielle,"Compagnie financière et industrielle, puis Compagnie financière (ancienne Banque Le Roy-Dupré",Groupes financiers transcoloniaux,12,12,1911,1922
entreprisesindustriellesminieres,Entreprises industrielles et minieres,Groupes financiers transcoloniaux,12,12,1919,1919
cotoncolonial,Compagnie Française du Coton colonial,Groupes industriels transcoloniaux,12,12,1910,1910
eieditionsdocumentairesindustrielles,"S. É. D. I., Société d'éditions documentaires industrielles",Bâtiment et travaux publics,12,12,1935,1935
omniumlyonnaischeminsfertramways,"Omnium lyonnais de chemins de fer et de tramways, puis Omnium lyonnais",Transports terrestres,12,12,1903,1906
parisfrance,Paris-France,Sociétés commerciales transcoloniales,12,12,1915,1915
parisiennecomptoirscoloniaux,Compagnie Parisienne des Comptoirs coloniaux,Sociétés commerciales transcoloniales,12,12,1921,1924
constructionmachinestanneriecorroieriemegisserie,"CONSTRUCTION de MACHINES de TANNERIE, CORROIERIE, MEGISSERIE",Groupes industriels transcoloniaux,12,12,1925,1925
financiereexploitationsindustrielles,Société Financière d'exploitations industrielles,Groupes financiers transcoloniaux,26,11,1927,1953
moktaelhadid,MOKTA-EL-HADID,Groupes miniers transcoloniaux,26,11,1925,1933
minierecoloniale,Compagnie Minière coloniale,Documents généraux (par ordre chronologique); Groupes miniers transcoloniaux,20,11,1934,1937
navigationfraissinet,Cie de navigation Fraissinet,Documents généraux (par ordre chronologique); Transports maritimes,16,11,1937,1940
marseillaisenavigationvapeurfraissinet,Compagnie marseillaise de navigation à vapeur Fraissinet et Cie,Transports maritimes,13,11,1920,1920
transportsmaritimesafriqueoccidentale,Compagnie de Transports maritimes de l'Afrique occidentale française,Documents généraux (par ordre chronologique); Transports maritimes,12,11,1936,1937
usinesmetallurgiquesbasseloire,Usines métallurgiques de la BASSE-LOIRE,Groupes financiers transcoloniaux,12,11,1925,1925
chalassons,Chalas and Sons,Groupes miniers transcoloniaux,12,11,1925,1936
commercialeexportateursimportateursreunis,Compagnie Commerciale d’Exportateurs et d’importateurs réunis,Sociétés commerciales transcoloniales,12,11,1901,1901
phosphatescierp,Compagnie des Phosphates de Cierp,Groupes miniers transcoloniaux,12,11,1921,1925
havraisepeninsulairenavigation,Nouvelle Cie Havraise Péninsulaire de navigation,Documents généraux (par ordre chronologique),11,11,1937,1937
maritimenationale,Société maritime nationale,Documents généraux (par ordre chronologique),11,11,1937,1937
banqueindustrielleafriquenord,Banque industrielle de l'Afrique du Nord,Documents généraux (par ordre chronologique),11,11,1937,1937
creditfoncierindochine,Crédit foncier de l’Indochine,Documents généraux (par ordre chronologique),11,11,1937,1937
unionfinanciereextremeorient,Union financière d'Extrême-Orient,Documents généraux (par ordre chronologique),11,11,1937,1937
