person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
hulot-e,Hulot,Étienne Hulot,1,1,1,administrateur,1899,1899,Sociétés commerciales
guet-e,Guët,Eugène Guët,1,1,1,administrateur,1899,1899,Sociétés commerciales
sigard-six-e,Sigard-Six,Émile Sigard-Six,1,1,1,administrateur,1899,1899,Sociétés commerciales
ritaine-descamps-g,Ritaine-Descamps,G. Ritaine-Descamps,1,1,1,administrateur,1902,1902,Sociétés commerciales
segard-six-e,Segard-Six,E. Segard-Six,1,1,1,administrateur,1902,1902,Sociétés commerciales
lemmens,Lemmens,Lemmens,1,1,1,administrateur,1902,1902,Sociétés commerciales
ritaine-descamps-est-remplace-par-m-h-grard,Ritaine-Descamps est remplacé par M. H. Grard,Ritaine-Descamps est remplacé par M. H. Grard,1,1,1,administrateur,1924,1924,Sociétés commerciales
beulque-lemmens,Beulque-Lemmens,Beulque-Lemmens,1,1,1,administrateur,1924,1924,Sociétés commerciales
messelin,Messelin,Messelin,1,1,1,administrateur,1924,1924,Sociétés commerciales
romberg-a,Romberg,A. Romberg,1,1,1,administrateur,1904,1904,Sociétés commerciales
greenlhalgh-h,Greenlhalgh,H.-R. Greenlhalgh,1,1,1,administrateur,1904,1904,Sociétés commerciales
moseley-l,Moseley,Moseley,1,1,1,administrateur,1904,1904,Sociétés commerciales
