person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
monchicourt-a,Monchicourt,A. Monchicourt; A.-G. Monchicourt; A.-P. Monchicourt; A.G. Monchicourt; A.P. Monchicourt,1,1,15,administrateur,1925,1953,Banques et sociétés financières
dervieu-p,Dervieu,P. Dervieu,1,1,9,administrateur,1925,1948,Banques et sociétés financières
allain,Allain,Allain,1,1,9,administrateur,1925,1948,Banques et sociétés financières
jacobs-e,Jacobs. 24,E. Jacobs; E. Jacobs. 24,1,1,8,administrateur,1929,1953,Banques et sociétés financières
palante-a,Palante,A. Palante; Palante,1,1,7,administrateur,1925,1948,"Eaux, électricité (utilities)"
ithier-g,Ithier,G. Ithier; Ithier,1,1,6,president,1929,1948,"Eaux, électricité (utilities)"
rostand-j,Rostand,J. Rostand,1,1,6,administrateur,1925,1937,Banques et sociétés financières
maggiar-a,Maggiar,A. Maggiar; A. Maggiar. 25,1,1,6,directeur,1931,1953,Banques et sociétés financières
lagasse-de-locht,Lagasse de Locht,Lagasse de Locht,1,1,5,administrateur,1925,1940,"Eaux, électricité (utilities)"
pierre-c,Pierre,Ch. Pierre,1,1,5,administrateur,1927,1937,Banques et sociétés financières
barbut-j,Barbut,Barbut,1,1,5,administrateur,1937,1953,Banques et sociétés financières
chautard-j,Chautard,J. Chautard,1,1,4,administrateur,1929,1940,Sociétés diverses
donati-a,Donati,A. Donati,1,1,4,administrateur,1929,1940,Sociétés diverses
enterprise-and-development-cy-e,Enterprise and Development Cy,Egyptian Enterprise and Development Cy,1,1,4,administrateur,1929,1940,Sociétés diverses
sallandrouze-de-lamornaix,Sallandrouze de Lamornaix,Sallandrouze de Lamornaix,1,1,4,administrateur,1914,1933,Transports terrestres
rey-a,Rey,A. Rey,1,1,4,administrateur,1914,1933,Transports terrestres
