company_id,name,sectors,n_ties,n_directors,first_year,last_year
agronomiquemarocaine,Agronomique Marocaine,Documents généraux (par ordre chronologique); Industries agro-alimentaires,24,13,1926,1958
minesissougri,Société des Mines de l'Issougri,Documents généraux (par ordre chronologique); Mines,22,13,1951,1952
bonlogis,Le Bon Logis,Documents généraux (par ordre chronologique); Sociétés foncières et immobilières,21,13,1922,1930
huileriessavonneriescherifiennes,Huileries et savonneries chérifiennes,Documents généraux (par ordre chronologique),20,13,1913,1926
tuileriesbriqueteriesmarrakech,Tuileries et briqueteries de Marrakech,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",19,13,1930,1930
chalutagemediterranee,Société de Chalutage de la Méditerranée,Industries agro-alimentaires,18,13,1922,1922
cherifienneagricultureelevage,Société Chérifienne d'Agriculture et d'élevage,Documents généraux (par ordre chronologique); Industries agro-alimentaires,16,13,1924,1926
afrique,L'Afrique française,Documents généraux (par ordre chronologique),16,13,1925,1938
marocaineexplosifsaccessoiresmines,Sté marocaine d'explosifs et d'accessoires de mines,Documents généraux (par ordre chronologique),15,13,1926,1969
siemensfrance,SIEMENS-FRANCE,Documents généraux (par ordre chronologique),15,13,1944,1944
etudesentreprisesomniummarocain,Société d'études et d'entreprises Omnium marocain,"Banques, groupes financiers, assureurs",15,13,1912,1926
entreprisemarocaineasphaltage,Entreprise marocaine d'asphaltage,Documents généraux (par ordre chronologique),14,13,1935,1935
industrielleagricolemarrakech,Société industrielle et agricole de Marrakech,Documents généraux (par ordre chronologique),13,13,1926,1930
industriellemarbresouvres,Société industrielle des marbres ouvrés,Documents généraux (par ordre chronologique),13,13,1930,1930
sucrieremarocaine,Compagnie Sucrière Marocaine,Documents généraux (par ordre chronologique); Industries agro-alimentaires,31,12,1936,1969
abattoirsmunicipauxmaroc,Sté générale des abattoirs municipaux au Maroc,Documents généraux (par ordre chronologique); Industries agro-alimentaires,24,12,1922,1927
banquemarocaineagriculturecommerceindustrie,"Banque marocaine pour l'agriculture, le commerce et l'industrie","Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",24,12,1921,1922
polietchaussonmaroc,Poliet et Chausson-Maroc,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",23,12,1929,1940
marocaineconstructionmetallique,Société Marocaine de Construction métallique,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens",22,12,1922,1969
minesmaroc,Société Française des Mines du Maroc,Documents généraux (par ordre chronologique); Mines,21,12,1878,1927
omniumentreprises,Omnium d'entreprises,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",19,12,1913,1969
etudesmarocainescommerceiindustriemines,"Sté d'études marocaines pour le commerce, I'industrie et les mines","Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens",18,12,1913,1922
forestierekcebia,Société Forestière de Kcebia,"Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, meubles, cellulose, papier…",18,12,1926,1933
cherifienneetudesminieres,Société Chérifienne d'études minières,Documents généraux (par ordre chronologique); Mines,18,12,1929,1969
tuileriesbriqueteriesplatrierescasablanca,"Tuileries, briqueteries et plâtrières de Casablanca","Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",17,12,1913,1920
etudesexploitationsminierestadla,Société d'études et d'exploitations minières du Tadla,Documents généraux (par ordre chronologique),17,12,1937,1969
etudestravauxartmaroc,Société d’Études et de Travaux d'art du Maroc,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",17,12,1920,1930
exportationimportationmaroc,Sté d'exportation et d'importation au Maroc,Documents généraux (par ordre chronologique),16,12,1922,1926
marocaineapplicationselectriques,Société marocaine d'applications électriques,Documents généraux (par ordre chronologique),16,12,1937,1969
socliegeslasserens,Soc. an. des LIÈGES DE LASSERENS,Documents généraux (par ordre chronologique),14,12,1925,1938
unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,Commerce; Documents généraux (par ordre chronologique),14,12,1927,1944
salinesfedhala,Salines de Fedhala,Mines,14,12,1926,1926
marocainescieriesatlas,Société marocaine des Scieries de l'Atlas,"Documents généraux (par ordre chronologique); Filière bois : exploitation forestière, meubles, cellulose, papier…",13,12,1922,1958
bordelaisemaroc,"Compagnie Bordelaise du Maroc, puis Bordelaise de commerce au Maroc",Commerce; Documents généraux (par ordre chronologique),13,12,1926,1949
developpementminier,Société de développement minier,Documents généraux (par ordre chronologique),13,12,1904,1949
domainekorifla,Société an. du domaine de Korifla,Documents généraux (par ordre chronologique),12,12,1926,1937
agencefrance,Agence en France,Documents généraux (par ordre chronologique),12,12,1937,1937
portsmarocainsmehedyaportlyautey,Société des ports marocains de Méhédya-Port-Lyautey et,Documents généraux (par ordre chronologique),12,12,1937,1937
unionovineafriquenord,Union ovine de l'Afrique du Nord,Documents généraux (par ordre chronologique),12,12,1937,1937
transportsautomobilessouss,Société anon. des transports automobiles du Souss,Documents généraux (par ordre chronologique),12,12,1933,1933
francocherifiennenavigation,Cie franco-chérifienne de navigation,Documents généraux (par ordre chronologique),12,12,1951,1951
bankbritishwestafricalimited,Bank of British West Africa Limited,"Banques, groupes financiers, assureurs",12,12,,
syndicatmaroc,Syndicat général pour le Maroc,"Banques, groupes financiers, assureurs",12,12,1921,1921
carrieresmarocaines,Société des Carrières marocaines,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",32,11,1929,1969
lyonnaisesebou,Société Lyonnaise du Sebou,"Documents généraux (par ordre chronologique); Transports maritimes, fluviaux et aériens",28,11,1919,1926
africaineagricoleminiere,Compagnie africaine agricole et minière,"Banques, groupes financiers, assureurs; Documents généraux (par ordre chronologique)",26,11,1930,1969
nordafricaineetudesminieresindustrielles,Société Nord-Africaine d’Études minières et industrielles,Documents généraux (par ordre chronologique); Mines,25,11,1920,1958
miroiteriemaroc,Miroiterie générale du Maroc,"Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",23,11,1922,2007
huileriesmaghreb,Société des Huileries du Maghreb,Documents généraux (par ordre chronologique); Industries agro-alimentaires,21,11,1920,1927
lyonnaisechaouia,Société Lyonnaise de la Chaouia,Documents généraux (par ordre chronologique); Industries agro-alimentaires,20,11,1911,1950
briqueteriescarrieresusineselhank,"Briqueteries, carrières et usines d'El-Hank","Bâtiment et travaux publics, matériaux de construction, céramique; Documents généraux (par ordre chronologique)",18,11,1913,1926
