company_id_1,company_id_2,company_name_1,company_name_2,weight,shared_directors
anciensetablissementschpeyrissaccolonialeafrique,cochez,Anciens Établissements Ch. Peyrissac et Cie (Cie coloniale de l'Afrique,COCHEZ,3,e-guignard; gorgeu-m; peyrissac-l
agboville,comptoirsafricains,AGBOVILLE,Compagnie Générale des Comptoirs africains,3,calcat-f; levy-g; mizraki-m
agboville,cotonafricain,AGBOVILLE,"Société du Coton africain, puis Coton et des textiles africains",3,calcat-f; levy-g; mizraki-m
agboville,forestieresassandra,AGBOVILLE,Compagnie Forestière de Sassandra,3,calcat-f; mounier-p; vialle-j
agboville,kong,AGBOVILLE,Compagnie française de Kong,3,calcat-f; levy-g; mizraki-m
agboville,plantationselimacafeiersaboisso,AGBOVILLE,"Société des Plantations d'Élima, caféiers à Aboisso",3,calcat-f; levy-g; mizraki-m
bordelaisecomptoirsafricains,cotonafricain,Compagnie Bordelaise des Comptoirs africains,"Société du Coton africain, puis Coton et des textiles africains",3,calcat-f; delmas-p; levy-g
bordelaisecomptoirsafricains,kong,Compagnie Bordelaise des Comptoirs africains,Compagnie française de Kong,3,calcat-f; katz-m; levy-g
comptoirsafricains,plantationselimacafeiersaboisso,Compagnie Générale des Comptoirs africains,"Société des Plantations d'Élima, caféiers à Aboisso",3,calcat-f; levy-g; mizraki-m
comptoirsafricains,transitgrandlahou,Compagnie Générale des Comptoirs africains,Société de Transit de Grand-Lahou,3,calcat-f; levy-g; mizraki-m
cotonafricain,forestiereindenie,"Société du Coton africain, puis Coton et des textiles africains",Compagnie Forestière de l'Indénié,3,calcat-f; levy-g; mizraki-m
cotonafricain,kong,"Société du Coton africain, puis Coton et des textiles africains",Compagnie française de Kong,3,calcat-f; levy-g; mizraki-m
cotonafricain,plantationselimacafeiersaboisso,"Société du Coton africain, puis Coton et des textiles africains","Société des Plantations d'Élima, caféiers à Aboisso",3,calcat-f; levy-g; mizraki-m
cotonafricain,transitgrandlahou,"Société du Coton africain, puis Coton et des textiles africains",Société de Transit de Grand-Lahou,3,calcat-f; levy-g; mizraki-m
forestiereindenie,plantationsreuniesouestafricain,Compagnie Forestière de l'Indénié,Plantations réunies de l'Ouest-Africain,3,calcat-f; et-maurice-mizraki; levy-g
forestieresassandra,transitgrandlahou,Compagnie Forestière de Sassandra,Société de Transit de Grand-Lahou,3,calcat-f; mounier-p; vialle-j
kong,plantationsreuniesouestafricain,Compagnie française de Kong,Plantations réunies de l'Ouest-Africain,3,calcat-f; levy-g; merle-m
kong,transitgrandlahou,Compagnie française de Kong,Société de Transit de Grand-Lahou,3,calcat-f; levy-g; mizraki-m
plantationselimacafeiersaboisso,transitgrandlahou,"Société des Plantations d'Élima, caféiers à Aboisso",Société de Transit de Grand-Lahou,3,calcat-f; levy-g; mizraki-m
actionjouissance,kong,ACTION DE JOUISSANCE,Compagnie française de Kong,3,levy-g; mizraki-m; vivier-e
actionjouissance,plantationselimacafeiersaboisso,ACTION DE JOUISSANCE,"Société des Plantations d'Élima, caféiers à Aboisso",3,levy-g; merle; mizraki-m
agboville,boiscoteivoire,AGBOVILLE,Compagnie des Bois de la Côte-d'Ivoire,3,levy-g; mizraki-m; plagelat-l
agboville,importationboisexotiques,AGBOVILLE,Société d'Importation de bois exotiques,3,levy-g; mizraki-m; plagelat-l
boiscoteivoire,importationboisexotiques,Compagnie des Bois de la Côte-d'Ivoire,Société d'Importation de bois exotiques,3,levy-g; mizraki-m; plagelat-l
boiscoteivoire,kong,Compagnie des Bois de la Côte-d'Ivoire,Compagnie française de Kong,3,levy-g; mizraki-m; picanon-e
forestiereindenie,importationboisexotiques,Compagnie Forestière de l'Indénié,Société d'Importation de bois exotiques,3,levy-g; mizraki-m; plagelat-l
