from_company_id,to_company_id,from_name,to_name,n_observations,first_year,last_year,roles
comtebertrandbourdonnaye,explorationcoteivoire,comte Bertrand de la Bourdonnaye,Compagnie d'Exploration de la Côte-d'Ivoire,2,1901,1929,administrateur:2
comtedelamarre,explorationcoteivoire,comte Delamarre,Compagnie d'Exploration de la Côte-d'Ivoire,2,1903,1929,administrateur:2
maritime,dahomey,et la Société Maritime,Société Française du Dahomey,2,1920,1920,administrateur:2
pdutastacreditmobilierfrs,banquecommercialemaroc,P Dutasta [Crédit mobilier frs,Banque commerciale du Maroc,1,1922,1922,administrateur:1
banquetransatlantique,banquecommercialemaroc,Banque transatlantique,Banque commerciale du Maroc,1,1922,1922,administrateur:1
creditfoncier,caissepretsimmobiliers,Crédit foncier,Caisse de prêts immobiliers,1,1922,1922,administrateur:1
comtegbeaumont,caissepretsimmobiliers,comte G de Beaumont,Caisse de prêts immobiliers,1,1922,1922,administrateur:1
marseillaisemadagascar,creditfonciermarocain,Cie marseillaise de Madagascar…],Crédit foncier marocain,1,1925,1925,administrateur:1
futurvpdtmarocaine,marocaineholdingmarocainschneider,futur v.-pdt de la Cie marocaine],Compagnie marocaine[holding marocain de Schneider-Le,1,1913,1913,administrateur:1
lucienfontaineetsfontaineneuilly,entreprisecommercialeafriquenord,Lucien Fontaine [Éts L. Fontaine à Neuilly,Entreprise commerciale de l'Afrique du Nord,1,1913,1913,administrateur:1
holdingcherifienbanqueparis,commercialefrancomarocaine,holding chérifien de la Banque de Paris,Sté commerciale franco-marocaine,1,1913,1913,administrateur:1
pecheries,commercialefrancomarocaine,de la Société anonyme de Pêcheries,Sté commerciale franco-marocaine,1,1913,1913,administrateur:1
unioncommercialeindochinoise,tourainemaroc,Union commerciale indochinoise,Touraine-Maroc,1,1913,1913,administrateur:1
africaineetudes,tourainemaroc,africaine (Société d'études,Touraine-Maroc,1,1913,1913,administrateur:1
unioncommercialeindochinoisereunis,tourainemaroc,Union commerciale indochinoise réunis),Touraine-Maroc,1,1913,1913,administrateur:1
