person_key,surname,given_variants,n_ties,n_name_variants,name_variants
harle-h,Harlé,H.; Henri,6,2,H. Harlé; Henri Harlé
waddington-r,Waddington,Robert,6,1,Robert Waddington
borgeaud-c,Borgeaud,Charles,6,1,Charles Borgeaud
trubert-j,Trubert,J.; Jacques,6,2,J. Trubert; Jacques Trubert
bouyonnet-f,Bouyonnet,F.; Fernand,6,2,F. Bouyonnet; Fernand Bouyonnet
jourdain-j,Jourdain,J.; Jacques,6,2,J. Jourdain; Jacques Jourdain
gruenblat,Gruenblat,,6,1,Gruenblat
leplanquais-e,Leplanquais,Ernest,6,1,Ernest Leplanquais
montegu-g,Montégu,G.; Gustave,6,2,G. Montégu; Gustave Montégu
gautier-de-charnace-c,Gautier de Charnacé,Ch.; Charles,6,2,Ch. Gautier de Charnacé; Charles Gautier de Charnacé
soulange-bodin-a,Soulange-Bodin,A.; André,6,2,A. Soulange-Bodin; André Soulange-Bodin
le-barbier-l,Le Barbier,L.; Louis,6,3,L. Le Barbier; Louis Le Barbier; Louis le Barbier
lazard-a,Lazard,A.; Alphonse; André,6,3,A. Lazard; Alphonse Lazard; André Lazard
cazelles-r,Cazelles,Robert,6,1,Robert Cazelles
barbet-a,Barbet,A.; Alexandre,6,2,A. Barbet; Alexandre Barbet
defaye-a,Defaye,A.; Albert; Armand,6,3,A. Defaye; Albert Defaye; Armand Defaye
barathon-e,Barathon,E.; Eugène,6,2,E. Barathon; Eugène Barathon
peraire-j,Peraire,J.; Jean,6,3,J. Peraire; J. Péraire; Jean Peraire
guyot-g,Guyot,G.; Gaston,6,2,G. Guyot; Gaston Guyot
mahieux-h,Mahieux,H.; Henri,6,2,H. Mahieux; Henri Mahieux
lombardet-c,Lombardet,Ch.; Charles; Charles-Marie- Joseph,6,3,Ch. Lombardet; Charles Lombardet; Charles-Marie- Joseph Lombardet
noel-l,Noël,L.; Lucien,6,3,L. Noel; L. Noël; Lucien Noël
fould-r,Fould,René,6,1,René Fould
finaly-h,Finaly,H.; Horace,6,2,H. Finaly; Horace Finaly
kreglinger-a,Kreglinger,A.; Albert,6,2,A. Kreglinger; Albert Kreglinger
demon-r,Demon,Roger,6,1,Roger Demon
pinson-e,Pinson,E.; Édouard,6,2,E. Pinson; Édouard Pinson
chapon-m,Chapon,Marcel,6,1,Marcel Chapon
lebascle-e,Lebascle,E.; Édouard,6,2,E. Lebascle; Édouard Lebascle
chateau-g,Chateau,G.; Gaston; Gilles,6,3,G. Chateau; Gaston Château; Gilles Chateau
hanquet-p,Hanquet,P.; Paul,6,2,P. Hanquet; Paul Hanquet
pinchart-l,Pinchart,L.; Léon,6,2,L. Pinchart; Léon Pinchart
beaupere-p,Beaupère,P.; Paul,6,2,P. Beaupère; Paul Beaupère
lallour-m,Lallour,Michel,6,1,Michel Lallour
noel,Noël,,6,1,Noël
becot-h,Becot,H.; Henri,6,2,H. Becot; Henri Becot
daum-l,Daum,Léon,6,1,Léon Daum
perot-f,Perot,F.; François,6,4,F. Perot; F. Pérot; François Perot; François Pérot
de-lapeyriere-j,de Lapeyrière,Jacques,6,1,Jacques de Lapeyrière
nagelmackers,Nagelmackers,,6,1,Nagelmackers
dailloux-j,Dailloux,J.; J.-J.,6,3,J. Dailloux; J. Daïlloux; J.-J. Dailloux
de-schoonen-d,De Schoonen,Désiré,6,2,Désiré De Schoonen; Désiré de Schoonen
laures-f,Laurès,F.; Fulcrand,6,3,F. Laures; F. Laurès; Fulcrand Laurès
cailliette-p,Cailliette,P.; Paul,6,2,P. Cailliette; Paul Cailliette
hdemakers-c,Hœdemakers,Casper,6,1,Casper Hœdemakers
berge-l,Bergé,L.; Louis,6,2,L. Bergé; Louis Bergé
morin-g,Morin,Georges,6,1,Georges Morin
thomas-e,Thomas,Eugène; Édouard; Émile,6,3,Eugène Thomas; Édouard Thomas; Émile Thomas
fould-c,Fould,C.; Ch.; Charles,6,3,C. Fould; Ch. Fould; Charles Fould
x-m,»,Mauris; Minotte; Mittard; Métaux,6,4,Mauris 3; Minotte 13; Mittard 2; Métaux »
jeance-m,Jeance,Maurice,6,1,Maurice Jeance
baudet-a,Baudet,A.; André,6,2,A. Baudet; André Baudet
priadkine-j,Priadkine,J.; Jacques,6,3,J. PRIADKINE; J. Priadkine; Jacques Priadkine
moret-g,Moret,G.; Gabriel,6,2,G. Moret; Gabriel Moret
seydoux-c,Seydoux,Ch.; Charles,6,2,Ch. Seydoux; Charles Seydoux
bertrand-j,Bertrand,Jean; Julien,6,2,Jean Bertrand; Julien Bertrand
eclancher-p,Eclancher,Paul; Pierre-Henri,6,2,Paul Eclancher; Pierre-Henri Eclancher
b-n,B,N.,6,1,N. B
messimy-a,Messimy,A.; Adolphe,6,2,A. Messimy; Adolphe Messimy
barbie-j,Barbié,J.; Jean,6,2,J. Barbié; Jean Barbié
domec-b,Domec,B.; Bernard,6,2,B. Domec; Bernard Domec
lovenbach-j,LOVENBACH,J.; Jacques,6,3,J. Lovenbach; Jacques LOVENBACH; Jacques Lovenbach
agnew-a,Agnew,A.; Andrew,6,2,A. Agnew; Andrew Agnew
vidal-j,Vidal,J.; Joseph,6,2,J. Vidal; Joseph Vidal
renault-a,Renault,A.; A.-P.; Augustin; Augustin-Paul-Eugène,6,4,A. Renault; A.-P. Renault; Augustin Renault; Augustin-Paul-Eugène Renault
cornet-a,Cornet,A.; Albert,6,2,A. Cornet; Albert Cornet
de-launay-l,de Launay,Louis,6,1,Louis de Launay
experton-p,Experton,P.; Pierre,6,2,P. Experton; Pierre Experton
champin-p,Champin,P.,6,1,P. Champin
hanet-a,Hanet,A.; Albert,6,2,A. Hanet; Albert Hanet
arnaud-j,Arnaud,J.; Jean; Joseph,6,3,J. Arnaud; Jean Arnaud; Joseph Arnaud
varvatsoulis-p,Varvatsoulis,P.; Panayiotis,6,2,P. Varvatsoulis; Panayiotis Varvatsoulis
bricka-c,Bricka,Ch.; Charles,6,2,Ch. Bricka; Charles Bricka
emile,Émile,,6,1,Émile
tine,Tiné,,6,2,Tine; Tiné
godin-p,Godin,P.; Pierre,6,2,P. Godin; Pierre Godin
mattei-j,Mattei,J.; James; Jules,6,3,J. Mattéi; James Mattei; Jules Mattei
cherifienne-de-participations-s,chérifienne de participations,Sté,6,2,Sté Chérifienne de participations; Sté chérifienne de participations
drouin-g,Drouin,G.; Georges,6,2,G. Drouin; Georges Drouin
hermil-a,Hermil,André,6,1,André Hermil
baguenault-de-puchesse-h,Baguenault de Puchesse,Henri; Henry,6,2,Henri Baguenault de Puchesse; Henry Baguenault de Puchesse
lemoult-r,Lemoult,Robert,6,1,Robert Lemoult
mauchausse-p,Mauchaussé,P.; Paul,6,2,P. Mauchaussé; Paul Mauchaussé
de-thomasson-p,de Thomasson,Paul,6,2,Paul de Thomasson; Paul de Thomasson. 21
paquelin-r,Paquelin,Roger,6,1,Roger Paquelin
schneider-c,Schneider,Ch.; Charles,6,2,Ch. Schneider; Charles Schneider
hay-a,Hay,A.; Alexander,6,2,A. Hay; Alexander Hay
de-gasquet-b,de Gasquet,Bernard,6,2,Bernard de GASQUET; Bernard de Gasquet
lefebvre-e,LEFEBVRE,E.; Étienne,6,3,E. LEFEBVRE; E. Lefebvre; Étienne Lefèbvre
vigne-r,Vigne,Raymond,6,1,Raymond Vigne
friedel-e,Friedel,E.; Edmond,6,2,E. Friedel; Edmond Friedel
robert-h,Robert,H.; Henri,6,2,H. Robert; Henri Robert
raffard-p,Raffard,P.; Pierre,6,2,P. Raffard; Pierre Raffard
lacaze-j,LACAZE,J. L.; J. R.; J.-R.; Jean; Jean-René,6,5,J. L. Lacaze; J. R. LACAZE; J.-R. Lacaze; Jean Lacaze; Jean-René Lacaze
agricoles-e,agricoles,Entreprises,6,1,Entreprises agricoles
stern-j,Stern,Jean,6,1,Jean Stern
martin-c,Martin,C.; Camille; Ch.; Charles,6,4,C. Martin; Camille Martin; Ch. Martin; Charles Martin
clerc,Clerc,,6,2,CLERC; Clerc
schwob,Schwob,,6,2,SCHWOB; Schwob
caron-m,Caron,Maurice,6,1,Maurice Caron
simonin-a,Simonin,A.; Alexandre; Armand,6,3,A. Simonin; Alexandre Simonin; Armand Simonin
caillaux-p,Caillaux,P.,6,1,P. Caillaux
berthault,Berthault,,6,1,Berthault
menetrier-e,Ménétrier,E.; Ernest,6,4,E. Menetrier; E. Ménétrier. 15; E. Ménétrier. 48; Ernest Ménétrier
adolphe-e,Adolphe,E.; Eugène; Eugène-Jean,6,3,E. Adolphe; Eugène Adolphe; Eugène-Jean Adolphe
fabre-a,Fabre,A.-C.; Albert; Alphonse-Cyprien-; Antonin; Auguste,6,5,A.-C. Fabre; Albert Fabre; Alphonse-Cyprien- Fabre; Antonin Fabre; Auguste Fabre
laffargue-e,Laffargue,E.; Emile; Émile,6,3,E. Laffargue; Emile Laffargue; Émile Laffargue
crighton,Crighton,,6,1,Crighton
montet-p,Montet,P.; P. A.; P.-A.,6,4,P. A. Montet; P. Montet; P. Montet. 2; P.-A. Montet
belgique,Belgique,,6,1,Belgique
tours,Tours,,6,1,Tours
beliard-h,Béliard,H. J. P.; Henri; Henri-Jean-Pierre,6,3,H. J. P. Béliard; Henri Béliard; Henri-Jean-Pierre Béliard
visinet-l,Visinet,L.; Léon,6,3,L. VISINET; L. Visinet; Léon Visinet
roanne,Roanne,,6,1,Roanne
bozzi-s,Bozzi,S.; Simon,6,2,S. Bozzi; Simon Bozzi
plantey-m,Plantey,Marcel,6,1,Marcel Plantey
delaquis-l,Delaquis,L.; Louis,6,2,L. Delaquis; Louis Delaquis
romanet-b,Romanet,B.,6,1,B. Romanet
francaise-g,française),Guyane,6,2,Guyane française; Guyane française)
cottet-b,Cottet,B.; Benoît,6,2,B. Cottet; Benoît Cottet
de-dietrich-a,de Dietrich,Albert,6,1,Albert de Dietrich
genthon,Genthon,,6,1,Genthon
germain-p,Germain,Paul; Pierre,6,2,Paul Germain; Pierre Germain
gradis,Gradis,,6,1,Gradis
reclus-l,Reclus,L.; Louis,6,2,L. Reclus; Louis Reclus
warot-a,Warot,A.; André,6,2,A. Warot; André Warot
buurmans-r,Buurmans,Raymond,6,1,Raymond Buurmans
taffineau-e,Taffineau,E.; Edmond,6,2,E. Taffineau; Edmond Taffineau
chine,Chine,,6,1,Chine
halphen-h,Halphen,H.; Henri,6,2,H. Halphen; Henri Halphen
dardes-a,Dardes,A.; Adolphe,6,3,A. Dardes; A. Dardès; Adolphe Dardès
sautter,Sautter,,6,1,Sautter
cittanova-j,Cittanova,J.; Jacques,6,2,J. Cittanova; Jacques Cittanova
cittanova-s,Cittanova,S.; Salvator; Salvatore,6,3,S. Cittanova; Salvator Cittanova; Salvatore Cittanova
alcay,Alcay,,6,1,Alcay
alphandery,Alphandéry,,6,2,Alphandery; Alphandéry
marchessaux,Marchessaux,,6,1,Marchessaux
legeay,Legeay,,6,1,Legeay
delamotte,Delamotte,,6,1,Delamotte
delamotte-g,Delamotte,G.; Gabriel,6,2,G. Delamotte; Gabriel Delamotte
de-jardin-f,de Jardin,Fernand,6,3,Fernand DE JARDIN; Fernand de Jardin; Fernand de Jardin*
parc-gatlif,parc Gatlif,,6,1,parc Gatlif
rouleau-a,Rouleau,A.,6,1,A. Rouleau
germain-h,Germain,H.; Henri,6,2,H. Germain; Henri Germain
bartholoni-j,Bartholoni,J.; Jean,6,2,J. Bartholoni; Jean Bartholoni
roger,Roger,,6,1,Roger
thurneyssen,Thurneyssen,,6,1,Thurneyssen
manaut,Manaut,,6,1,Manaut
narbonne-j,Narbonne,Jules,6,1,Jules Narbonne
miquel-j,Miquel,J.; J.-A.; Jean; Joseph,6,4,J. Miquel; J.-A. Miquel; Jean Miquel; Joseph Miquel
imbert-l,Imbert,L.,6,1,L. Imbert
courcelle,Courcelle,,6,2,COURCELLE; Courcelle
masson,Masson,,6,1,Masson
claudon-l,Claudon,L.; Louis,6,3,L. Claudon; Louis CLAUDON; Louis Claudon
gastu-f,Gastu,François; Félix,6,2,François Gastu; Félix Gastu
paysant-l,Paysant,L.; Louis; Léon,6,3,L. Paysant; Louis Paysant; Léon Paysant
devise,Devise,,6,1,Devise
tanon,Tanon,,6,1,Tanon
anduze-faris,Anduze-Faris,,6,2,Anduze-Faris; Anduze-Faris. 18
salles,Salles,,6,2,SALLES; Salles
courtois-de-vicose-l,Courtois de Vicose,L.; Louis,6,3,L. Courtois de Vicose; Louis Courtois De Vicose; Louis Courtois de Vicose
morel-e,Morel,Eugène; Étienne,6,2,Eugène Morel; Étienne Morel
auriol,Auriol,,6,1,Auriol
carnot-j,Carnot,Jean,6,1,Jean Carnot
van-den-bosch,Van den Bosch,,6,3,VAN DEN BOSCH; Van den Bosch; Van den Bosch. 1
jullien-de-pommerol-f,Jullien de Pommerol,François,6,1,François Jullien de Pommerol
lesueur,Lesueur,,6,1,Lesueur
fabry-p,Fabry,P.; Pol,6,2,P. Fabry; Pol Fabry
ph-vernes,Ph. Vernes,,6,1,Ph. Vernes
carde-j,Carde,J.; Jules,6,2,J. Carde; Jules Carde
steinbrenner-c,Steinbrenner,C.; Ch.; Charles,6,3,C. Steinbrenner; Ch. Steinbrenner; Charles Steinbrenner
delarbre,Delarbre,,6,1,Delarbre
gronier,Gronier,,6,1,Gronier
saliege,Saliège,,6,1,Saliège
carpentier,Carpentier,,6,2,Carpentier; Carpentier. 4
gabriel,Gabriel,,6,1,Gabriel
rostand,Rostand,,6,1,Rostand
tanon-c,Tanon,C.; Claude,6,2,C. Tanon; Claude Tanon
rivaille-p,Rivaille,P.; Paul,6,2,P. Rivaille; Paul Rivaille
adam-v,Adam,Valentin,6,1,Valentin Adam
blanchet,Blanchet,,6,1,Blanchet
reisser-e,Reisser,Edmond,6,1,Edmond Reisser
cheminais-p,Cheminais,P.,6,1,P. Cheminais
bellot-e,Bellot,E.; Ernest,6,2,E. Bellot; Ernest Bellot
guillemard-r,Guillemard,Raoul; Robert,6,2,Raoul Guillemard; Robert Guillemard
vogele-c,Vogele,C.; Charles,6,3,C. Vogele; C. Vogèle; Charles Vogèle
cornudet,Cornudet,,6,2,Cornudet; Cornudet. 5
ed-laroche-joubert,Ed. Laroche-Joubert,,6,1,Ed. Laroche-Joubert
merigeault,Mérigeault,,6,2,Merigeault; Mérigeault
mirabaud-g,Mirabaud,G.; G. H.; Gustave,6,3,G. H. Mirabaud; G. Mirabaud; Gustave Mirabaud
ascherson-c,Ascherson,Ch.,6,1,Ch. Ascherson
lebon-m,Lebon,Marcel,6,1,Marcel Lebon
baye-l,Baye,Louis,6,1,Louis Baye
entrepots-du-havre,entrepôts du Havre,,6,1,entrepôts du Havre
bucourt-a,Bucourt,A.,6,1,A. Bucourt
bonnet,Bonnet,,6,2,BONNET; Bonnet
moreau,Moreau,,6,1,Moreau
kroller,Kroller,,6,2,Kroller; Kröller
grandidier-g,Grandidier,G.; Guillaume,6,2,G. Grandidier; Guillaume Grandidier
rodocanachi-e,Rodocanachi,E.; Emmanuel,6,2,E. Rodocanachi; Emmanuel Rodocanachi
biver-m,Biver,Marcel; Marcel-Paul,6,2,Marcel Biver; Marcel-Paul Biver
chabert,Chabert,,6,1,Chabert
urbain-e,Urbain,E.; Émile,6,2,E. Urbain; Émile Urbain
chocarne-p,Chocarne,P.; Philippe,6,2,P. Chocarne; Philippe Chocarne
legion-d-honneur-c,Légion d'honneur,C.,6,1,C. Légion d'honneur
lorilleux-e,Lorilleux,Encres,6,1,Encres Lorilleux
bonnardel,BONNARDEL,,6,2,BONNARDEL; Bonnardel
peyraud-j,Peyraud,J.; J.-P.; Joseph,6,3,J. Peyraud; J.-P. Peyraud; Joseph Peyraud
quesnot-l,Quesnot,L.,6,1,L. Quesnot
esteve-g,Estève,G.; G.-H.,6,2,G. Estève; G.-H. Estève
donegani-g,Donegani,G.; Gustave,6,2,G. Donegani; Gustave Donegani
fougerolle,Fougerolle,,6,1,Fougerolle
marchal,Marchal,,6,1,Marchal
gros,Gros,,6,1,Gros
gemmes-s,gemmes,Sels,6,1,Sels gemmes
fontaine,Fontaine,,6,1,Fontaine
armand,Armand,,6,1,Armand
fabre-p,Fabre,P.; Paul; Paul-Cyprien,6,3,P. Fabre; Paul Fabre; Paul-Cyprien Fabre
taraud-a,Taraud,A.; Albert,6,2,A. Taraud; Albert Taraud
heidelberg-p,Heidelberg,P.; Paul,6,2,P. Heidelberg; Paul Heidelberg
hottinguer-j,Hottinguer,J.; J.-C.; Jean,6,3,J. Hottinguer; J.-C. Hottinguer; Jean Hottinguer
maillard-g,Maillard,G.; Georges,6,2,G. Maillard; Georges Maillard
baguenault-de-puchesse-g,Baguenault de Puchesse,Gustave,6,1,Gustave Baguenault de Puchesse
monvoisin,MONVOISIN,,6,2,MONVOISIN; Monvoisin
mignot,Mignot,,6,1,Mignot
chailley-bert-p,Chailley-Bert,P.,6,1,P. Chailley-Bert
pesson-didion,Pesson-Didion,,6,1,Pesson-Didion
martin-v,Martin,Victor,6,1,Victor Martin
hamoir,Hamoir,,6,1,Hamoir
guillon,Guillon,,6,1,Guillon
aubry-j,Aubry,J.; Joseph; Jules,6,3,J. Aubry; Joseph Aubry; Jules Aubry
thiebaut,Thiébaut,,6,1,Thiébaut
vidal-p,Vidal,P.; Paul,6,2,P. Vidal; Paul Vidal
hinzelin-a,HINZELIN,A.; Albert,6,2,A. Hinzelin; Albert HINZELIN
barbut,Barbut,,6,1,Barbut
de-caplane-p,de Caplane,P. Eugène; Pierre; Pierre-Eugène,6,3,P. Eugène de Caplane; Pierre de Caplane; Pierre-Eugène de Caplane
henriquez-j,Henriquez,J.; Jules,6,2,J. Henriquez; Jules Henriquez
lombard-h,Lombard,H.,6,1,H. Lombard
cabaret-p,Cabaret,P.; Paul,6,2,P. Cabaret; Paul Cabaret
debayser-a,Debayser,A.,6,1,A. Debayser
moseley-l,Moseley,L. H.; L.-H.,6,2,L. H. Moseley; L.-H. Moseley
gerdret-g,Gerdret,G.; Gabriel,6,2,G. Gerdret; Gabriel Gerdret
jacquy-p,Jacquy,P.; Paulin,6,2,P. Jacquy; Paulin Jacquy
bonhomme-l,Bonhomme,L.,6,1,L. Bonhomme
giraud-a,GIRAUD,A.; Antoine,6,3,A. GIRAUD; A. Giraud; Antoine Giraud
duchanoy,Duchanoy,,6,1,Duchanoy
de-longchamp-c,de Longchamp,Charles,6,1,Charles de Longchamp
beuque-j,Beuque,J.; Jules,6,2,J. Beuque; Jules Beuque
raynal-g,Raynal,Gaston,6,1,Gaston Raynal
guignabaudet-p,Guignabaudet,Philippe,6,1,Philippe Guignabaudet
molinie-h,Molinié,Henri,6,1,Henri Molinié
de-bauw-a,de Bauw,Anatole,6,2,Anatole De Bauw; Anatole de Bauw
fouque-e,Fouqué,E.; Edouard,6,3,E. Fouque; E. Fouqué; Edouard Fouque
clement-g,Clément,Georges,6,1,Georges Clément
girodias-l,Girodias,L.; Léon,6,3,L. Girodias; Léon Girodias; Léon Girodias. 21
masson-c,Masson,Ch.; Charles,6,2,Ch. Masson; Charles Masson
sterlin-y,Sterlin,Y.; Yves,6,2,Y. Sterlin; Yves Sterlin
neuschwander-h,Neuschwander,H.,6,1,H. Neuschwander
videau-j,Videau,Jean,6,1,Jean Videau
gillet-a,Gillet,A.,6,1,A. Gillet
dessombs-p,Dessombs,P.; Pierre,6,2,P. Dessombs; Pierre Dessombs
girod-f,Girod,François,6,1,François Girod
pages-p,Pagès,P.; Pierre,6,2,P. Pagès; Pierre Pagès
gervot-g,Gervot,G.; Gérald,6,2,G. Gervot; Gérald Gervot
industrielles-e,industrielles,Entreprises,6,2,Entreprises Industrielles; Entreprises industrielles
reste-f,Reste,F.; F.-J.; François-Joseph,6,3,F. Reste; F.-J. Reste; François-Joseph Reste
level-p,Level,P.; Philippe,6,2,P. Level; Philippe Level
varenne-f,Varenne,F.-A.; Francisque,6,2,F.-A. Varenne; Francisque Varenne
tandonnet-a,Tandonnet,A.; André,6,2,A. Tandonnet; André Tandonnet
denis-p,Denis,P.; P. M.,6,2,P. Denis; P. M. Denis
armandon-j,Armandon,J.; Jean,6,2,J. Armandon; Jean Armandon
nogues-r,Noguès,Roger,6,1,Roger Noguès
van-de-velde-w,Van de Velde,W.; William,6,2,W. Van de Velde; William Van de Velde
montfort-g,Montfort,G.; Georges,6,2,G. Montfort; Georges Montfort
crespo-l,Crespo,L.,6,1,L. Crespo
fribourg-g,Fribourg,Gerson,6,1,Gerson Fribourg
dubar-g,Dubar,G.; Gustave,6,2,G. Dubar; Gustave Dubar
dausset-l,Dausset,L.; Louis,6,3,L. Dausset; Louis DAUSSET; Louis Dausset
guillaume-r,Guillaume,René,6,1,René Guillaume
carle-v,Carle,V.,6,1,V. Carle
paulis-a,Paulis,A.; Albert,6,2,A. Paulis; Albert Paulis
diehl-a,Diehl,A.; Albert,6,2,A. Diehl; Albert Diehl
jarry-r,Jarry,Raymond; Robert; Robert-Jean,6,3,Raymond Jarry; Robert Jarry; Robert-Jean Jarry
mathias-a,Mathias,A.; Arthur,6,2,A. Mathias; Arthur Mathias
bouvier-a,Bouvier,A.; Aimé; Albert,6,4,A. Bouvier; Aimé BOUVIER; Aimé Bouvier; Albert Bouvier
bourcier,Bourcier,,6,1,Bourcier
bourdon-g,Bourdon,G.; Georges,6,2,G. Bourdon; Georges Bourdon
hirsch,Hirsch,,6,2,Hirsch; Hirsch. 3
audinet-j,Audinet,J.; Jean,6,2,J. Audinet; Jean Audinet
barthes-j,Barthès,J.; Jules,6,2,J. Barthès; Jules Barthès
fatio-h,Fatio,Henri; Henry,6,2,Henri Fatio; Henry Fatio
roulleaux-dugage-h,Roulleaux-Dugage,H.; Henry,6,2,H. Roulleaux-Dugage; Henry Roulleaux-Dugage
cawston-g,Cawston,G.; George; Georges,6,3,G. Cawston; George Cawston; Georges Cawston
philippart-f,Philippart,F.; Fernand,6,2,F. Philippart; Fernand Philippart
dubigeon-r,Dubigeon,Roger,6,1,Roger Dubigeon
favreul-a,Favreul,A.; A. P. J.; Albert,6,3,A. Favreul; A. P. J. Favreul; Albert Favreul
doyen-h,Doyen,H.; H.-A.; Henri,6,3,H. Doyen; H.-A. Doyen; Henri Doyen
maurel-p,Maurel,Paul,6,1,Paul Maurel
schwob-a,Schwob,A.; André,6,2,A. Schwob; André Schwob
marguet-a,Marguet,A.; A.F.,6,2,A. Marguet; A.F. Marguet
gaudart-r,Gaudart,René,6,1,René Gaudart
moreau-c,Moreau,Charles,6,1,Charles Moreau
vialle-j,Vialle,J.; Jules,6,2,J. Vialle; Jules Vialle
duvernet-h,Duvernet,Henri,6,2,Henri Duvernet; Henri Duvernet 1
legrand-g,Legrand,G.; Georges,6,2,G. Legrand; Georges Legrand
vezia,Vézia,,6,1,Vézia
laurent-l,Laurent,L.; Lucien,6,2,L. Laurent; Lucien Laurent
turbe-l,Turbé,Louis,6,2,Louis TURBÉ; Louis Turbé
bord-j,Bord,J.,6,2,J. BORD; J. Bord
maurel-r,Maurel,Roger,6,1,Roger Maurel
d-eudeville-h,d'Eudeville,Henri,6,1,Henri d'Eudeville
lesieur-s,Lesieur,S. A. Georges; S.A. Georges,6,2,S. A. Georges Lesieur; S.A. Georges Lesieur
robert-l,ROBERT,L.; Louis; Léon,6,4,L. Robert; Louis Robert; Léon ROBERT; Léon Robert
schuhmann-a,Schuhmann,A.; André,6,2,A. Schuhmann; André Schuhmann
hainglaise-p,Hainglaise,Pierre,6,1,Pierre Hainglaise
de-breteuil-c,de Breteuil,Charles,6,1,Charles de Breteuil
wimmer-e,Wimmer,E.; Eugène,6,2,E. Wimmer; Eugène Wimmer
vieljeux-p,Vieljeux*,P.; Pierre,6,2,P. Vieljeux*; Pierre Vieljeux
gouin-a,Gouin,A.; Adolphe,6,4,A. Gouin; A. Goüin; Adolphe Gouin; Adolphe Goüin
fage-l,Fage,Léon,6,1,Léon Fage
carre,Carre,,6,2,Carre; Carré
alcan-m,Alcan,Maurice,6,1,Maurice Alcan
steinberg-a,Steinberg,André,6,1,André Steinberg
fayol-h,Fayol,H.; Henri,6,2,H. Fayol; Henri Fayol
tellier-t,Tellier,T.; Théophile,6,2,T. Tellier; Théophile Tellier
arcelin-p,Arcelin,P.; Pierre,6,2,P. Arcelin; Pierre Arcelin
leibosis-l,Leibosis,L.,6,1,L. Leibosis
kohly-r,Kohly,Robert,6,1,Robert Kohly
garreau-dombasle-m,Garreau-Dombasle,Maurice,6,1,Maurice Garreau-Dombasle
nemos-e,Nemos,Eugène,6,1,Eugène Nemos
gaston-dreyfus,Gaston-Dreyfus,,6,1,Gaston-Dreyfus
chappuis-r,Chappuis,Robert; Roger,6,2,Robert Chappuis; Roger Chappuis
mathe-dumaine-r,MATHÉ- DUMAINE,René; Robert,6,4,René MATHÉ- DUMAINE; René Mathé-Dumaine; Robert Mathé- Dumaine; Robert Mathé-Dumaine
choublier,Choublier,,6,1,Choublier
ed-poilay,Éd. Poilay,,6,2,Ed. Poilay; Éd. Poilay
duplan-a,Duplan,A.; Auguste,6,2,A. Duplan; Auguste Duplan
dalsace,Dalsace,,6,1,Dalsace
p-forveille,? P. Forveille,,6,2,? P. FORVEILLE; ? P. Forveille
goldschmidt-a,Goldschmidt,André,6,3,André Goldschmidt; André Goldschmidt 1; André Goldschmidt1
collignon,Collignon,,6,1,Collignon
mounier,Mounier,,6,1,Mounier
kapferer-c,Kapferer,C.; Ch.; Charles,6,3,C. Kapferer; Ch. Kapferer; Charles Kapferer
roy-m,Roy,Marc; Marcel,6,2,Marc Roy; Marcel Roy
durand-smet-j,Durand- Smet,J.; Joseph,6,2,J. Durand-Smet; Joseph Durand- Smet
hellier-j,Hellier,J.; Jean,6,2,J. Hellier; Jean Hellier
leroy-p,Leroy,P.; Paul,6,2,P. Leroy; Paul Leroy
favaron-l,Favaron,L.; Louis,6,2,L. Favaron; Louis Favaron
langrogne-e,Langrogne,E.; Ernest,6,2,E. Langrogne; Ernest Langrogne
corrion,Corrion,,6,1,Corrion
menasche-j,Ménasché,J.; Jacques,6,3,J. Menasché; J. Ménasché; Jacques Menasché
manus,Manus,,6,1,Manus
ehrmann-h,Ehrmann,H.; Henri,6,2,H. Ehrmann; Henri Ehrmann
del-porto,Del Porto,,6,1,Del Porto
crousse-n,Crousse,N.; Norbert,6,2,N. Crousse; Norbert Crousse
metayer,Métayer,,6,1,Métayer
raux-f,Raux,F.; Fernand,6,2,F. Raux; Fernand Raux
briffaud-p,Briffaud,P.; Pierre,6,2,P. Briffaud; Pierre Briffaud
lacaze-l,Lacaze,L.; Lucien,6,2,L. Lacaze; Lucien Lacaze
lallemand-c,Lallemand,Ch.; Chalès; Charles,6,3,Ch. Lallemand; Chalès Lallemand; Charles Lallemand
orsini-c,Orsini,Charles,6,2,Charles ORSINI; Charles Orsini
labussiere-a,LABUSSIÈRE,André,6,2,André LABUSSIÈRE; André Labussière
laroze-p,LAROZE,Pierre,6,2,Pierre LAROZE; Pierre Laroze
chiha,Chiha,,6,1,Chiha
pirard-a,Pirard,A.; Albert,6,2,A. Pirard; Albert Pirard
meunier,Meunier,,6,1,Meunier
laporte,Laporte,,6,1,Laporte
marcilhacy-l,Marcilhacy,L.; Léon,6,2,L. Marcilhacy; Léon Marcilhacy
moreau-g,Moreau,G.; Georges,6,2,G. Moreau; Georges Moreau
philips-g,Philips,G.; Gaston,6,2,G. Philips; Gaston Philips
esders-h,Esders,Henri,6,3,Henri Esders; Henri Esders [†]; Henri Esders. 5
dufresne-a,Dufresne,A.; Augustin,6,2,A. Dufresne; Augustin Dufresne
liouville-a,Liouville,A.; Albert,6,2,A. Liouville; Albert Liouville
treboul,Treboul,,6,1,Treboul
jadot-l,Jadot,L.,6,1,L. Jadot
bloch-h,Bloch,H.; Herman; Hermann,6,3,H. Bloch; Herman Bloch; Hermann Bloch
