company_id,name,territory,n_territories,all_territories,sector,sector_group,sector_group_en,sector_raw,n_directors,n_connected,share_connected,connection_tier,connection_tier_name,has_executive,has_legislature,has_administration,has_local,has_proxy,n_executive,n_legislature,n_administration,n_local,n_proxy,has_sitting,has_former,n_sitting,n_former,n_testable,n_concurrent,n_connected_neighbours,indirect_only,first_connection_year,last_connection_year,confidence,connected_directors
africainearmement,Compagnie Africaine d'Armement,Afrique occidentale française,3,Afrique occidentale française; Algérie; Tunisie,Documents généraux (par ordre chronologique),transport,"Transport, ports and docks",Transports maritimes et aériens,18,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,,,,
africaineassurancesf,Société africaine d'assurances (S.A.F,Afrique occidentale française,1,Afrique occidentale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),7,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,,,,
africaineateliersconstructionschwartzhautmont,Cie africaine des ateliers de construction Schwartz-Hautmont,Maroc,1,Maroc,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),16,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,,,,
africainebordelaiseindustrielle,Société africaine et bordelaise industrielle,Maroc,1,Maroc,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),3,1,0.3333,3,legislature,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1919,1919,medium,Raymond Vidal
africainebutruillemallon,"Société africaine Butruille, Mallon et Cie",Afrique occidentale française,1,Afrique occidentale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),3,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
africainechaussuresbp,"Société africaine de chaussures, B. P",Afrique équatoriale française,1,Afrique équatoriale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),7,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,
africainecommerce,Compagnie Africaine de Commerce,Afrique occidentale française,1,Afrique occidentale française,Commerce,trade,Trade and commerce,Commerce,15,4,0.2667,3,legislature,0,1,1,1,0,0,2,1,1,0,1,0,4,0,2,2,56,0,1920,1932,low,Henri Cosnier; Léon Accambray; Lévy; Marcel Bénard
africainecommercerepresentation,Société africaine de commerce et de représentation,Djibouti,1,Djibouti,Documents généraux,not_a_sector,Not a sector,Documents généraux,4,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,,,
africaineconstructionscivilesindustrielles,Société Africaine de Constructions civiles et industrielles,Oubangui-Chari (Centrafrique),1,Oubangui-Chari (Centrafrique),mines et industries,mining,Mining and quarrying,mines et industries,4,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
africaineconstructionscivilesindustriellesbp,"Société africaine de constructions civiles et industrielles, B. P",Afrique équatoriale française,1,Afrique équatoriale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),5,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
africaineculturesindustrielles,Compagnie Africaine de cultures industrielles,Algérie,2,Algérie; Cameroun,Documents généraux (par ordre chronologique),food_processing,"Food processing, livestock and fishing",Industries agro-alimentaires,10,3,0.3000,3,legislature,0,1,1,0,1,0,1,1,0,1,1,0,3,0,0,0,57,0,1922,1937,high,Henri Borgeaud; Henri Hirsch; Marcel Hirsch
africainedistillerie,Société africaine de distillerie,Maroc,1,Maroc,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),10,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,,,,
africaineeauxminerales,Société Africaine des Eaux minérales,Côte d'Ivoire,1,Côte d'Ivoire,"Agro-alimentaire, cultures industrielles",food_processing,"Food processing, livestock and fishing","Agro-alimentaire, cultures industrielles",1,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
africaineentreprises,Société Africaine d'Entreprises,Afrique occidentale française,3,Afrique occidentale française; Afrique équatoriale française; Congo-Brazzaville ou Moyen-Congo,Documents généraux (par ordre chronologique),unclassified,Unclassified,Sociétés diverses,19,2,0.1053,3,legislature,0,1,1,0,0,0,1,1,0,0,1,0,2,0,0,0,13,0,1945,1948,high,André Breton; Philibert
africaineentreprisesbp,"Société africaine d'entreprises, B. P",,0,,Groupes financiers transcoloniaux,finance,"Banking, finance and insurance",Groupes financiers transcoloniaux,4,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,,,,
africaineentrepriseshydrauliques,Société africaine d'entreprises hydrauliques,Afrique occidentale française,1,Afrique occidentale française,Documents généraux (par ordre chronologique),not_a_sector,Not a sector,Documents généraux (par ordre chronologique),5,0,0.0000,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,
