person_id,name,name_as_parsed,positionality,positionality_group,confidence,evidence,regions,countries,n_board_companies,n_board_ties,first_year,last_year
gaussel-g,G Gaussel,G Gaussel,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Madagascar et Djibouti,Madagascar,7,1,1951,1956
saint-martin-p,P Saint-Martin,P Saint-Martin,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal); Madagascar et Djibouti,Madagascar,7,1,1950,1956
aegerter-f,F Aegerter,F Aegerter,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
anderson-c,C.B Anderson,C.B Anderson,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
baumann-p,P Baumann,P Baumann,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
bellouard-h,H Bellouard,H Bellouard,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
benoist-j,Jean Benoist,Jean Benoist,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
de-boissel-h,H. de Boissel,H. de Boissel,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
bollaert-emile,Bollaert (Émile)(1890-1978),Bollaert (Émile)(1890-1978),unclassified,unusable_name,,name_is_parse_artefact,Empire (transversal),,7,0,1956,1956
bouquet-g,Georges Bouquet,Georges Bouquet,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
o-brilleaud,O Brilleaud,O Brilleaud,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
burlot-andre-ep-jeannine-lelarge,Jeannine Lelarge),Burlot (André) (ép. Jeannine Lelarge),unclassified,unusable_name,,name_is_parse_artefact,Empire (transversal),,7,0,1956,1956
clark-w,W. Marshall Clark,W. Marshall Clark,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
deroy-henri-ep-toulouse,Toulouse),Deroy (Henri)(1900-1979)(ép. Toulouse),unclassified,unusable_name,,name_is_parse_artefact,Empire (transversal),,7,0,1956,1956
escande-e,E Escande,E Escande,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
girod-de-lain-g,Gabriel Girod de l’Ain,Gabriel Girod de l’Ain,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
grandgeorge-r,R Grandgeorge,R Grandgeorge,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
helo-a,A Helo,A Helo,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
jouannais-c,C Jouannais,C Jouannais,colonial,european_unspecified,low,residual_no_indigenous_marker,Empire (transversal),,7,0,1956,1956
