doc_id,territory,entry_type,name_listed,n_chars,register,n_name_forms,n_board_list,n_person_career,n_apposition,n_certificate,n_deed,n_press
inde-indochine-ann-adm-indoch-1950-250d70,Indochine,source_document,Annuaire administratif des services communs de l’Indochine (1950),102401,person_career,0,0,1,0,0,0,0
inde-indochine-irrigations-en-annam-17fe75,Indochine,company,Irrigations en Annam (1901-1945),102073,apposition,29,0,0,1,0,0,47
inde-indochine-le-tonkin-haiphong-dbb9a4,Indochine,company,"Tonkin (Le)(1891-1893)(Queyroul, Goërg, Knosp, Bonnafont), Le Réveil du Tonkin (1892-1893)(Bonnafont), Haïphong",101906,press,26,0,0,0,0,0,34
inde-indochine-staca-71cd02,Indochine,company,"Transports automobiles du Centre-Annam (Société des)(STACA)(1918), Tourane",101587,person_career,74,0,4,1,2,0,66
inde-indochine-hanoi-batiments-officiels-08d485,Indochine,source_document,Hanoï,101139,no_signal,0,0,0,0,0,0,0
inde-indochine-cief-cambodge-1931-916b41,Indochine,source_document,Conseil des intérêts économiques et financiers du Cambodge,100057,board_list,5,1,132,0,0,0,0
afrique-occidentale-borremans-grand-bassam-6a9240,Côte d'Ivoire,source_document,"Borremans (Raymond), Précis d'histoire de Grand-Bassam (1982)",94228,press,37,0,0,0,0,0,1
antilles-guyane-huanchaca-bellesort-8c2db3,Bolivie,company,"Pulacayo, Huanchaca (1896), par André Bellesort",93692,press,1,0,0,0,0,0,1
inde-indochine-o-connell-resistance-4221d7,Indochine,source_document,O'Connell (Marie-Madeleine),92434,press,7,0,0,0,0,0,2
inde-indochine-andre-chenivesse-1941-1947-3ffb85,Indochine,source_document,Chenivesse (André),91943,press,13,0,0,0,0,0,1
inde-indochine-thanh-thai-deposition-2debc1,Indochine,source_document,"Thành Thái, empereur d'Annam (1889-1907), ni ange, ni bête",91714,press,13,0,0,0,0,0,20
inde-indochine-ogliastro-et-cie-louis-9b6f13,Indochine,person,"Ogliastro (Antoine)(1875), puis Louis Ogliastro et Cie (1908), Saïgon, Hanoï, Haïphong…",90280,person_career,56,0,10,0,0,2,81
afrique-occidentale-sobebra-0fc6a1,Dahomey (Bénin),company,"Béninoise de Brasserie (Société)(SOBEBRA)(1992), puis Béninoise de Boissons gazeuses (mai 2023), Cotonou",89389,no_signal,13,0,0,0,0,0,0
inde-indochine-chrono-indochine-1945-1954-91c079,Indochine,source_document,Chronologie de la guerre d'Indochine (1945-1954),88966,press,25,0,0,0,0,0,4
afrique-occidentale-plancke-cote-d-ivoire-1939-948704,Côte d'Ivoire,source_document,"Plancke (Gabriel), député d'Hazebrouck (Nord)",88301,press,4,0,0,0,0,0,6
empire-lanessan-crise-coloniale-1907-9d2d7c,(unfiled),source_document,"Lanessan (Jean-Louis de), ancien gouverneur général de l'Indo-Chine, La Crise coloniale (1907)",88134,press,6,0,0,0,0,0,7
inde-indochine-michel-ly-lap-8684a0,Indochine,person,"Ly-lap (Michel)(Lo-Gom, 1868-Kong-Kong, 1931), Cholon, Saïgon",87417,person_career,35,0,3,0,0,10,29
afrique-occidentale-ethnies-de-la-cote-d-ivoire-5322f1,Côte d'Ivoire,source_document,"Ethnies de la Côte-d'Ivoire, par Jacques Bobée (inédit)(185 p.)",87015,press,28,0,0,0,0,0,5
