city_1,city_2,territory_1,territory_2,group_1,group_2,n_interlocks
Grand-Bassam,Hanoï,Côte d'Ivoire,Indochine,empire,empire,2
Douala,Hanoï,Cameroun,Indochine,empire,empire,2
Fedhala,Meknès,Maroc,Maroc,empire,empire,2
Conakry,Port-Lyautey,Guinée Conakry,Maroc,empire,empire,2
Athènes,Brazzaville,Grèce,Congo-Brazzaville,foreign,empire,2
Port-Lyautey,Saïgon,Maroc,Indochine,empire,empire,2
Cayenne,Port-Lyautey,Guyane française,Maroc,empire,empire,2
Bamako,Cayenne,Soudan français,Guyane française,empire,empire,2
Cayenne,Marrakech,Guyane française,Maroc,empire,empire,2
Port-Lyautey,Rabat,Maroc,Maroc,empire,empire,2
Casablanca,Sousse,Maroc,Tunisie,empire,empire,2
Alger,Rufisque,Algérie,Sénégal,empire,empire,2
Alger,Thiès,Algérie,Sénégal,empire,empire,2
Bône,Lyon,Algérie,France,empire,metropole,2
Marseille,Sousse,France,Tunisie,metropole,empire,2
Oujda,Saïgon,Maroc,Indochine,empire,empire,2
Djibouti,Meknès,Djibouti,Maroc,empire,empire,2
Conakry,Yaoundé,Guinée Conakry,Cameroun,empire,empire,2
Majunga,Oran,Madagascar,Algérie,empire,empire,2
Dalat,Paris,Indochine,France,empire,metropole,2
Mostaganem,Rufisque,Algérie,Sénégal,empire,empire,2
Kayes,Marseille,Soudan français,France,empire,metropole,2
Casablanca,Saint-Louis,Maroc,Sénégal,empire,empire,2
Constantine,Sidi-bel-Abbès,Algérie,Algérie,empire,empire,2
Douala,Kayes,Cameroun,Soudan français,empire,empire,2
Dap-Cau,Hanoï,Indochine,Indochine,empire,empire,2
Saint-Louis,Saïgon,Sénégal,Indochine,empire,empire,2
Oran,Oujda,Algérie,Maroc,empire,empire,2
Le Caire,Pnom-Penh,Égypte,Indochine,foreign,empire,1
Hué,Pnom-Penh,Indochine,Indochine,empire,empire,1
Cayenne,Pnom-Penh,Guyane française,Indochine,empire,empire,1
Pnom-Penh,Tamatave,Indochine,Madagascar,empire,empire,1
Pnom-Penh,Saint-Louis,Indochine,Sénégal,empire,empire,1
Douala,Pnom-Penh,Cameroun,Indochine,empire,empire,1
Bamako,Pnom-Penh,Soudan français,Indochine,empire,empire,1
Hussein-Dey,Pnom-Penh,Algérie,Indochine,empire,empire,1
Constantine,Grand-Bassam,Algérie,Côte d'Ivoire,empire,empire,1
Grand-Bassam,Meknès,Côte d'Ivoire,Maroc,empire,empire,1
Fès,Grand-Bassam,Maroc,Côte d'Ivoire,empire,empire,1
Grand-Bassam,Nouméa,Côte d'Ivoire,Nouvelle-Calédonie,empire,empire,1
Bangui,Grand-Bassam,Oubangui-Chari,Côte d'Ivoire,empire,empire,1
Cholon,Grand-Bassam,Indochine,Côte d'Ivoire,empire,empire,1
Constantine,Meknès,Algérie,Maroc,empire,empire,1
Londres,Meknès,Royaume-Uni,Maroc,foreign,empire,1
Meknès,Nossi-Bé,Maroc,Madagascar,empire,empire,1
Meknès,Tunis,Maroc,Tunisie,empire,empire,1
Le Caire,Saïgon,Égypte,Indochine,foreign,empire,1
Alexandrie,Tanger,Égypte,Maroc,foreign,empire,1
Tamatave,Tanger,Madagascar,Maroc,empire,empire,1
Nossi-Bé,Tanger,Madagascar,Maroc,empire,empire,1
Papeete,Tanger,Tahiti (Polynésie),Maroc,empire,empire,1
Tanger,Tuléar,Maroc,Madagascar,empire,empire,1
Majunga,Tanger,Madagascar,Maroc,empire,empire,1
Abidjan,Tanger,Côte d'Ivoire,Maroc,empire,empire,1
Kaolack,Tanger,Sénégal,Maroc,empire,empire,1
Casablanca,Moroni,Maroc,Comores,empire,empire,1
Hadong,Meknès,Indochine,Maroc,empire,empire,1
Meknès,Tananarive,Maroc,Madagascar,empire,empire,1
Majunga,Meknès,Madagascar,Maroc,empire,empire,1
Bruxelles,Kaolack,Belgique,Sénégal,foreign,empire,1
Bruxelles,Toulon,Belgique,France,foreign,metropole,1
Bruxelles,Dap-Cau,Belgique,Indochine,foreign,empire,1
Bordeaux,Bruxelles,France,Belgique,metropole,foreign,1
Bruxelles,La Haye,Belgique,Pays-Bas,foreign,foreign,1
Lyon,Tlemcen,France,Algérie,metropole,empire,1
Lyon,Oujda,France,Maroc,metropole,empire,1
Cantho,Lyon,Indochine,France,empire,metropole,1
Fort-de-France,Lyon,Guadeloupe et Martinique,France,empire,metropole,1
Papeete,Pnom-Penh,Tahiti (Polynésie),Indochine,empire,empire,1
Cholon,Papeete,Indochine,Tahiti (Polynésie),empire,empire,1
Cholon,Nossi-Bé,Indochine,Madagascar,empire,empire,1
Cholon,Vinh,Indochine,Indochine,empire,empire,1
Lomé,Nantes,Togo,France,empire,metropole,1
Nantes,Tananarive,France,Madagascar,metropole,empire,1
Bruxelles,Philippeville,Belgique,Algérie,foreign,empire,1
Bruxelles,Grand-Bassam,Belgique,Côte d'Ivoire,foreign,empire,1
Lyon,Toulouse,France,France,metropole,metropole,1
Hanoï,Toulouse,Indochine,France,empire,metropole,1
Nossi-Bé,Tunis,Madagascar,Tunisie,empire,empire,1
Bordeaux,Nossi-Bé,France,Madagascar,metropole,empire,1
Nossi-Bé,Port-Vila,Madagascar,Nouvelles-Hébrides,empire,empire,1
Brazzaville,Londres,Congo-Brazzaville,Royaume-Uni,empire,foreign,1
Cotonou,Londres,Dahomey (Bénin),Royaume-Uni,empire,foreign,1
Djibouti,Kaolack,Djibouti,Sénégal,empire,empire,1
Djibouti,Marrakech,Djibouti,Maroc,empire,empire,1
Bienhoa,Dakar,Indochine,Sénégal,empire,empire,1
Casablanca,Fort-de-France,Maroc,Guadeloupe et Martinique,empire,empire,1
Casablanca,Hué,Maroc,Indochine,empire,empire,1
Brazzaville,La Haye,Congo-Brazzaville,Pays-Bas,empire,foreign,1
La Haye,Oran,Pays-Bas,Algérie,foreign,empire,1
Tananarive,Tunis,Madagascar,Tunisie,empire,empire,1
Marseille,Port-Gentil,France,Gabon,metropole,empire,1
Le Havre,Marseille,France,France,metropole,metropole,1
Kaolack,Pnom-Penh,Sénégal,Indochine,empire,empire,1
Kaolack,Lyon,Sénégal,France,empire,metropole,1
Alger,Kaolack,Algérie,Sénégal,empire,empire,1
Kaolack,Libreville,Sénégal,Gabon,empire,empire,1
Kaolack,Tananarive,Sénégal,Madagascar,empire,empire,1
Kaolack,Majunga,Sénégal,Madagascar,empire,empire,1
Kaolack,Kayes,Sénégal,Soudan français,empire,empire,1
Hanoï,Toulon,Indochine,France,empire,metropole,1
Oujda,Toulon,Maroc,France,empire,metropole,1
Constantine,Toulon,Algérie,France,empire,metropole,1
Saïgon,Toulon,Indochine,France,empire,metropole,1
Toulon,Tunis,France,Tunisie,metropole,empire,1
Le Caire,Toulon,Égypte,France,foreign,metropole,1
Athènes,Lyon,Grèce,France,foreign,metropole,1
Lisbonne,Lyon,Portugal,France,foreign,metropole,1
Douala,Fès,Cameroun,Maroc,empire,empire,1
Conakry,Fès,Guinée Conakry,Maroc,empire,empire,1
Fedhala,Fès,Maroc,Maroc,empire,empire,1
Djibouti,Fès,Djibouti,Maroc,empire,empire,1
Dakar,Port-Gentil,Sénégal,Gabon,empire,empire,1
Port-Gentil,Rabat,Gabon,Maroc,empire,empire,1
Rabat,Sfax,Maroc,Tunisie,empire,empire,1
Bordeaux,Tamatave,France,Madagascar,metropole,empire,1
Bordeaux,Saint-Louis,France,Sénégal,metropole,empire,1
Bordeaux,Le Havre,France,France,metropole,metropole,1
Constantinople,Libreville,Empire ottoman/Turquie,Gabon,foreign,empire,1
Constantinople,La Haye,Empire ottoman/Turquie,Pays-Bas,foreign,foreign,1
Constantinople,Genève,Empire ottoman/Turquie,Suisse,foreign,foreign,1
Constantine,Constantinople,Algérie,Empire ottoman/Turquie,empire,foreign,1
Constantinople,Lyon,Empire ottoman/Turquie,France,foreign,metropole,1
Constantinople,Tananarive,Empire ottoman/Turquie,Madagascar,foreign,empire,1
Constantinople,Douala,Empire ottoman/Turquie,Cameroun,foreign,empire,1
Constantinople,Fort-de-France,Empire ottoman/Turquie,Guadeloupe et Martinique,foreign,empire,1
Lomé,Tourane,Togo,Indochine,empire,empire,1
Douala,Tourane,Cameroun,Indochine,empire,empire,1
Le Havre,Tourane,France,Indochine,metropole,empire,1
Tananarive,Tourane,Madagascar,Indochine,empire,empire,1
Le Havre,Saïgon,France,Indochine,metropole,empire,1
Casablanca,Tamatave,Maroc,Madagascar,empire,empire,1
Constantine,Tanger,Algérie,Maroc,empire,empire,1
Lisbonne,Tanger,Portugal,Maroc,foreign,empire,1
Nouméa,Tanger,Nouvelle-Calédonie,Maroc,empire,empire,1
Fès,Pnom-Penh,Maroc,Indochine,empire,empire,1
Fès,Grenoble,Maroc,France,empire,metropole,1
Fès,Hanoï,Maroc,Indochine,empire,empire,1
Constantinople,Fès,Empire ottoman/Turquie,Maroc,foreign,empire,1
Le Caire,Marseille,Égypte,France,foreign,metropole,1
Constantine,Marseille,Algérie,France,empire,metropole,1
Casablanca,Hussein-Dey,Maroc,Algérie,empire,empire,1
Bienhoa,Casablanca,Indochine,Maroc,empire,empire,1
Haïphong,Tunis,Indochine,Tunisie,empire,empire,1
Haïphong,Saint-Louis,Indochine,Sénégal,empire,empire,1
Fianarantsoa,Paris,Madagascar,France,empire,metropole,1
Londres,Port-Lyautey,Royaume-Uni,Maroc,foreign,empire,1
Londres,Marrakech,Royaume-Uni,Maroc,foreign,empire,1
Londres,Philippeville,Royaume-Uni,Algérie,foreign,empire,1
Londres,Rabat,Royaume-Uni,Maroc,foreign,empire,1
Kayes,Londres,Soudan français,Royaume-Uni,empire,foreign,1
Lisbonne,Tananarive,Portugal,Madagascar,foreign,empire,1
Dap-Cau,Tananarive,Indochine,Madagascar,empire,empire,1
Marseille,Mostaganem,France,Algérie,metropole,empire,1
Marseille,Rufisque,France,Sénégal,metropole,empire,1
Bamako,Marseille,Soudan français,France,empire,metropole,1
Beyrouth,Marseille,Syrie-Liban,France,empire,metropole,1
Bordeaux,Haïphong,France,Indochine,metropole,empire,1
Kayes,Libreville,Soudan français,Gabon,empire,empire,1
Libreville,Port-Gentil,Gabon,Gabon,empire,empire,1
Cayenne,Libreville,Guyane française,Gabon,empire,empire,1
Libreville,Yaoundé,Gabon,Cameroun,empire,empire,1
Libreville,Nouméa,Gabon,Nouvelle-Calédonie,empire,empire,1
Conakry,Libreville,Guinée Conakry,Gabon,empire,empire,1
Alger,Nouméa,Algérie,Nouvelle-Calédonie,empire,empire,1
Lyon,Nouméa,France,Nouvelle-Calédonie,metropole,empire,1
Hanoï,Nouméa,Indochine,Nouvelle-Calédonie,empire,empire,1
Kayes,Nouméa,Soudan français,Nouvelle-Calédonie,empire,empire,1
Conakry,Nouméa,Guinée Conakry,Nouvelle-Calédonie,empire,empire,1
Papeete,Tuléar,Tahiti (Polynésie),Madagascar,empire,empire,1
Bruxelles,Tuléar,Belgique,Madagascar,foreign,empire,1
Fedhala,Tuléar,Maroc,Madagascar,empire,empire,1
Rabat,Tuléar,Maroc,Madagascar,empire,empire,1
Constantine,Saïgon,Algérie,Indochine,empire,empire,1
Cantho,Saïgon,Indochine,Indochine,empire,empire,1
Cholon,Lyon,Indochine,France,empire,metropole,1
Cholon,Fès,Indochine,Maroc,empire,empire,1
Cholon,Sousse,Indochine,Tunisie,empire,empire,1
Cholon,Constantine,Indochine,Algérie,empire,empire,1
Cholon,Rabat,Indochine,Maroc,empire,empire,1
Bangui,Cholon,Oubangui-Chari,Indochine,empire,empire,1
Alger,Singapour,Algérie,Malaisie,empire,foreign,1
Alger,Sidi-bel-Abbès,Algérie,Algérie,empire,empire,1
Alger,Fort-de-France,Algérie,Guadeloupe et Martinique,empire,empire,1
Fedhala,Rufisque,Maroc,Sénégal,empire,empire,1
Abidjan,Fedhala,Côte d'Ivoire,Maroc,empire,empire,1
Alger,Léopoldville,Algérie,Congo-Kinshasa,empire,foreign,1
Athènes,Marrakech,Grèce,Maroc,foreign,empire,1
Haïphong,Marrakech,Indochine,Maroc,empire,empire,1
Bordeaux,Marrakech,France,Maroc,metropole,empire,1
Singapour,Tunis,Malaisie,Tunisie,foreign,empire,1
Moroni,Tunis,Comores,Tunisie,empire,empire,1
Grand-Bassam,Le Caire,Côte d'Ivoire,Égypte,empire,foreign,1
Le Caire,Lyon,Égypte,France,foreign,metropole,1
Alexandrie,Le Caire,Égypte,Égypte,foreign,foreign,1
Le Caire,Tananarive,Égypte,Madagascar,foreign,empire,1
Le Caire,Tamatave,Égypte,Madagascar,foreign,empire,1
Casablanca,Le Caire,Maroc,Égypte,empire,foreign,1
Djibouti,Le Caire,Djibouti,Égypte,empire,foreign,1
Abidjan,Oran,Côte d'Ivoire,Algérie,empire,empire,1
Hussein-Dey,Oran,Algérie,Algérie,empire,empire,1
Brazzaville,Rufisque,Congo-Brazzaville,Sénégal,empire,empire,1
Abidjan,Bienhoa,Côte d'Ivoire,Indochine,empire,empire,1
Abidjan,Pointe-Noire,Côte d'Ivoire,Congo-Brazzaville,empire,empire,1
Bangui,Saïgon,Oubangui-Chari,Indochine,empire,empire,1
Papeete,Saïgon,Tahiti (Polynésie),Indochine,empire,empire,1
Fort-de-France,Saïgon,Guadeloupe et Martinique,Indochine,empire,empire,1
La Haye,Port-Gentil,Pays-Bas,Gabon,foreign,empire,1
Casablanca,Léopoldville,Maroc,Congo-Kinshasa,empire,foreign,1
Lyon,Oran,France,Algérie,metropole,empire,1
Alger,Amsterdam,Algérie,Pays-Bas,empire,foreign,1
Haïphong,Hué,Indochine,Indochine,empire,empire,1
Haïphong,Pointe-Noire,Indochine,Congo-Brazzaville,empire,empire,1
Haïphong,Le Havre,Indochine,France,empire,metropole,1
Bamako,Haïphong,Soudan français,Indochine,empire,empire,1
Haïphong,Pointe-à-Pitre,Indochine,Guadeloupe et Martinique,empire,empire,1
Majunga,Sousse,Madagascar,Tunisie,empire,empire,1
Lyon,Vinh,France,Indochine,metropole,empire,1
Lille,Papeete,France,Tahiti (Polynésie),metropole,empire,1
Marseille,Papeete,France,Tahiti (Polynésie),metropole,empire,1
Libreville,Lyon,Gabon,France,empire,metropole,1
Dakar,Pointe-Noire,Sénégal,Congo-Brazzaville,empire,empire,1
Dakar,Sfax,Sénégal,Tunisie,empire,empire,1
Athènes,Dakar,Grèce,Sénégal,foreign,empire,1
Constantine,Londres,Algérie,Royaume-Uni,empire,foreign,1
Kaolack,Londres,Sénégal,Royaume-Uni,empire,foreign,1
Abidjan,Londres,Côte d'Ivoire,Royaume-Uni,empire,foreign,1
Constantine,Douala,Algérie,Cameroun,empire,empire,1
Douala,La Rochelle,Cameroun,France,empire,metropole,1
Abidjan,Djibouti,Côte d'Ivoire,Djibouti,empire,empire,1
Abidjan,Constantine,Côte d'Ivoire,Algérie,empire,empire,1
Abidjan,Bangui,Côte d'Ivoire,Oubangui-Chari,empire,empire,1
Rufisque,Tananarive,Sénégal,Madagascar,empire,empire,1
Rufisque,Tamatave,Sénégal,Madagascar,empire,empire,1
Le Havre,Vinh,France,Indochine,metropole,empire,1
Lisbonne,Nossi-Bé,Portugal,Madagascar,foreign,empire,1
Lomé,Nossi-Bé,Togo,Madagascar,empire,empire,1
Amsterdam,Port-Gentil,Pays-Bas,Gabon,foreign,empire,1
Bangui,Cotonou,Oubangui-Chari,Dahomey (Bénin),empire,empire,1
Cotonou,Saint-Louis,Dahomey (Bénin),Sénégal,empire,empire,1
Cotonou,Tanger,Dahomey (Bénin),Maroc,empire,empire,1
Marseille,Sidi-bel-Abbès,France,Algérie,metropole,empire,1
Grand-Bassam,Tourane,Côte d'Ivoire,Indochine,empire,empire,1
Singapour,Tourane,Malaisie,Indochine,foreign,empire,1
Anvers,Hanoï,Belgique,Indochine,foreign,empire,1
Anvers,Rabat,Belgique,Maroc,foreign,empire,1
Anvers,Oran,Belgique,Algérie,foreign,empire,1
Anvers,Léopoldville,Belgique,Congo-Kinshasa,foreign,foreign,1
Anvers,Lisbonne,Belgique,Portugal,foreign,foreign,1
Marrakech,Philippeville,Maroc,Algérie,empire,empire,1
Philippeville,Port-Lyautey,Algérie,Maroc,empire,empire,1
Lisbonne,Philippeville,Portugal,Algérie,foreign,empire,1
Philippeville,Singapour,Algérie,Malaisie,empire,foreign,1
La Haye,Philippeville,Pays-Bas,Algérie,foreign,empire,1
Bangui,Fedhala,Oubangui-Chari,Maroc,empire,empire,1
Fedhala,Papeete,Maroc,Tahiti (Polynésie),empire,empire,1
Bruxelles,Fedhala,Belgique,Maroc,foreign,empire,1
Fedhala,Grand-Bassam,Maroc,Côte d'Ivoire,empire,empire,1
Lyon,Nossi-Bé,France,Madagascar,metropole,empire,1
Londres,Nossi-Bé,Royaume-Uni,Madagascar,foreign,empire,1
Dap-Cau,Nossi-Bé,Indochine,Madagascar,empire,empire,1
Nossi-Bé,Singapour,Madagascar,Malaisie,empire,foreign,1
Bruxelles,Marseille,Belgique,France,foreign,metropole,1
