person_id,name_clean,chambers,both_chambers,constituencies,n_constituencies,also_minister,first_year,last_year,tenure_years,n_snapshots,snapshots,key_ambiguous,in_network,n_companies,n_proxy_firms,territories,n_territories,evidence
bouisson-f,Fernand Bouisson,Chamber of Deputies,0,Bouches-du-Rhône,1,0,1909,1942,33,3,1930; 1932; 1936,0,1,2,0,Empire (transversal); Tunisie,2,mention; roster
boulanger,Boulanger,Senate,0,,0,0,,,,0,,1,0,0,0,,0,mention
bouquet,Bouquet,Chamber of Deputies,0,Marseille,1,0,,,,0,,1,1,1,0,Guinée Conakry,1,mention
bouret-h,Henri Bouret,Chamber of Deputies,0,Côtes-du-Nord,1,0,,,,0,,0,0,0,0,,0,mention
bourgeois,Bourgeois,Senate,0,Haut-Rhin,1,0,,,,0,,1,1,16,0,Afrique occidentale française; Algérie; Empire (transversal); Indochine; La Réunion,5,mention
bourgeois-r,Robert Bourgeois,Senate,0,Haut-Rhin,1,0,,,,3,1924; 1930; 1932,0,0,0,0,,0,roster
bourges-maunoury-m,Maurice Bourgès-Maunoury,Chamber of Deputies,0,Haute-Garonne,1,0,,,,1,1954,0,0,0,0,,0,roster
bourlon-de-rouvre,Bourlon de Rouvre,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
bourrat,Bourrat,Chamber of Deputies,0,Pyrénées-Orientales,1,1,,,,0,,1,0,0,0,,0,mention
bourrat-j,Jean Bourrat,Chamber of Deputies,0,La,1,0,,,,0,,0,0,0,0,,0,mention
bourre-e,Édouard Bourre,Chamber of Deputies,0,,0,0,,,,0,,0,1,2,0,Égypte,1,mention
bousquet,Bousquet,Chamber of Deputies,0,,0,0,,,,0,,1,1,11,0,Afrique occidentale française; Afrique équatoriale française; Algerie; Algérie; Gabon; Guinée Conakry; Maroc; Syrie-Liban; Tunisie,9,mention
boussenot,Boussenot,Chamber of Deputies,0,Réunion,1,0,,,,0,,1,1,3,0,Afrique occidentale française; Afrique équatoriale française; Indochine,3,mention
boussenot-g,Georges Boussenot,Chamber of Deputies,0,Réunion,1,1,,,,1,1924,0,1,14,0,Afrique occidentale française; Afrique équatoriale française; Congo-Brazzaville ou Moyen-Congo; Guadeloupe et Martinique; Indochine; Madagascar,6,mention; roster
bouteille-d,Désiré-Alfred Bouteille,Chamber of Deputies,0,Oise,1,0,1919,1932,13,2,1930; 1932,0,0,0,0,,0,roster
boutemy-a,André BOUTEMY,Senate,0,Seine-et-Marne,1,0,,,,1,1954,0,0,0,0,,0,mention; roster
bouvart-p,Paul Bouvart,Senate,0,Eure-et-Loir,1,0,,,,2,1930; 1932,0,1,1,0,Empire (transversal),1,roster
bouvet-m,Maurice Bouvet,Chamber of Deputies,0,Jura,1,0,1919,1924,5,1,1924,0,0,0,1,,0,roster
bouvier,Bouvier,Chamber of Deputies,0,,0,1,,,,0,,1,1,15,0,Afrique équatoriale française; Algérie; Congo-Brazzaville ou Moyen-Congo; Empire (transversal); Indochine; Madagascar,6,mention
bouvier-o-cottereau-j,Jean-Marie Bouvier O'Cottereau,Chamber of Deputies,0,,0,0,1945,1955,10,0,,0,0,0,0,,0,mention
bouyssou-l,Léo Bouyssou,Chamber of Deputies,0,Landes,1,0,,,,0,,0,0,0,0,,0,mention
boyer-a-amedee,Antide Boyer,Chamber of Deputies,0,Bouches-du-Rhône,1,0,,,,0,,0,1,6,0,Empire (transversal); Indochine; Maroc,3,mention
boyer-e-etienne,Edmond Boyer,Chamber of Deputies,0,Maine-et-Loire,1,0,1924,1932,8,2,1930; 1932,0,1,5,0,Algérie; Guinée Conakry; Indochine,3,roster
boyer-m,Marius Boyer,Chamber of Deputies,0,Bouches-du-Rhône,1,0,,,,0,,0,1,6,0,Afrique équatoriale française; Empire (transversal); Indochine; Syrie-Liban,4,mention
bozerian-j,Jules Bozérian,Chamber of Deputies; Senate,1,,0,0,1871,1893,22,0,,0,1,1,0,Empire (transversal),1,mention
brelay-e,Émile Brelay,Chamber of Deputies,0,Paris; Seine,2,0,,,,0,,0,1,3,0,Empire (transversal); Indochine,2,mention
bret-g,Georges Bret,Chamber of Deputies,0,Ille,1,0,1924,1942,18,3,1930; 1932; 1936,0,1,3,0,Empire (transversal); Sénégal,2,roster
breteau-d,Breteau,Chamber of Deputies; Senate,1,Sarthe,1,0,1924,1927,3,2,1930; 1932,1,1,2,0,Algérie; Maroc,2,roster
breton,Breton,Senate,0,Cher,1,0,,,,2,1924; 1930,1,1,11,0,Afrique occidentale française; Indochine,2,roster
breton-a,André Breton,Chamber of Deputies,0,Cher,1,0,,,,1,1932,0,1,2,0,Afrique occidentale française; Indochine,2,roster
brice-r,René Brice,Chamber of Deputies,0,Ille-et-Vilaine,1,0,1871,1921,50,0,,0,1,1,0,Afrique occidentale française,1,mention
brincard,Brincard,Chamber of Deputies,0,,0,0,,,,0,,1,1,2,0,Afrique occidentale française; Afrique équatoriale française,2,mention
brindeau,Brindeau,Senate,0,,0,1,,,,0,,1,1,1,0,Empire (transversal),1,mention
brindeau-l,Louis Brindeau,Chamber of Deputies; Senate,1,,0,0,1895,1912,17,2,1930; 1932,0,0,0,0,,0,mention; roster
bringer,Bringer,Chamber of Deputies,0,Lozère,1,0,,,,1,1924,1,1,1,0,Maroc,1,roster
bringer-l,Louis-Pierre-Marie Bringer,Chamber of Deputies,0,Lozère,1,0,1919,1932,13,3,1930; 1932; 1936,0,0,0,0,,0,roster
briquet-c,Camille Briquet,Chamber of Deputies,0,Eure,1,0,,,,0,,0,0,0,0,,0,mention
brizard-r,Robert BRIZARD,Senate,0,Eure-et-Loir,1,0,,,,1,1954,0,0,0,0,,0,mention; roster
brocard,Brocard,Chamber of Deputies,0,Paris,1,1,,,,0,,1,0,0,0,,0,mention
brocard-f,Félix-Antonin-Gabriel Brocard,Chamber of Deputies,0,Isère; Seine,2,0,1924,1936,12,3,1930; 1932; 1936,0,0,0,0,,0,roster
brogly-m,Médard Brogly,Chamber of Deputies; Senate,1,Haut-Rhin,1,0,,,,2,1932; 1936,0,0,0,0,,0,roster
brom-j,Joseph Brom,Chamber of Deputies,0,,0,0,1924,1936,12,3,1930; 1932; 1936,0,0,0,0,,0,roster
broussais,Broussais,Chamber of Deputies,0,Alger,1,0,,,,0,,1,0,0,0,,0,mention
bruce-ahli-komlan-robert,BRUCE AHLI Komlan Robert,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
brun-f,Fernand Brun,Chamber of Deputies,0,Cantal,1,0,1898,1919,21,2,1930; 1932,0,1,1,0,Indochine,1,roster
brunet,Brunet,Chamber of Deputies,0,Charleroi; Réunion,2,0,,,,0,,1,1,6,0,Afrique occidentale française; Empire (transversal); Indochine,3,mention
brunet-a,Auguste Brunet,Chamber of Deputies,0,La; Réunion,2,1,,,,0,,0,1,1,0,Indochine,1,mention
brunet-f,Frédéric Brunet,Chamber of Deputies,0,Seine,1,0,1914,1919,5,2,1930; 1932,0,0,0,0,,0,roster
brunet-l,Louis Brunet,Chamber of Deputies,0,Seine,1,0,,,,0,,0,1,1,0,Empire (transversal),1,mention
buhan,Buhan,Senate,0,Gironde,1,0,,,,0,,1,0,0,0,,0,mention
buhan-e,Eugène Buhan,Senate,0,Gironde,1,0,1920,1933,13,3,1924; 1930; 1932,0,1,3,0,Madagascar; Maroc,2,mention; roster
buhan-j,Joseph Marie Antoine Eugène Buhan,Senate,0,Gironde,1,0,1924,1936,12,0,,0,0,0,0,,0,mention
bui-huy-tin,Bùi-Huy-Tín,Chamber of Deputies,0,Hanoï,1,0,,,,0,,1,0,0,0,,0,mention
buisson-f,Ferdinand Buisson,Chamber of Deputies,0,,0,1,,,,0,,0,1,1,0,Indochine,1,mention
bureau-g,Georges Bureau,Chamber of Deputies,0,,0,0,,,,0,,0,1,2,0,Empire (transversal),1,mention
burger-g,Gustave BURGER,Chamber of Deputies,0,Haut-Rhin,1,0,,,,1,1930,0,0,0,0,,0,mention; roster
burrus-m,Maurice Burrus,Chamber of Deputies,0,Haut-Rhin,1,0,,,,1,1936,0,1,4,0,Algérie; Empire (transversal); Madagascar,3,roster
butin,Butin,Chamber of Deputies,0,,0,0,,,,0,,1,1,1,0,Indochine,1,mention
butin-o,Octave Butin,Chamber of Deputies,0,Oise,1,0,1906,1919,13,0,,0,1,1,0,Algérie,1,mention
c-c-n-weiller-l,Lazare C. C. N. Weiller,Senate,0,,0,0,,,,0,,0,0,0,0,,0,mention
cadilhon-c,Charles Cadilhon,Senate,0,Landes,1,0,,,,2,1930; 1932,0,1,1,0,Empire (transversal),1,roster
caffort-c,Charles Caffort,Chamber of Deputies,0,Hérault,1,0,1914,1932,18,2,1930; 1932,0,0,0,0,,0,roster
caillat,Caillat,Chamber of Deputies,0,Hautes-Alpes,1,0,,,,1,1924,1,1,3,0,Empire (transversal); Madagascar,2,roster
caillaux-j,Joseph Caillaux,Chamber of Deputies,0,,0,0,1898,1919,21,3,1930; 1932; 1936,0,1,1,0,Afrique occidentale française,1,roster
caillavet,Caillavet,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
caitucoli-m,Marc-Célestin CAITUCOLI,Chamber of Deputies,0,Corse,1,0,,,,1,1930,0,0,0,0,,0,mention; roster
calary-de-lamaziere,Calary de Lamazière,Chamber of Deputies,0,Seine,1,0,,,,1,1924,0,1,7,0,Afrique occidentale française; Afrique équatoriale française; Algérie; Chine; Maroc,5,mention; roster
calary-de-lamaziere-r,Raoul Marie Louis Calary de Lamazière,Chamber of Deputies,0,Seine,1,0,1919,1924,5,1,1924,0,1,3,0,Afrique occidentale française; Maroc,2,mention; roster
callies-a,Alexis Calliès,Chamber of Deputies,0,Haute-Savoie,1,0,1928,1932,4,2,1930; 1932,0,0,0,0,,0,roster
camescasse,Camescasse,Senate,0,,0,1,,,,0,,1,0,0,0,,0,mention
campinchi,Campinchi,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
candace,Candace,Chamber of Deputies,0,,0,1,,,,0,,1,0,0,0,,0,mention
candace-g,Gratien Candace,Chamber of Deputies,0,Guadeloupe,1,0,1912,1942,30,3,1930; 1932; 1936,0,0,0,0,,0,mention; roster
carbuccia-h,Horace Carbuccia,Chamber of Deputies,0,Corse,1,0,,,,1,1936,0,0,0,0,,0,roster
carl-ferdinand-von-stumm-halberg,Carl-Ferdinand von Stumm-Halberg,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
carlier-caffieri-j,Jules Carlier-Caffiéri,Chamber of Deputies,0,Nord,1,0,1926,1932,6,2,1930; 1932,0,0,0,0,,0,roster
carnot-e,Ernest Carnot,Chamber of Deputies,0,Côte-d'Or; Côte-d’Or; Côte-d’or,3,0,1895,1898,3,0,,0,1,14,0,Afrique occidentale française; Afrique équatoriale française; Algérie; Comores; Empire (transversal); Indochine; Tunisie,7,mention
carnot-f,François Carnot,Chamber of Deputies,0,Côte,1,0,1902,1910,8,0,,0,1,3,0,Comores; Indochine,2,mention
carnot-j,Jean Carnot,Chamber of Deputies,0,Charente,1,0,,,,1,1930,0,1,5,0,Afrique occidentale française; Afrique équatoriale française; Cameroun; Maroc,4,mention; roster
carpot,Carpot,Chamber of Deputies,0,Sénégal,1,1,,,,0,,1,0,0,0,,0,mention
carpot-f,François Carpot,Chamber of Deputies,0,Sénégal,1,0,1902,1914,12,0,,0,0,0,0,,0,mention
castelin,Castelin,Chamber of Deputies,0,Aisne,1,0,,,,0,,1,0,0,0,,0,mention
castellani-j,J. CASTELLANI,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
catalogne-d,Damien Catalogne,Chamber of Deputies,0,,0,0,1902,1906,4,2,1930; 1932,0,0,0,0,,0,roster
catrice-j,Jean Catrice,Chamber of Deputies,0,Nord,1,0,,,,1,1954,0,0,0,0,,0,roster
causeret-p,Paul CAUSERET,Chamber of Deputies,0,Haute-Saône,1,0,,,,1,1930,0,0,0,0,,0,mention; roster
cautru-c,Camille Cautru,Chamber of Deputies,0,Calvados,1,0,1919,1936,17,3,1930; 1932; 1936,0,0,0,0,,0,roster
cavillon-deneux-e,Edmond Cavillon-Deneux,Senate,0,Somme,1,0,,,,2,1930; 1932,0,0,0,0,,0,roster
cayrel,Cayrel,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
caze,Caze,Chamber of Deputies,0,Haute-Garonne,1,0,,,,0,,1,0,0,0,,0,mention
caze-e,Edmond Caze,Chamber of Deputies,0,,0,0,,,,0,,0,1,2,0,Algérie; Gabon,2,mention
cazeneuve-a,Cazeneuve,Senate,0,,0,0,,,,0,,1,1,3,0,Afrique équatoriale française; Algérie; Empire (transversal),3,mention
cci-saint-malo,CCI Saint-Malo,Chamber of Deputies,0,Ille-et-Vilaine,1,0,1878,1889,11,0,,0,0,0,0,,0,mention
ceccaldi,Ceccaldi,Chamber of Deputies,0,Aisne,1,0,,,,0,,1,1,2,0,Algérie,1,mention
ceccaldi-p,Pascal Ceccaldi,Chamber of Deputies,0,Aisne,1,0,,,,0,,0,0,0,0,,0,mention
celle-de-m-cayrel,Celle de M Cayrel,Chamber of Deputies,0,S,1,0,,,,0,,0,0,0,0,,0,mention
cg-orne,CG Orne,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
chabaud-latour,Chabaud-Latour,Chamber of Deputies; Senate,1,Gard,1,1,1805,1891,86,0,,1,0,0,0,,0,mention
chader,Chader,Chamber of Deputies,0,,0,1,,,,0,,1,0,0,0,,0,mention
chagnaud-l,Léon CHAGNAUD,Senate,0,Creuse,1,0,,,,2,1924; 1930,0,1,7,0,Algérie; Côte d'Ivoire; Empire (transversal); Maroc,4,mention; roster
chailley,Chailley,Chamber of Deputies,0,,0,0,,,,0,,1,1,1,0,Maroc,1,mention
chailley-j,Joseph Chailley,Chamber of Deputies,0,Vendée,1,0,1906,1914,8,0,,0,1,7,0,Afrique occidentale française; Algérie; Indochine; Maroc,4,mention
chambrun-c,Charles-Louis-Pierre-Antoine-Gilbert Chambrun,Chamber of Deputies,0,,0,0,1898,1933,35,1,1936,0,0,0,0,,0,roster
champetier-de-ribes,Champetier de Ribes,Senate,0,,0,0,,,,0,,0,0,0,0,,0,mention
chanal-e,Eugène Chanal,Senate,0,Ain,1,0,,,,1,1936,0,1,1,0,Empire (transversal),1,mention; roster
chappedelaine-l,Louis Chappedelaine,Chamber of Deputies,0,Côtes-du-Nord,1,0,,,,1,1936,0,0,0,0,,0,roster
chapsal,Chapsal,Senate,0,Charente-Inférieure,1,1,,,,0,,1,1,8,0,Algérie; Empire (transversal); Indochine,3,mention
chapsal-f,Fernand Chapsal,Senate,0,Charente-Inférieure,1,1,1921,1939,18,3,1930; 1932; 1936,0,1,6,0,Algérie; Indochine,2,mention; roster
charabot-e,Eugène Charabot,Senate,0,Alpes-Maritimes,1,0,,,,3,1930; 1932; 1936,0,0,0,0,,0,roster
charles-leroux,Charles-Leroux,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
charles-roux-j,Jules Charles-Roux,Chamber of Deputies,0,Marseille,1,0,1889,1898,9,0,,0,1,6,0,Afrique occidentale française; Algérie; Maroc; Égypte,4,mention
charles-savary,Ch[arles] Savary,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
charlot-e,Étienne Charlot,Chamber of Deputies,0,Côte-d'Or,1,0,1919,1932,13,2,1930; 1932,0,1,1,0,Indochine,1,roster
charruyer-e,Édouard Charruyer,Chamber of Deputies,0,,0,0,1893,1906,13,0,,0,0,0,0,,0,mention
chassaigne-goyon-p,Paul Chassaigne-Goyon,Chamber of Deputies,0,Seine,1,0,1919,1936,17,3,1924; 1930; 1932,0,1,4,0,Afrique équatoriale française; Algérie; Empire (transversal),3,mention; roster
chastellain-j,Jacques Chastellain,Chamber of Deputies,0,Seine-Inférieure,1,0,,,,1,1954,0,1,1,0,Empire (transversal),1,roster
chastenet-g,Guillaume Chastenet,Chamber of Deputies; Senate,1,Gironde,1,0,1897,1912,15,3,1924; 1930; 1932,0,0,0,0,,0,mention; roster
chatenay-v,Victor Chatenay,Chamber of Deputies,0,Maine-et-Loire,1,0,,,,1,1954,0,1,1,0,Empire (transversal),1,roster
chaudey,Chaudey,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
chaumet,Chaumet,Chamber of Deputies,0,,0,0,,,,0,,1,1,4,0,Afrique occidentale francaise; Afrique occidentale française; Empire (transversal),3,mention
chaumet-c,Charles Chaumet,Chamber of Deputies; Senate,1,Gironde,1,1,1902,1932,30,3,1924; 1930; 1932,0,1,4,0,Afrique occidentale française; Empire (transversal); Maroc,3,mention; roster
chaumie-p,Pierre Chaumié,Senate,0,Lot-et-Garonne,1,0,,,,1,1936,0,0,0,0,,0,roster
chautard-p,Paul Chautard,Chamber of Deputies,0,Seine,1,0,1906,1910,4,0,,0,1,6,0,Afrique occidentale française; Algérie; Chine; Empire (transversal); Maroc,5,mention
chautemps,Chautemps,Chamber of Deputies; Senate,1,Paris,1,1,,,,0,,1,0,0,0,,0,mention
chautemps-f,Félix Chautemps,Chamber of Deputies,0,Savoie,1,0,,,,0,,0,0,0,0,,0,mention
chavagnes-r,René Chavagnes,Chamber of Deputies,0,Loir-et-Cher,1,0,,,,0,,0,0,0,0,,0,mention
chavoix-h,Henri CHAVOIX,Chamber of Deputies,0,Dordogne,1,0,,,,0,,0,1,2,0,Madagascar; Tunisie,2,mention
chenebenoit-l,Léon CHENEBENOIT,Senate,0,Aisne,1,0,,,,2,1930; 1932,0,0,0,0,,0,mention; roster
cheneboit,Chêneboit,Senate,0,Aisne,1,0,,,,1,1924,1,0,0,0,,0,roster
cheron-a,Adolphe Chéron,Chamber of Deputies,0,Seine,1,0,1919,1936,17,4,1924; 1930; 1932; 1936,0,0,0,0,,0,mention; roster
cherpin,Cherpin,Senate,0,,0,0,,,,0,,1,0,0,0,,0,mention
chevalier-p,Paul Chevalier,Senate,0,Meuse,1,0,,,,3,1924; 1930; 1932,0,1,1,0,Tunisie,1,roster
chevallier-j,Jack Chevallier,Chamber of Deputies,0,,0,0,,,,0,,0,1,4,0,Algérie,1,mention
chevenement-j,Jean-Pierre Chevènement,Chamber of Deputies,0,,0,0,1979,1989,10,0,,0,0,0,0,,0,mention
chevigne-p,Pierre Chevigné,Chamber of Deputies,0,Basses,1,0,,,,1,1954,0,0,0,0,,0,roster
cie-riotteau,Cie. Riotteau,Chamber of Deputies,0,Manche,1,0,,,,0,,0,0,0,0,,0,mention
clapiper-e,Étienne Clapiper,Chamber of Deputies,0,Seine-et-Marne,1,0,1857,1870,13,0,,0,0,0,0,,0,mention
claudinon,Claudinon,Chamber of Deputies,0,Loire,1,0,,,,0,,1,0,0,0,,0,mention
claus-e,E. Claus,Senate,0,Gard,1,1,,,,0,,0,0,0,0,,0,mention
clemenceau,Clemenceau,Chamber of Deputies,0,,0,1,,,,0,,1,1,1,0,Algérie,1,mention
clementel,Clémentel,Chamber of Deputies,0,Puy-de-Dôme,1,0,,,,0,,1,0,0,0,,0,mention
clementel-e,Étienne Clémentel,Chamber of Deputies; Senate,1,Puy-de-Dôme,1,0,1900,1919,19,3,1924; 1930; 1932,0,1,4,0,Afrique occidentale française; Empire (transversal); Indochine,3,roster
clostermann-p,Pierre-Henri Clostermann,Chamber of Deputies,0,Marne,1,0,,,,1,1954,0,0,0,0,,0,roster
coache-j,Jean Coache,Chamber of Deputies,0,Somme,1,0,1932,1936,4,1,1936,0,0,0,0,,0,mention; roster
cochin-d,Denys Cochin,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
codet-j,Jean Codet,Chamber of Deputies; Senate,1,,0,0,1883,1920,37,0,,0,1,1,0,Afrique occidentale française,1,mention
coignet-j,Jean Coignet,Senate,0,Rhône,1,0,,,,1,1924,0,1,2,0,Algérie; Maroc,2,roster
cointreau-a,André Cointreau,Chamber of Deputies,0,Maine-et-Loire,1,0,,,,1,1936,0,0,0,0,,0,roster
coirre-p,Paul Coirre,Chamber of Deputies,0,Seine,1,0,,,,1,1954,0,0,0,0,,0,roster
colin,Colin,Senate,0,Algérie,1,0,,,,0,,1,0,0,0,,0,mention
colliard,Colliard,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
collignon-c,Charles Collignon,Chamber of Deputies,0,Meurthe,1,0,,,,0,,0,0,0,0,,0,mention
colrat-de-montrozier-m,Maurice Colrat de Montrozier,Chamber of Deputies,0,Seine-et-Oise,1,0,,,,1,1924,0,1,1,0,Afrique occidentale française,1,mention; roster
colrat-m,Maurice COLRAT,Chamber of Deputies,0,Seine-et-Oise,1,0,,,,1,1930,0,0,0,0,,0,mention; roster
combrouze,Combrouze,Chamber of Deputies,0,Gironde,1,0,1906,1924,18,1,1924,1,0,0,0,,0,roster
combrouze-g,Gabriel Combrouze,Chamber of Deputies,0,Gironde,1,0,1906,1924,18,0,,0,1,1,0,Afrique occidentale française,1,mention
comite-du-transsaharien,Comité du Transsaharien,Chamber of Deputies,0,Meurthe-et-Moselle,1,0,,,,0,,0,0,0,0,,0,mention
compere-morel-j,Jean Compere-Morel,Chamber of Deputies,0,Gard,1,0,1909,1936,27,3,1930; 1932; 1936,0,0,0,0,,0,roster
connevot-h,Henri Connevot,Chamber of Deputies,0,Allier,1,0,,,,0,,0,0,0,0,,0,mention
constans,Constans,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
constant-v,Victor Constant,Senate,0,Seine,1,0,,,,0,,0,0,0,0,,0,mention
coquelle-f,Félix Coquelle,Chamber of Deputies,0,Nord,1,0,1926,1928,2,1,1930,0,1,6,0,Afrique occidentale française; Afrique équatoriale française; Indochine; Maroc,4,mention; roster
cordebaine-e,Édouard Cordebaine,Senate,0,Moselle,1,0,,,,1,1936,0,0,0,0,,0,roster
cordier-a,Alphonse Cordier,Chamber of Deputies; Senate,1,,0,0,,,,0,,0,0,0,0,,0,mention
cornet-l,Lucien CORNET,Senate,0,Yonne,1,0,,,,0,,0,0,0,0,,0,mention
cornu-a,André Cornu,Chamber of Deputies; Senate,1,Côtes-du-Nord,1,0,1932,1936,4,0,,0,1,1,0,Algérie,1,mention
corsin-h,Henry Corsin,Chamber of Deputies,0,Loire,1,0,1932,1936,4,0,,0,1,1,0,Madagascar,1,mention
cosnier-h,Henri Cosnier,Chamber of Deputies; Senate,1,Gauche; Indre; Les,3,0,1851,1935,84,3,1924; 1930; 1932,0,1,2,0,Afrique occidentale française,1,mention; roster
coste-floret-a,Alfred Coste-Floret,Chamber of Deputies,0,M.R.P,1,0,,,,0,,0,0,0,0,,0,mention
couchard,Couchard,Chamber of Deputies,0,Sénégal,1,0,,,,0,,1,0,0,0,,0,mention
couhe,Couhe,Chamber of Deputies,0,Pas-de-Calais,1,0,,,,1,1930,1,1,1,0,Syrie-Liban,1,roster
couhe-l,COUHE L,Chamber of Deputies,0,Pas-de-Calais,1,0,,,,0,,0,0,0,0,,0,mention
courtier-j,Joseph Courtier,Chamber of Deputies,0,Wassy,1,0,1919,1924,5,3,1930; 1932; 1936,0,0,0,0,,0,mention; roster
couyba-c,Charles Couyba,Senate,0,,0,1,,,,0,,0,0,0,0,,0,mention
cravoisier,Cravoisier,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
cravoisier-h,Henry Cravoisier,Chamber of Deputies,0,Seine-et-Marne,1,0,1928,1932,4,2,1930; 1932,0,1,1,0,Maroc,1,mention; roster
cremieux-f,Fernand Crémieux,Chamber of Deputies; Senate,1,,0,0,1885,1928,43,0,,0,1,1,0,"Soudan français (Mali, Haute-Volta — ou Burkina-Fasso — et Niger)",1,mention
crespel,Crespel,Chamber of Deputies,0,Nord,1,0,,,,1,1930,1,0,0,0,,0,roster
crespel-a,CRESPEL A,Chamber of Deputies,0,Nord,1,0,,,,0,,0,0,0,0,,0,mention
croizat-a,Ambroise Croizat,Chamber of Deputies,0,,0,0,,,,0,,0,1,1,0,Algérie,1,mention
cross-m,Military Cross,Chamber of Deputies; Senate,1,Meurthe-et; Puy-de-Dôme,2,1,,,,1,1954,0,1,1,0,Empire (transversal),1,mention; roster
cuny-p,Paul Cuny,Chamber of Deputies,0,,0,0,1910,1914,4,0,,0,0,0,0,,0,mention
cuttoli,Cuttoli,Senate,0,,0,0,,,,0,,1,0,0,0,,0,mention
cuttoli-j,Jules Cuttoli,Chamber of Deputies,0,Algérie,1,0,1928,1936,8,0,,0,1,1,0,Algérie,1,mention
cuttoli-p,Paul Cuttoli,Chamber of Deputies; Senate,1,Constantine,1,0,1906,1919,13,3,1930; 1932; 1936,0,0,0,0,,0,mention; roster
d-andigne-g,Geoffroy d'Andigné,Chamber of Deputies,0,Maine-et-Loire,1,0,1924,1932,8,1,1930,0,0,0,0,,0,roster
d-andlau,d'Andlau,Senate,0,Bas-Rhin,1,0,,,,2,1930; 1932,1,0,0,0,,0,roster
d-ariste,D'Ariste,Chamber of Deputies,0,Basses-Pyrénées,1,0,,,,0,,1,0,0,0,,0,mention
d-asson-b,Baudry d'Asson,Chamber of Deputies; Senate,1,Vendée,1,0,,,,2,1924; 1932,0,0,0,0,,0,roster
d-audiffret-pasquier-e,Étienne d'Audiffret-Pasquier,Chamber of Deputies,0,Orne,1,0,1919,1942,23,3,1930; 1932; 1936,0,1,4,0,Afrique occidentale française; Algérie,2,mention; roster
d-donon-m,Marcel D. DONON,Senate,0,Loiret,1,0,,,,0,,0,0,0,0,,0,mention
d-emile-marchegay-c,Cousin d'Émile Marchegay,Chamber of Deputies,0,Vendée,1,0,1895,1898,3,0,,0,0,0,0,,0,mention
dahlet-c,Camille Dahlet,Chamber of Deputies,0,Bas-Rhin,1,0,1928,1942,14,3,1930; 1932; 1936,0,0,0,0,,0,roster
daladier-g,Daladier,Chamber of Deputies,0,Vaucluse,1,0,,,,1,1924,1,1,2,0,Indochine; Maroc,2,roster
dalimier,Dalimier,Chamber of Deputies,0,,0,0,,,,0,,1,0,0,0,,0,mention
damour,Damour,Chamber of Deputies,0,Landes,1,0,,,,0,,1,1,3,0,Algérie; Empire (transversal); Maroc,3,mention
damour-m,Maurice Damour,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
dariac-a,Adrien Dariac,Chamber of Deputies,0,Orne,1,0,1910,1942,32,3,1930; 1932; 1936,0,0,0,0,,0,roster
dassault-m,Marcel Dassault,Chamber of Deputies,0,Alpes-Maritimes,1,0,,,,1,1954,0,1,2,0,Empire (transversal),1,roster
daudet-l,Léon Daudet,Chamber of Deputies,0,Seine,1,0,,,,0,,0,1,1,0,Madagascar,1,mention
dausset,Dausset,Senate,0,Seine,1,0,,,,1,1924,1,0,0,0,,0,roster
dausset-l,Louis DAUSSET,Senate,0,,0,0,,,,0,,0,1,3,0,Afrique occidentale française; Afrique équatoriale française; Guinée Conakry,3,mention
dauzon-p,PHILIPPE DAUZON,Chamber of Deputies,0,,0,0,,,,0,,0,0,0,0,,0,mention
david-f,Fernand David,Chamber of Deputies; Senate,1,Haute-Savoie,1,1,1898,1935,37,2,1930; 1932,0,0,0,0,,0,mention; roster
david-j,Jean-Paul David,Chamber of Deputies,0,Auch; Gers; Paris; Seine-et-Oise,4,0,,,,1,1954,0,1,2,0,Empire (transversal); Indochine,2,mention; roster
david-r,Robert David,Chamber of Deputies,0,Dordogne,1,0,1910,1910,0,0,,0,1,3,0,Afrique occidentale française; Algérie,2,mention
de-barante,DE BARANTE,Senate,0,,0,0,,,,0,,0,0,0,0,,0,mention
de-bartolini,de Bartolini,Chamber of Deputies,0,Toulon,1,1,,,,0,,0,0,0,0,,0,mention
de-baudry-d-asson,de Baudry d'Asson,Senate,0,Vendée,1,0,,,,1,1930,0,0,0,0,,0,roster
