person_id,surname,given_variants,n_companies,n_board_companies,n_observations,top_role,roles,first_year,last_year,regions,sectors,n_name_variants,name_variants,merged_keys,affiliation_notes
gimon-p,Gimon,P.; Pierre,2,2,2,president_directeur_general,president_directeur_general:1; administrateur:1,1951,1953,Antilles-Guyane; Indochine,"Bois, meubles, papier, allumettes; Divers",2,P. Gimon; Pierre Gimon,gimon-p,
indoch-b,Indoch],Bq,2,2,2,administrateur,administrateur:1; president:1,1951,1971,Antilles-Guyane; Indochine,Divers; Documents généraux (par ordre chronologique),2,Bq Indoch.]; Bq Indoch],indoch-b,
gouverneur-general-honoraire-des-colonies,gouverneur général honoraire des Colonies,,2,2,2,administrateur,administrateur:1; president:1,1920,1928,Indochine; Madagascar et Djibouti,Mines; Sociétés diverses,1,gouverneur général honoraire des Colonies,gouverneur-general-honoraire-des-colonies,
b-faure-beaulieu,B Faure-Beaulieu,,2,2,2,administrateur,administrateur:2,1934,1950,Indochine; Madagascar et Djibouti,Sociétés diverses; Sociétés françaises,1,B Faure-Beaulieu,b-faure-beaulieu,ernard
acieries,Aciéries,,2,2,2,administrateur,administrateur:2,1912,1929,Empire (transversal),Groupes financiers transcoloniaux,1,Aciéries,acieries,
carrier-p,Carrier,P.,2,2,2,administrateur,administrateur:2,1945,1951,Empire (transversal),Groupes financiers transcoloniaux; Groupes industriels transcoloniaux,1,P. Carrier,carrier-p,
nizery-a,Nizery,A.,2,2,2,administrateur,administrateur:2,1937,1937,Empire (transversal),Documents généraux (par ordre chronologique),2,A. Nizery; Nizery,nizery; nizery-a,
waage-n,Waage,N.,2,2,2,administrateur,administrateur:2,1937,1937,Empire (transversal),Documents généraux (par ordre chronologique),1,N. Waage,waage-n,
ronarc-h,Ronarc'h,,2,2,2,administrateur,administrateur:2,1920,1937,Empire (transversal),Documents généraux (par ordre chronologique); Transports maritimes,1,Ronarc'h,ronarc-h,
lancelot-p,Lancelot,P,2,2,2,administrateur,administrateur:2,1937,1956,Empire (transversal),Documents généraux (par ordre chronologique),2,Lancelot; P Lancelot,lancelot; lancelot-p,dg Aubrives et Villerupt
reggio-j,Reggio,J; Jean,2,2,2,administrateur,administrateur:2,1937,1956,Empire (transversal),Documents généraux (par ordre chronologique),2,J Reggio; Jean Reggio,reggio-j,Marseillaise de crédit
gardanez-a,Gardanez,A.,2,2,2,administrateur,administrateur:2,1937,1937,Empire (transversal); Madagascar et Djibouti,Documents généraux (par ordre chronologique),1,A. Gardanez,gardanez-a,
etabl-ballande,Établ. Ballande,,2,2,2,vice_president,vice_president:1; administrateur:1,1926,1937,Empire (transversal); Pacifique,Documentation générale (par ordre chronologique); Documents généraux (par ordre chronologique),1,Établ. Ballande,etabl-ballande,
sauvage-f,Sauvage,F.; Fortuné,2,2,2,president,president:2,1937,1937,Empire (transversal); Indochine,Documents généraux (par ordre chronologique),2,F. Sauvage; Fortuné Sauvage,sauvage-f,
muller-j,Muller,J.-L.-M.; Jean,2,2,2,administrateur_delegue,administrateur_delegue:1; administrateur:1,1929,1937,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,J.-L.-M. Muller; Jean Muller,muller-j,
renault-l,Renault,Louis,2,2,2,administrateur,administrateur:2,1927,1937,Empire (transversal); Proche-Orient,Documents généraux (par ordre chronologique); Transports aériens,1,Louis Renault,renault-l,
heenen-g,Heenen,G; Gaston,2,2,2,administrateur,administrateur:2,1937,1956,Empire (transversal),Documents généraux (par ordre chronologique),2,G Heenen; Gaston Heenen,heenen-g,
ed-giscard-d-estaing,Ed. Giscard d'Estaing,,2,2,2,administrateur,administrateur:2,1937,1971,Empire (transversal); Indochine,Documents généraux (par ordre chronologique),1,Ed. Giscard d'Estaing,ed-giscard-d-estaing,
blay-a,Blay,André,2,2,2,administrateur,administrateur:2,1922,1937,Empire (transversal); Madagascar et Djibouti,Documents généraux; Documents généraux (par ordre chronologique),1,André Blay,blay-a,comm. St-Denis
escallier-l,Escallier,L.; Louis,2,2,2,president,president:1; administrateur:1,1937,1937,Empire (transversal),Documents généraux (par ordre chronologique),2,L. Escallier; Louis Escallier,escallier-l,
moatti-m,Moatti,Moise; Moïse,2,2,2,administrateur,administrateur:2,1937,1937,Empire (transversal),Documents généraux (par ordre chronologique),2,Moise Moatti; Moïse Moatti,moatti-m,
marconnet-p,Marconnet,P,2,2,2,president,president:1; vice_president:1,1937,1956,Empire (transversal),Documents généraux (par ordre chronologique),2,Marconnet; P Marconnet,marconnet; marconnet-p,v.-pdt Terrot
pages-g,Pagès,G.,2,2,2,administrateur,administrateur:2,1908,1937,Empire (transversal); Indochine,Commerce; Documents généraux (par ordre chronologique),1,G. Pagès,pages-g,
bunel-c,Bunel,Camille,2,2,2,administrateur,administrateur:2,1937,1942,Empire (transversal); Indochine,Commerce; Documents généraux (par ordre chronologique),2,Bunel; Camille Bunel,bunel; bunel-c,Henri; Indoch. films et cinémas
bellonnie-t,Bellonnie,T.; Th,2,2,2,administrateur,administrateur:2,1937,1956,Empire (transversal),Documents généraux (par ordre chronologique),2,T. Bellonnie; Th Bellonnie,bellonnie-t,Bq de la Martinique
ardant-h,Ardant,H.; Henri,2,2,2,administrateur,administrateur:2,1937,1945,Empire (transversal); Indochine,"Banque, gérance, assurances…; Documents généraux (par ordre chronologique)",2,H. Ardant; Henri Ardant,ardant-h,
derode-e,Derode,E.,2,2,2,vice_president,vice_president:1; administrateur:1,1933,1937,Empire (transversal); Maroc,Commerce; Documents généraux (par ordre chronologique),1,E. Derode,derode-e,
clementel-g,Clémentel,G; Gilbert,2,2,2,administrateur,administrateur:2,1937,1956,Empire (transversal),Documents généraux (par ordre chronologique),2,G Clémentel; Gilbert Clémentel,clementel-g,
dru-p,Dru,Paul,2,2,2,administrateur,administrateur:2,1923,1937,Empire (transversal),Documents généraux (par ordre chronologique); Sociétés commerciales transcoloniales,2,Dru; Paul Dru,dru; dru-p,
aubert-c,Aubert,Ch.; Charles,2,2,2,administrateur,administrateur:2,1937,1942,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,Ch. AUBERT; Charles Aubert,aubert-c,
fitau-g,Fitau,Gustave,2,2,2,administrateur,administrateur:2,1937,1937,Empire (transversal); Madagascar et Djibouti,Documents généraux (par ordre chronologique),1,Gustave Fitau,fitau-g,
g-schwob-d-hericourt-j,G. Schwob d'Héricourt,Jean,2,2,2,administrateur,administrateur:2,1922,1937,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,G Schwob (d'Héricourt; Jean G. Schwob d'Héricourt,g-schwob-d-hericourt; g-schwob-d-hericourt-j,eorges
seguin,Seguin,,2,2,2,administrateur,administrateur:2,1925,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes industriels transcoloniaux,1,Seguin,seguin,dg Éts Pigeon
conti-e,Conti,Emile; Eugène,2,2,2,administrateur,administrateur:2,1928,1931,Empire (transversal); Indochine,Groupes financiers transcoloniaux; Héveas et caoutchouc,2,Emile Conti; Eugène Conti,conti-e,
c-poirson,C Poirson,,2,2,2,administrateur,administrateur:1; president:1,1912,1920,Empire (transversal); Indochine,Groupes indochinois et dirigeants d'affaires diverses; Groupes miniers transcoloniaux,2,C POIRSON; C Poirson,c-poirson,harles
massard-a,Massard,A; A.,2,2,2,administrateur,administrateur:2,1953,1956,Empire (transversal),Documents généraux (par ordre chronologique); Sociétés commerciales transcoloniales,2,A Massard; A. Massard,massard-a,Au Bon Marché
gaertner-h,Gaertner,H.; Hugo,2,2,2,administrateur,administrateur:2,1911,1926,Empire (transversal); Indochine,Groupes financiers transcoloniaux; Industries diverses,2,H. Gaertner; Hugo Gaertner,gaertner-h,
sejournet-j,Séjournet,J; J.,2,2,2,administrateur,administrateur:2,1917,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes industriels transcoloniaux,2,J Séjournet; J. Séjournet,sejournet-j,dg Comptoir indus. d’étirage et profilage de métaux
v-place,V PLACE,,2,2,2,administrateur,administrateur:2,1929,1942,Empire (transversal),Groupes financiers transcoloniaux,1,V PLACE,v-place,ictor
fontaine-de-laveleye-e,Fontaine de Laveleye,E.,2,2,2,administrateur,administrateur:2,1910,1918,Empire (transversal),Groupes financiers transcoloniaux,2,E. Fontaine de Laveleye; Fontaine de Laveleye,fontaine-de-laveleye; fontaine-de-laveleye-e,
sylvain-j,Sylvain,J.,2,2,2,conseil_surveillance,conseil_surveillance:1; administrateur:1,1912,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,J. Sylvain; Sylvain,sylvain; sylvain-j,Houillères Dauphiné
leveque,Lévêque,,2,2,2,administrateur,administrateur:2,1920,1930,Empire (transversal),Groupes financiers transcoloniaux,1,Lévêque,leveque,
foy,Foy,,2,2,2,administrateur,administrateur:2,1926,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,1,Foy,foy,Appareils Boirault
suisse,Suisse,,2,2,2,administrateur,administrateur:2,1919,1933,Empire (transversal),Bâtiment et travaux publics; Groupes financiers transcoloniaux,1,Suisse,suisse,
valle-p,Valle,P,2,2,2,administrateur,administrateur:2,1912,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,P Vallé; Valle,valle; valle-p,
musnier-j,Musnier,J; J.,2,2,2,administrateur,administrateur:1; president:1,1913,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,J Musnier; J. Musnier,musnier-j,pdt hon. Lincrusta
deleury-j,Deleury,J.,2,2,2,administrateur,administrateur:2,1913,1913,Empire (transversal),Bâtiment et travaux publics; Groupes financiers transcoloniaux,1,J. Deleury,deleury-j,
candeliez-l,Candeliez,L.,2,2,2,administrateur,administrateur:2,1913,1913,Empire (transversal),Bâtiment et travaux publics; Groupes financiers transcoloniaux,1,L. Candeliez,candeliez-l,
flicoteaux-a,Flicoteaux,A.,2,2,2,administrateur,administrateur:2,1913,1913,Empire (transversal),Bâtiment et travaux publics; Groupes financiers transcoloniaux,1,A. Flicoteaux,flicoteaux-a,
rhodes-f,Rhodes,F.,2,2,2,administrateur,administrateur:2,1913,1913,Empire (transversal),Bâtiment et travaux publics; Groupes financiers transcoloniaux,1,F. Rhodes,rhodes-f,
courbevoie,Courbevoie,,2,2,2,administrateur,administrateur:2,1921,1929,Empire (transversal); Indochine,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,COURBEVOIE; Courbevoie,courbevoie,Seine
blond-h,Blond,Henri,2,2,2,administrateur,administrateur:2,1924,1924,Empire (transversal),Groupes financiers transcoloniaux; Sociétés commerciales transcoloniales,1,Henri Blond,blond-h,
goudchaux-e,Goudchaux,Edmond,2,2,2,administrateur,administrateur:2,1907,1907,Empire (transversal),Groupes financiers transcoloniaux,1,Edmond Goudchaux,goudchaux-e,
de-gunzburg-j,de Gunzburg,Jacques; Jean,2,2,2,administrateur,administrateur:2,1920,1925,Empire (transversal),Groupes financiers transcoloniaux; Groupes industriels transcoloniaux,2,Jacques de Gunzburg; Jean de Gunzburg,de-gunzburg-j,
parc-de-montretout,parc de Montretout,,2,2,2,administrateur_delegue,administrateur_delegue:1; administrateur:1,1925,1928,Empire (transversal); Madagascar et Djibouti,Groupes financiers transcoloniaux; Sociétés diverses,1,parc de Montretout,parc-de-montretout,
porges-c,Porgès,Charles,2,2,2,administrateur,administrateur:2,1895,1895,Empire (transversal); Madagascar et Djibouti,Groupes financiers transcoloniaux,1,Charles Porgès,porges-c,
ochs-g,Ochs,Georges,2,2,2,administrateur,administrateur:2,1895,1895,Empire (transversal); Madagascar et Djibouti,Groupes financiers transcoloniaux,1,Georges Ochs,ochs-g,
associes-de-la-maison-ochs-freres,associés de la maison Ochs frères,,2,2,2,administrateur,administrateur:2,1895,1895,Empire (transversal); Madagascar et Djibouti,Groupes financiers transcoloniaux,1,associés de la maison Ochs frères,associes-de-la-maison-ochs-freres,
sachs-p-pouldjian-l,Sachs. P. Pouldjian,L.,2,2,2,administrateur,administrateur:2,1928,1928,Empire (transversal),Groupes financiers transcoloniaux; Groupes miniers transcoloniaux,1,L. Sachs. P. Pouldjian,sachs-p-pouldjian-l,
baszanger-j,Baszanger,J.,2,2,2,administrateur,administrateur:2,1928,1928,Empire (transversal),Groupes financiers transcoloniaux; Groupes miniers transcoloniaux,1,J. Baszanger,baszanger-j,
strauss-e,Strauss,E.,2,2,2,administrateur,administrateur:2,1928,1928,Empire (transversal),Groupes financiers transcoloniaux; Groupes miniers transcoloniaux,1,E. Strauss,strauss-e,
coloniale-le-siege-est-a-paris,coloniale. Le siège est à Paris,,2,2,2,administrateur,administrateur:2,1947,1947,Empire (transversal),Groupes financiers transcoloniaux,1,coloniale. Le siège est à Paris,coloniale-le-siege-est-a-paris,
julia,Julia,,2,2,2,administrateur,administrateur:2,1925,1928,Empire (transversal),Groupes financiers transcoloniaux; Groupes miniers transcoloniaux,1,Julia,julia,
mauger-e,Mauger,Émile,2,2,2,administrateur,administrateur:1; administrateur_delegue:1,1899,1906,Empire (transversal),Groupes financiers transcoloniaux; Groupes miniers transcoloniaux,1,Émile Mauger,mauger-e,
hubert,HUBERT,,2,2,2,administrateur,administrateur:2,1880,1919,Empire (transversal),Groupes financiers transcoloniaux; Transports maritimes,2,HUBERT; Hubert,hubert,
salles-a,Salles,Adolphe,2,2,2,president,president:1; administrateur:1,1900,1906,Empire (transversal),"Eau et assainissement, électricité (utilities); Groupes financiers transcoloniaux",1,Adolphe Salles,salles-a,
sasportes-r,Sasportès,Rodolphe,2,2,2,administrateur,administrateur:2,1928,1940,Empire (transversal); Proche-Orient,Groupes miniers transcoloniaux,2,Rodolphe Sasportès; Rodolphe Sasportès. 34,sasportes-r,
letellier,Letellier,,2,2,2,administrateur,administrateur:2,1891,1920,Empire (transversal); Indochine,"Bâtiment-travaux publics, matériaux de construction, céramiques; Groupes industriels transcoloniaux",1,Letellier,letellier,
rauzy,Rauzy,,2,2,2,administrateur,administrateur:2,1922,1922,Empire (transversal); Indochine,Documents généraux (par ordre chronologique); Groupes industriels transcoloniaux,1,Rauzy,rauzy,des Rizeries
ville,Ville,,2,2,2,administrateur,administrateur:1; president:1,1922,1955,Empire (transversal); Indochine,Documents généraux (par ordre chronologique); Groupes industriels transcoloniaux,1,Ville,ville,tous deux de la Société commerciale française de l'Indochine
oliven-o,Oliven,Oscar,2,2,2,administrateur,administrateur:2,1912,1913,Empire (transversal),"Eau et assainissement, électricité (utilities); Groupes financiers transcoloniaux",1,Oscar Oliven,oliven-o,
reynaud-l,Reynaud,L; L.,2,2,2,administrateur,administrateur:2,1918,1956,Empire (transversal),Documents généraux (par ordre chronologique); Transports terrestres,2,L Reynaud; L. Reynaud,reynaud-l,
clerc-e,Clerc,Émile,2,2,2,administrateur,administrateur:2,1889,1892,Empire (transversal),Groupes industriels transcoloniaux; Transports terrestres,2,Émile CLERC; Émile Clerc,clerc-e,
beamish-g,Beamish,G; G.,2,2,2,administrateur,administrateur:2,1897,1956,Empire (transversal),Documents généraux (par ordre chronologique); Transports terrestres,2,G Beamish; G. Beamish,beamish-g,"La Sécurité, ass. mmes et terrestres"
soclet-a,Soclet,A.,2,2,2,administrateur,administrateur:2,1923,1925,Empire (transversal),Transports terrestres,1,A. Soclet,soclet-a,
syndicale-des-forces-hydrauliques-c,syndicale des forces hydrauliques,Chambre,2,2,2,administrateur,administrateur:2,1929,1929,Empire (transversal); Proche-Orient,Transports terrestres,1,Chambre syndicale des forces hydrauliques,syndicale-des-forces-hydrauliques-c,
electrique-du-littoral-mediterraneen-e,électrique du littoral méditerranéen,Énergie,2,2,2,administrateur,administrateur:2,1929,1929,Empire (transversal); Proche-Orient,Transports terrestres,1,Énergie électrique du littoral méditerranéen,electrique-du-littoral-mediterraneen-e,son entreprise d'origine
electrique-du-sud-ouest-e,électrique du Sud-Ouest,Énergie,2,2,2,administrateur,administrateur:2,1929,1929,Empire (transversal); Proche-Orient,Transports terrestres,1,Énergie électrique du Sud-Ouest,electrique-du-sud-ouest-e,
hecker-r,Hecker,Robert,2,2,2,administrateur,administrateur:2,1925,1937,Empire (transversal),Groupes financiers transcoloniaux; Transports terrestres,2,Hecker; Robert Hecker,hecker; hecker-r,
delavergnas-l,Delavergnas,L.,2,2,2,administrateur,administrateur:2,1940,1945,Empire (transversal),Transports terrestres,1,L. Delavergnas,delavergnas-l,
chalas,Chalas,,2,2,2,administrateur,administrateur:2,1923,1925,Empire (transversal); Proche-Orient,Groupes miniers transcoloniaux,1,Chalas,chalas,
raimbault-j,Raimbault,J; Jacques,2,2,2,administrateur,administrateur:2,1925,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes miniers transcoloniaux,2,J Raimbault; Jacques Raimbault,raimbault-j,dg
chalas-c,Chalas,Charles Émile; Charles-Émile,2,2,2,administrateur,administrateur:2,1920,1936,Empire (transversal); Pacifique,Groupes miniers transcoloniaux; Mines et métallurgie,2,Charles Émile Chalas; Charles-Émile Chalas,chalas-c,
chapelle-g,Chapelle,G; Georges-Maurice,2,2,2,administrateur,administrateur:2,1921,1956,Empire (transversal),Documents généraux (par ordre chronologique); Sociétés commerciales transcoloniales,2,G Chapelle; Georges-Maurice Chapelle,chapelle-g,Unic
lamasse-j,Lamasse,J.,2,2,2,administrateur,administrateur:2,1925,1938,Empire (transversal),Groupes financiers transcoloniaux,2,J. Lamasse; Lamasse,lamasse; lamasse-j,
t-de-solages,T de Solages,,2,2,2,administrateur,administrateur:2,1938,1938,Empire (transversal); Indochine,Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,1,T de Solages,t-de-solages,hibault; hibault; Cie générale industrielle
j-maroger,J Maroger,,2,2,2,administrateur,administrateur:2,1938,1938,Empire (transversal),Groupes financiers transcoloniaux; Groupes industriels transcoloniaux,1,J Maroger,j-maroger,ean; ean; Lazard
p-weiss,P Weiss,,2,2,2,administrateur,administrateur:2,1929,1938,Empire (transversal),Groupes financiers transcoloniaux,1,P Weiss,p-weiss,aul
vaucheret-commissaires-aux-comptes-mm-checcacci-a,Vaucheret. Commissaires aux comptes: MM. Checcacci,A.,2,2,2,administrateur,administrateur:2,1921,1940,Empire (transversal),Groupes financiers transcoloniaux,1,A. Vaucheret. Commissaires aux comptes: MM. Checcacci,vaucheret-commissaires-aux-comptes-mm-checcacci-a,
de-kainlis,de Kainlis,,2,2,2,administrateur,administrateur:2,1921,1951,Empire (transversal); Indochine,Groupes financiers transcoloniaux; Mines,1,de Kainlis,de-kainlis,René; pdg Verreries de Carmaux
tiranty-p,Tiranty,Philippe,2,2,2,administrateur,administrateur:1; president:1,1919,1925,Empire (transversal),Groupes financiers transcoloniaux,2,Philippe Tiranty; Tiranty,tiranty; tiranty-p,Philippe
monvert,Monvert,,2,2,2,administrateur,administrateur:2,1920,1921,Empire (transversal),Groupes financiers transcoloniaux; Sociétés commerciales transcoloniales,1,Monvert,monvert,
houtain-l-eveque,Houtain-l'Evêque,,2,2,2,administrateur,administrateur:2,1919,1921,Empire (transversal); Indochine,Groupes financiers transcoloniaux; Héveas et caoutchouc,1,Houtain-l'Evêque,houtain-l-eveque,
velm,Velm,,2,2,2,administrateur,administrateur:2,1919,1921,Empire (transversal); Indochine,Groupes financiers transcoloniaux; Héveas et caoutchouc,1,Velm,velm,
normand-a,Normand4,Augustin,2,2,2,administrateur,administrateur:2,1919,1920,Empire (transversal),Groupes financiers transcoloniaux; Groupes industriels transcoloniaux,2,Augustin Normand; Augustin Normand4,normand-a,
chauchat-j,Chauchat,J,2,2,2,administrateur,administrateur:2,1925,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,Chauchat; J Chauchat,chauchat; chauchat-j,
richemond,Richemond,,2,2,2,administrateur,administrateur:2,1900,1929,Empire (transversal); Madagascar et Djibouti,Groupes financiers transcoloniaux; Industries agro-alimentaires,1,Richemond,richemond,Philippe
collette-h,Collette,H.; Henri,2,2,2,administrateur,administrateur:2,1909,1924,Empire (transversal); Proche-Orient,Groupes financiers transcoloniaux,2,H. Collette; Henri Collette,collette-h,
colson,Colson,,2,2,2,administrateur,administrateur:2,1910,1913,Empire (transversal); Madagascar et Djibouti,Groupes financiers transcoloniaux; Industries agro-alimentaires,1,Colson,colson,sic: Cosson
engrand-m,Engrand,M,2,2,2,administrateur,administrateur:2,1950,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,Engrand; M Engrand,engrand; engrand-m,Mildé
piala-a,Piala,A.,2,2,2,administrateur,administrateur:2,1905,1923,Empire (transversal),Groupes financiers transcoloniaux; Groupes industriels transcoloniaux,2,A. Piala; Piala,piala; piala-a,
ledoux-e,Ledoux,Edmond,2,2,2,administrateur,administrateur:2,1920,1925,Empire (transversal),Bâtiment et travaux publics,1,Edmond Ledoux,ledoux-e,
palaz,Palaz,,2,2,2,administrateur,administrateur:2,1922,1922,Empire (transversal); Indochine,Bâtiment et travaux publics; Documents généraux (par ordre chronologique),1,Palaz,palaz,
debieve-n,Debiève,Nestor,2,2,2,administrateur,administrateur:2,1922,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes industriels transcoloniaux,1,Nestor Debiève,debieve-n,Tréfil.+lamin. du Havre
mascart-l,Mascart,L.,2,2,2,administrateur,administrateur:2,1929,1933,Empire (transversal),Bâtiment et travaux publics; Groupes industriels transcoloniaux,1,L. Mascart,mascart-l,
e-durand,E Durand,,2,2,2,administrateur,administrateur:2,1920,1922,Empire (transversal); Madagascar et Djibouti,"Eau et assainissement, électricité (utilities); Industries",1,E Durand,e-durand,mile; mile; Énerg. indus.
castel,Castel,,2,2,2,administrateur,administrateur:2,1922,1922,Empire (transversal),Bâtiment et travaux publics; Groupes industriels transcoloniaux,1,Castel,castel,
jordan,Jordan,,2,2,2,administrateur,administrateur:2,1922,1922,Empire (transversal),Bâtiment et travaux publics; Groupes industriels transcoloniaux,1,Jordan,jordan,
chez-me-moyne-s,chez Me Moyne,Statuts,2,2,2,administrateur,administrateur:2,1919,1919,Empire (transversal); Proche-Orient,Banques et sociétés financières; Groupes financiers transcoloniaux,1,Statuts chez Me Moyne,chez-me-moyne-s,
orleans-g,Orléans,G,2,2,2,administrateur,administrateur:1; vice_president:1,1921,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,G Orléans; Orléans,orleans; orleans-g,v.-pdt S.A. du rotin
courvoisier-j,Courvoisier,J; J. L.,2,2,2,vice_president,vice_president:1; administrateur:1,1925,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,J Courvoisier; J. L. Courvoisier,courvoisier-j,
bastady-e,Bastady,E; Ernest,2,2,2,administrateur,administrateur:2,1920,1956,Empire (transversal),"Documents généraux (par ordre chronologique); Eau et assainissement, électricité (utilities)",2,E Bastady; Ernest Bastady,bastady-e,Tetra
j-bonnet,J Bonnet,,2,2,2,president,president:1; administrateur:1,1907,1911,Empire (transversal),Groupes industriels transcoloniaux,1,J Bonnet,j-bonnet,oseph
e-cuvelette,E Cuvelette,,2,2,2,administrateur,administrateur:2,1923,1929,Empire (transversal),Groupes financiers transcoloniaux; Groupes industriels transcoloniaux,1,E Cuvelette,e-cuvelette,rnest
harmant-e,Harmant,E.,2,2,2,administrateur,administrateur:1; president:1,1928,1933,Empire (transversal); Proche-Orient,Groupes industriels transcoloniaux; Transports terrestres,2,E. Harmant; E. Harmant8,harmant-e,
laurent-f,Laurent,F.; François Arthur Théodore,2,2,2,administrateur,administrateur:2,1933,1948,Empire (transversal); Proche-Orient,Groupes industriels transcoloniaux,2,F. Laurent; François Arthur Théodore Laurent,laurent-f,
g-lenormand,G Lenormand,,2,2,2,president,president:1; administrateur:1,1938,1938,Empire (transversal),Groupes industriels transcoloniaux,1,G Lenormand,g-lenormand,eorges; eorges; Nord et Lorraine
e-thouzellier,É Thouzellier,,2,2,2,president,president:1; administrateur:1,1929,1938,Empire (transversal),Groupes financiers transcoloniaux; Groupes industriels transcoloniaux,2,E Thouzellier; É Thouzellier,e-thouzellier,tienne; tienne; X 1891. Un. des mines
thomas-a,Thomas,A; Aciers,2,2,2,president,president:1; administrateur:1,1938,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes industriels transcoloniaux,2,A Thomas; Aciers Thomas,thomas-a,
lorraine,Lorraine,,2,2,2,administrateur,administrateur:2,1938,1953,Empire (transversal),Groupes industriels transcoloniaux,1,Lorraine,lorraine,
fortin-g,Fortin,G.,2,2,2,administrateur,administrateur:1; president:1,1920,1953,Empire (transversal),Bâtiment et travaux publics; Groupes industriels transcoloniaux,1,G. Fortin,fortin-g,
chatel,Châtel,,2,2,2,administrateur,administrateur:2,1909,1938,Empire (transversal),"Eau et assainissement, électricité (utilities); Groupes industriels transcoloniaux",2,Chatel; Châtel,chatel,
duvivier-j,Duvivier,J,2,2,2,administrateur,administrateur:2,1908,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,Duvivier; J Duvivier,duvivier; duvivier-j,
cote-c,Côte,C. M.; Ch. Michel,2,2,2,administrateur,administrateur:1; president:1,1910,1925,Empire (transversal); Madagascar et Djibouti,Groupes industriels transcoloniaux; Sociétés,2,C. M. Côte; Ch. Michel Cote,cote-c,
laederich,Laederich,,2,2,2,administrateur,administrateur:2,1910,1921,Empire (transversal),Groupes financiers transcoloniaux; Groupes industriels transcoloniaux,1,Laederich,laederich,
bouis,Bouis,,2,2,2,administrateur,administrateur:2,1948,1953,Empire (transversal),Groupes financiers transcoloniaux,1,Bouis,bouis,
herbert-p,Herbert,Preston,2,2,2,administrateur,administrateur:2,1900,1927,Empire (transversal); Indochine,Groupes industriels transcoloniaux; Santé,2,Herbert; Preston Herbert,herbert; herbert-p,aurice
corbin,Corbin,,2,2,2,administrateur,administrateur:2,1914,1919,Empire (transversal),Groupes industriels transcoloniaux,1,Corbin,corbin,
masset-j,Masset,J.; Jean,2,2,2,administrateur,administrateur:2,1948,1956,Empire (transversal),Documents généraux (par ordre chronologique); Transports maritimes,2,J. Masset; Jean Masset,masset-j,SAGA
samuels-n,Samuels,N,2,2,2,administrateur,administrateur:2,1924,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,N Samuels; Samuels,samuels; samuels-n,Sofina
anquetil-p,Anquetil,P; P.,2,2,2,administrateur,administrateur:2,1956,1959,Empire (transversal),Bâtiment et travaux publics; Documents généraux (par ordre chronologique),2,P Anquetil; P. Anquetil,anquetil-p,Chaux et ciments Portland du Haut-Rhin
bleriot-r,Blériot,R,2,2,2,administrateur,administrateur:2,1919,1956,Empire (transversal),Documents généraux (par ordre chronologique); Groupes financiers transcoloniaux,2,Blériot; R Blériot,bleriot; bleriot-r,Tapis+couvertures
delaire-de-cambaceres,Delaire de Cambacérès,,2,2,2,administrateur,administrateur:2,1920,1933,Empire (transversal),Groupes financiers transcoloniaux; Groupes miniers transcoloniaux,1,Delaire de Cambacérès,delaire-de-cambaceres,
maurice-a,Maurice,A.; Alexandre,2,2,2,administrateur,administrateur:2,1890,1927,Empire (transversal); Indochine,Documents généraux (par ordre chronologique); Sociétés commerciales transcoloniales,2,A. Maurice; Alexandre Maurice,maurice-a,
bouvier-j,Bouvier,J.; Jean,2,2,2,administrateur,administrateur:2,1948,1951,Empire (transversal),Bâtiment et travaux publics; Groupes financiers transcoloniaux,2,J. Bouvier; Jean Bouvier,bouvier-j,
wattinne-a,Wattinne,A.; André,2,2,2,administrateur,administrateur:2,1948,1951,Empire (transversal),Groupes financiers transcoloniaux,2,A. Wattinne; André Wattinne,wattinne-a,? /00
