doc_id,entry_type,is_annuaire,n_chars,n_segments,n_ties,n_xrefs
afrique-du-nord-ch-fer-routes-algerie-656656,company,0,278365,156,108,8
afrique-du-nord-ch-fer-transafricain-aefb5e,company,0,73745,14,20,0
afrique-du-nord-ch-fer-transsaharien-b5c2ae,company,0,220740,56,10,0
afrique-du-nord-chabet-ballout-3ff99b,company,0,27347,12,29,0
afrique-du-nord-chabet-kohol-1911-1931-5ce69b,company,0,14746,28,33,5
afrique-du-nord-chalutage-mediterranee-3da7a6,company,0,3920,6,20,0
afrique-du-nord-chalutiers-tunisiens-21b70d,company,0,1407,3,0,0
afrique-du-nord-chantier-warot-alger-ed85e5,company,0,17639,27,6,1
afrique-du-nord-chaouia-et-maroc-c6b4b8,company,0,10000,19,22,1
afrique-du-nord-charbonac-bbe201,company,0,55732,9,0,2
afrique-du-nord-charbonnages-ben-atiya-9a6148,company,0,2883,2,0,0
afrique-du-nord-charbonnages-briquettes-mediterranee-7cec69,company,0,7694,3,0,0
afrique-du-nord-charbonnages-de-djerada-ebbec3,company,0,92661,43,37,2
afrique-du-nord-charbonniere-algerienne-a6bdc6,company,0,1340,2,7,1
afrique-du-nord-charbonniere-de-casablanca-fcd4a4,company,0,1789,2,11,0
afrique-du-nord-charbonniere-du-nord-africain-20f983,company,0,16188,10,14,2
afrique-du-nord-charbons-briquettes-npdc-99325d,company,0,2666,3,8,2
afrique-du-nord-chargeurs-algeriens-reunis-43ffea,company,0,22846,31,5,3
afrique-du-nord-chargeurs-marocains-9ca148,company,0,7872,16,29,1
afrique-du-nord-chatillon-constantine-33a814,company,0,4238,2,0,0
afrique-du-nord-chauffage-plomberie-domec-dee8fa,company,0,3343,2,5,2
afrique-du-nord-chaussures-dupuy-constantine-e9e698,company,0,3542,2,0,0
afrique-du-nord-chaux-ciments-algerie-bougie-b5a3c6,person,0,47947,33,0,0
afrique-du-nord-chaux-ciments-maroc-b5536d,company,0,108258,63,98,0
afrique-du-nord-chaux-ciments-oued-fergoug-821160,company,0,4231,7,8,0
afrique-du-nord-chaux-ciments-ravinbleu-e696c2,company,0,1517,3,4,0
afrique-du-nord-chaux-ciments-rivet-1900-1922-18575c,company,0,25149,15,0,4
afrique-du-nord-chaux-ciments-rivet-1922-1930-d575e3,company,0,33301,27,31,0
afrique-du-nord-chaux-et-ciments-f-afn-8565f6,company,0,3154,3,4,0
afrique-du-nord-chaux-et-ciments-thermes-334aa2,company,0,11472,6,0,0
afrique-du-nord-chavon-et-selles-f62277,company,0,11949,10,0,1
afrique-du-nord-cheddite-bellefontaine-618af4,company,0,27388,25,0,3
afrique-du-nord-cheddite-la-manouba-7d581b,company,0,10320,12,0,2
afrique-du-nord-chemin-fer-tlemcen-beni-saf-481f03,company,0,28034,7,0,0
afrique-du-nord-chemins-fer-algeriens-2296a7,company,0,30206,18,0,0
afrique-du-nord-chemins-fer-est-algerien-f9d91a,company,0,288058,104,63,0
afrique-du-nord-chemins-fer-ouest-algerien-473f02,company,0,285697,138,114,0
afrique-du-nord-cherfils-alger-4d2d9c,company,0,2420,2,0,1
afrique-du-nord-cherif-magasins-gnx-1afd43,company,0,5829,7,10,2
afrique-du-nord-cherif-recherches-forages-466b10,company,0,8638,10,8,4
afrique-du-nord-cherifienne-agriculture-elevage-2500e9,company,0,2103,3,12,1
afrique-du-nord-cherifienne-d-engrais-6690ce,company,0,8350,3,13,2
afrique-du-nord-cherifienne-de-colonisation-07da69,company,0,8967,7,54,0
afrique-du-nord-cherifienne-de-navigation-c703d0,company,0,4465,7,13,2
afrique-du-nord-cherifienne-des-carpettes-376b1d,company,0,8189,12,0,6
afrique-du-nord-cherifienne-des-mines-cf615a,company,0,1204,1,0,1
afrique-du-nord-cherifienne-des-petroles-dc2cee,company,0,82354,55,17,0
afrique-du-nord-cherifienne-du-platre-d48460,company,0,8973,5,0,1
afrique-du-nord-cherifienne-du-souss-04851f,company,0,641,1,0,1
afrique-du-nord-cherifienne-ets-mory-6c9228,company,0,3878,3,0,2
afrique-du-nord-cherifienne-etudes-minieres-57e2e9,company,0,8461,12,12,1
afrique-du-nord-cherifienne-hoteliere-c78b98,company,0,2048,3,7,1
afrique-du-nord-chetail-constantine-8724d7,company,0,3482,2,0,0
afrique-du-nord-chettaba-platriere-c31e74,company,0,2800,4,0,0
afrique-du-nord-chollet-nicol-et-longobardi-f02617,company,0,18183,12,8,0
afrique-du-nord-cia-del-norte-africano-fa367d,company,0,17301,11,7,13
afrique-du-nord-cia-iberica-de-superfosfatos-18da89,company,0,4881,5,0,3
afrique-du-nord-cicafric-a1aa17,company,0,7194,10,35,2
afrique-du-nord-cie-aerienne-f-algerie-1dd0af,company,0,33886,22,20,2
afrique-du-nord-cie-aerienne-frse-algerie-57c1a4,company,0,43243,38,0,1
afrique-du-nord-cie-aerienne-frse-maroc-b06ecc,company,0,11691,20,0,1
afrique-du-nord-cie-africaine-d-armement-108ab3,company,0,36867,36,10,0
afrique-du-nord-cie-africaine-de-transports-ae7832,company,0,50255,26,7,2
afrique-du-nord-cie-agricole-d-ouezzan-dbb441,company,0,4212,5,10,6
afrique-du-nord-cie-agricole-du-sahara-algerien-e64bd6,company,0,14362,11,0,5
afrique-du-nord-cie-agricole-marocaine-e8e93f,company,0,5187,9,18,0
afrique-du-nord-cie-agronomique-marocaine-8f1631,company,0,3067,4,7,0
afrique-du-nord-cie-alg-credit-banque-d2e33d,company,0,16390,5,12,1
afrique-du-nord-cie-algerienne-meunerie-e5480c,company,0,39521,33,6,0
afrique-du-nord-cie-ceres-alger-55a2f9,company,0,18602,7,6,1
afrique-du-nord-cie-commerciale-marocaine-1920-22df49,company,0,2446,2,11,1
afrique-du-nord-cie-du-maroc-tanger-538259,company,0,5999,7,25,2
afrique-du-nord-cie-fonciere-constantine-d6e943,company,0,6382,8,6,0
afrique-du-nord-cie-fonciere-de-tunisie-0cb25b,company,0,4079,11,8,1
afrique-du-nord-cie-fonciere-mediterranee-8db104,company,0,40271,26,26,0
afrique-du-nord-cie-franco-algerienne-091b1c,company,0,396451,172,9,8
afrique-du-nord-cie-frigorifique-maroc-c69172,company,0,3326,5,5,2
afrique-du-nord-cie-frse-du-continent-africain-5c2977,company,0,16580,24,12,1
afrique-du-nord-cie-generale-transsaharienne-463759,company,0,35174,27,9,0
afrique-du-nord-cie-immobiliere-algerienne-7cb8e4,company,0,17002,2,0,0
afrique-du-nord-cie-maritime-du-maroc-a0495b,company,0,5064,7,7,6
afrique-du-nord-cie-maritime-tunisienne-63f31c,company,0,1526,2,10,0
afrique-du-nord-cie-miniere-du-maroc-0cd2d7,company,0,3035,3,19,0
afrique-du-nord-cie-miniere-du-sous-2871b4,company,0,3761,7,3,1
afrique-du-nord-cie-miniere-tunisienne-2967ce,company,0,5384,2,0,2
afrique-du-nord-cie-sud-marocain-7647fe,company,0,19408,33,37,0
afrique-du-nord-cima-algerie-3355c5,company,0,503,2,0,1
afrique-du-nord-ciment-artificiel-portland-ariana-1dfaa8,company,0,4332,3,0,0
afrique-du-nord-ciments-artificiels-tunisiens-9cb02b,company,0,11044,13,10,0
afrique-du-nord-ciments-d-agadir-7d717a,company,0,8051,10,0,1
afrique-du-nord-ciments-portland-afn-1921-1928-f5a84a,company,0,33362,30,15,0
afrique-du-nord-ciments-portland-de-bizerte-c077c0,company,0,6280,5,0,0
afrique-du-nord-cinema-rialto-casablanca-b3d11b,company,0,4546,3,0,1
afrique-du-nord-cinema-vox-casablanca-687019,company,0,8875,2,0,1
afrique-du-nord-clinique-arrighi-constantine-42481d,company,0,1035,2,0,0
afrique-du-nord-clinique-bouquet-bone-70aa0e,company,0,3589,2,0,0
afrique-du-nord-clinique-oulie-constantine-7068dd,company,0,321,2,0,0
