doc_id,company_key,company_name,person_key,name_clean,surname,given,role,year,source_ref,annotation,region,country,sector,anchor_type,trigger,parse_note,member_raw
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,hernandez-j,Joseph Hernandez,Hernandez,Joseph,administrateur,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,surname_first_bare,Hernandez Joseph
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,lesimple-r,René Lesimple,Lesimple,René,administrateur,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,surname_first_bare,Lesimple René
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,renauld-l,Lucien Renauld,Renauld,Lucien,administrateur,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,surname_first_bare,Renauld Lucien
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,mohamed-r,Remaoun Mohamed,Mohamed,Remaoun,commissaire_aux_comptes,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,positional_forename,Remaoun Mohamed
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,et-benhamza-ali,et Benhamza Ali,et Benhamza Ali,,commissaire_aux_comptes,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,surname_only,et Benhamza Ali
afrique-du-nord-abri-familial-oranais-320b63,abrifamilialoranais,L'Abri familial oranais,toutes-les-prescriptions-de-la-loi,5° Toutes les prescriptions de la loi,5° Toutes les prescriptions de la loi,,administrateur,1928,"L'Écho d'Oran, 17 février 1928",,Algerie,Algérie,Foncières et immobilières,citation,conseil_nomme,surname_only,5° Toutes les prescriptions de la loi
afrique-du-nord-acconage-algerien-842cdf,acconagealgerien,Compagnie d'Acconage algérien,scotto-f,F. Scotto,Scotto,F.,administrateur,1910,"Cote de la Bourse et de la banque, 30 mai 1910",,Algerie,Algérie,Transports maritimes et aériens,citation,conseil_colon,initials_or_forename,MM. F. Scotto
afrique-du-nord-acconage-algerien-842cdf,acconagealgerien,Compagnie d'Acconage algérien,menet-h,H. Menet,Menet,H.,administrateur,1910,"Cote de la Bourse et de la banque, 30 mai 1910",,Algerie,Algérie,Transports maritimes et aériens,citation,conseil_colon,initials_or_forename,H. Menet
afrique-du-nord-acconage-algerien-842cdf,acconagealgerien,Compagnie d'Acconage algérien,laurens-h,H. Laurens,Laurens,H.,administrateur,1910,"Cote de la Bourse et de la banque, 30 mai 1910",,Algerie,Algérie,Transports maritimes et aériens,citation,conseil_colon,initials_or_forename,H. Laurens
afrique-du-nord-acconage-algerien-842cdf,acconagealgerien,Compagnie d'Acconage algérien,shaki-e,E. Shaki,Shaki,E.,administrateur,1910,"Cote de la Bourse et de la banque, 30 mai 1910",,Algerie,Algérie,Transports maritimes et aériens,citation,conseil_colon,initials_or_forename,E. Shaki
afrique-du-nord-acconage-algerien-842cdf,acconagealgerien,Compagnie d'Acconage algérien,deposes-chez-me-pertus-s,Statuts déposés chez Me Pertus,déposés chez Me Pertus,Statuts,administrateur,1910,"Cote de la Bourse et de la banque, 30 mai 1910",,Algerie,Algérie,Transports maritimes et aériens,citation,conseil_colon,positional_forename,Statuts déposés chez Me Pertus
afrique-du-nord-acconage-charbonnage-jullian-261090,acconagecharbonnagejullian,Société d'Acconage et de charbonnage Jullian,balandras-g,Georges Balandras,Balandras,Georges,administrateur,1920,"Le Sémaphore algérien, 10 novembre 1920",,Algerie,Algérie,Transports maritimes et aériens,citation,premiers_admin,initials_or_forename,MM. Georges Balandras
afrique-du-nord-acconage-charbonnage-jullian-261090,acconagecharbonnagejullian,Société d'Acconage et de charbonnage Jullian,corbeto-j,Joseph Corbeto,Corbeto,Joseph,administrateur,1920,"Le Sémaphore algérien, 10 novembre 1920",,Algerie,Algérie,Transports maritimes et aériens,citation,premiers_admin,initials_or_forename,Joseph Corbeto
afrique-du-nord-acconage-charbonnage-jullian-261090,acconagecharbonnagejullian,Société d'Acconage et de charbonnage Jullian,deros-p,Philippe Deros,Deros,Philippe,administrateur,1920,"Le Sémaphore algérien, 10 novembre 1920",,Algerie,Algérie,Transports maritimes et aériens,citation,premiers_admin,initials_or_forename,Philippe Deros
afrique-du-nord-acconage-charbonnage-jullian-261090,acconagecharbonnagejullian,Société d'Acconage et de charbonnage Jullian,gerbaud-j,Jean Gerbaud,Gerbaud,Jean,administrateur,1920,"Le Sémaphore algérien, 10 novembre 1920",,Algerie,Algérie,Transports maritimes et aériens,citation,premiers_admin,initials_or_forename,Jean Gerbaud
afrique-du-nord-acconage-charbonnage-jullian-261090,acconagecharbonnagejullian,Société d'Acconage et de charbonnage Jullian,jullian-g,Georges Jullian,Jullian,Georges,administrateur,1920,"Le Sémaphore algérien, 10 novembre 1920",,Algerie,Algérie,Transports maritimes et aériens,citation,premiers_admin,initials_or_forename,Georges Jullian
afrique-du-nord-acconage-charbonnage-jullian-261090,acconagecharbonnagejullian,Société d'Acconage et de charbonnage Jullian,laurens-j,Julien Laurens,Laurens,Julien,administrateur,1920,"Le Sémaphore algérien, 10 novembre 1920",,Algerie,Algérie,Transports maritimes et aériens,citation,premiers_admin,initials_or_forename,Julien Laurens
afrique-du-nord-acconage-charbonnage-jullian-261090,acconagecharbonnagejullian,Société d'Acconage et de charbonnage Jullian,et-jean-stern,et Jean Stern,et Jean Stern,,administrateur,1920,"Le Sémaphore algérien, 10 novembre 1920",adm.-dir. des Affréeurs réunis,Algerie,Algérie,Transports maritimes et aériens,citation,premiers_admin,surname_only,et Jean Stern [adm.-dir. des Affréeurs réunis]
afrique-du-nord-acconage-charbons-tunisie-5efede,,,lemann-g,Gaston Lémann,Lémann,Gaston,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,,Tunisie,Tunisie,Transports maritimes et aériens,directory_entry,conseil_heading,surname_first_paren,LÉMANN (Gaston)
afrique-du-nord-acconage-charbons-tunisie-5efede,,,calo,CALO,CALO,,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,Giacomo,Tunisie,Tunisie,Transports maritimes et aériens,directory_entry,conseil_heading,surname_only,CALO (Giacomo)
afrique-du-nord-acconage-charbons-tunisie-5efede,,,lemann-c,Charles Lémann,Lémann,Charles,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,,Tunisie,Tunisie,Transports maritimes et aériens,directory_entry,conseil_heading,surname_first_paren,LÉMANN (Charles)
afrique-du-nord-acconage-charbons-tunisie-5efede,,,calo,CALO,CALO,,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,Salvator,Tunisie,Tunisie,Transports maritimes et aériens,directory_entry,conseil_heading,surname_only,CALO (Salvator)
afrique-du-nord-acconage-charbons-tunisie-5efede,,,pico-j,J. Pico,Pico,J.,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,,Tunisie,Tunisie,Transports maritimes et aériens,directory_entry,conseil_heading,surname_first_paren,PICO (J.)
afrique-du-nord-acconage-charbons-tunisie-5efede,,,boccara-e,Édouard Boccara,Boccara,Édouard,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,,Tunisie,Tunisie,Transports maritimes et aériens,directory_entry,conseil_heading,surname_first_paren,BOCCARA (Édouard)
afrique-du-nord-acconage-charbons-tunisie-5efede,,,solal,SOLAL,SOLAL,,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,Rodolphe,Tunisie,Tunisie,Transports maritimes et aériens,directory_entry,conseil_heading,surname_only,SOLAL (Rodolphe)
