person_id,company_key,company_name,role,year,source_ref,doc_id,annotation,from_company_id,match_method,n_observations,source_genre
bloch-m,grandemaisonblanc,Grande Maison de Blanc,administrateur,1929,"Le Journal des chemins de fer, 20 mars 1929",empire-l-rouff-paris-a9073d,Grande Maison de blanc,rouff,name,2,annotation
boca-a,vignoblesmediterranee,VIGNOBLES DE LA MÉDITERRANÉE,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Vignobles de la Méditerranée,vignoblesmediterraneealgerie,name,2,annotation
bodmer-l,omniumlyonnais,Omnium lyonnais,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Omnium lyonnais,omniumlyonnaiselectrowattparcontinentaleentreprises,name,2,annotation
bonfils,marocainedistributioneaugazelectricite,"Société Marocaine de distribution d'eau, de gaz et d'électricité",administrateur,1937,Annuaire des entreprises coloniales,afrique-du-nord-aec-1937-maroc-dfc464,"Société marocaine de distribution d'eau, de gaz et d'électricité",habitationsmaroc,name,2,annotation
bonifay-j,agricoleindustriellemadagascar,Compagnie Agricole et Industrielle de Madagascar,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CAIM,agricoleindustriellemadagascarcaim,acronym,2,annotation
bonnel-henri-petit-fils-dune-dlle-biver,mineslucette,Société nouvelle des mines de La Lucette,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Mines La Lucette,mineslucettesn,name,2,annotation
borduge-m,banqueindochine,Banque de l’Indochine,administrateur,1940,Annuaire Desfossés 1940,madagascar-et-djibouti-ch-fer-djibouti-addis-abeba-94ecdc,Banque de l'Indochine,cheminferfrancoethiopiendjiboutiaddisabeba,name,2,annotation
borgeaud-h,nordafricainecimentslafarge,Société NORD-AFRICAINE des CIMENTS de LAFARGE,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Nord-africaine des ciments Lafarge,lafargenordafricaineciments,name,2,annotation
borgeaud-h,phosphatesconstantine,Compagnie des Phosphates de Constantine,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Phosphates Constantine,phosphatesconstantinekouifprestebessafuturecomiphos,name,2,annotation
bos-p,commercialeportsafricainsdakarabidjandoualamanutentionconsignationtransitcharbons,"Société Commerciale des Ports africains, Dakar, Abidjan, Douala. Manutention, consignation, transit, charbons…",administrateur,1951,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1951-aef-cameroun-6d0821,SOCOPAO,unionforestiereogooue,acronym,2,annotation
bouis-c,unionindustriellecreditreconstitution,Union industrielle de crédit pour la reconstitution,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,UIC,unionindustriellecreditreconstitutionuic,acronym,2,annotation
bouisset-l,etudesentreprises,Société française d’études et d’entreprises,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Études et entreprises,etudesentreprisestroize,name,2,annotation
bourdariat-a,unionminiereindustrielle,"Union minière et industrielle, puis Union de mines et industries annexes",administrateur,1922,"AEC 1922, p. 8",madagascar-et-djibouti-credit-foncier-madagascar-6bc387,Union minière et industrielle,creditfonciermadagascar,name,2,annotation
bourgeois-gavardin-j,colonies,Compagnie Générale des colonies,administrateur,1963,"Doc af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,Cie générale des colonies,kaolack,name,2,annotation
bourrellis-l,portsmarocainsmehedyakenitrarabatsale,Société des Ports marocains de Mehedya-Kenitra et Rabat-Salé,administrateur,1926,Annuaire des entreprises coloniales,afrique-du-nord-aec-1926-maroc-e65b4d,Société des ports marocains de Mehedya-Kénitra et Rabat-Salé,habitationsmaroc,name,2,annotation
bousquet-h,centreradioelectriquesaigonmainstelegraphiesansfil,Le Centre radioélectrique de Saïgon aux mains de la Compagnie générale de télégraphie sans fil,administrateur,1938,Annuaire industriel 1938,proche-orient-radio-orient-c57105,CSF,radioorient,acronym,2,annotation
boussenot-g,miniereoubanghioriental,Compagnie Minière de l'Oubanghi oriental,administrateur,1929,"La Journée industrielle, 10 janvier 1929",inde-indochine-indochinoise-mines-0204d0,CMOO,indochinoisemines,acronym,2,annotation
boyer-a-amedee,grandstravauxmarseillemaroc,Grands Travaux de Marseille -Maroc,administrateur,1922,Annuaire des entreprises coloniales,inde-indochine-aec-1922-indochine-c3f1fb,GTM,grandstravauxextremeorient,acronym,2,annotation
boyer-j-jacques,unionindustriellecreditreconstitution,Union industrielle de crédit pour la reconstitution,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,UIC,unionindustriellecreditreconstitutionuic,acronym,2,annotation
boyer-l,omniumindochinois,Omnium indochinois,administrateur,1943,"Bulletin administratif de l’Annam, 1er mars 1943",inde-indochine-indoch-messag-auto-3c790c,Omnium indochinois,indochinoisemessageriesautomobiles,name,2,annotation
boyer-p,havraisepeninsulaire,Cie havraise péninsulaire,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Havraise Péninsulaire,nvlhavraisepeninsulairenavignchp,name,2,annotation
brachanet-l,vignoblesmediterranee,VIGNOBLES DE LA MÉDITERRANÉE,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Vignobles de la Méditerranée,vignoblesmediterraneealgerie,name,2,annotation
brame-p,etudesexploitationsminieresindochine,Société d'Études et d'exploitations minières de l’Indochine,administrateur,1922,"AEC 1922, p. 678",inde-indochine-commerciale-du-laos-03e51c,SEEMI,commercialelaos,acronym,2,annotation
brasseur-p,etudesentreprises,Société française d’études et d’entreprises,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Études et entreprises,etudesentreprisestroize,name,2,annotation
breban-j,minesferfillols,Mines de fer de Fillols,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Mines de fer de Fillols,minesferfillolspo,name,2,annotation
briand-g,creditfonciercolonial,Crédit foncier colonial,administrateur,1922,"AEC 1922, p. 412",antilles-guyane-sucreries-coloniales-82728f,Crédit foncier colonial,sucreriescolonialescolonialeagricolecommerciale,name,2,annotation
bricard-a,centraleusinespapierpapeteriesjbweibelreunies,Centrale des Usines à papier et Papeteries J.-B. Weibel réunies,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CENPA,cenpa,acronym,2,annotation
brincard-g,creditlyonnais,Crédit lyonnais,administrateur,1951,Annuaire des entreprises coloniales,inde-indochine-aec-1951-indochine-96799d,Crédit lyonnais,banqueiindochine,name,2,annotation
brocard-g,entreprisesgrandstravauxhydrauliques,Entreprises de grands travaux hydrauliques,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,EGTH,entrepgrandstravauxhydrauliquesegth,acronym,2,annotation
brot-h,unioncommercialeindochinoiseafricaine,L'Union commerciale indochinoise et africaine,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,LUCIA,luciaunioncommercialeindochinoiseafricaine,acronym,2,annotation
bruneel-l,asiatiqueafricaine,Compagnie Asiatique et africaine,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CAA,asiatiqueafricainecaa,acronym,2,annotation
brunet-a-alexis,chargeursreunis,Chargeurs réunis,administrateur,1942,"Le Journal, 14 décembre 1942",inde-indochine-ufeo-478e09,Chargeurs réunis,unionfinanciereextremeorient,name,2,annotation
brunet-j,banquealgerie,BANQUE DE L'ALGERIE,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Banque de l’Algérie,banquealgerietunisie,name,2,annotation
bruneton-p,oxygeneacetyleneextremeorient,Société d’Oxygène et d’acétylène d’Extrême-Orient,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SOAEO,oxygeneacetyleneextremeorientsoaeo,acronym,2,annotation
buhot-h,creditfoncieralgerietunisiecfat,Crédit foncier d’Algérie et de Tunisie (CFAT),administrateur,1911,"L’Écho des mines et de la métallurgie, 20 avril 1911",madagascar-et-djibouti-andavakoera-mines-or-d62bc6,Crédit foncier d'Algérie et de Tunisie (CFAT),minesorandavakoera,name,2,annotation
buisson-a-albert,rhonepoulenc,Rhône-Poulenc,administrateur,1963,"à 37 % selon Doc. af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,Rhône-Poulenc ?,expansiongrandslaboratoiresafrique,name,2,annotation
burgat-g,minessidimarouf,Société des mines du Sidi Marouf,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Mines du Sidi Marouf,minessididmaroufalgerie,name,2,annotation
bussy-a-andre,banquefrancochinoise,La Banque franco-chinoise,administrateur,1951,Annuaire des entreprises coloniales,inde-indochine-aec-1951-indochine-96799d,Banque franco- chinoise,credithypothecaireindochine,name,2,annotation
cabaud,comptoirmetallurgiquemaroc,Comptoir métallurgique du Maroc,administrateur,1914,"La Cote de la Bourse et de la banque, 28 mai 1914",afrique-du-nord-smd-5d0498,Comptoir métallurgique du Maroc,marocainedistributioneaugazelectricite,name,2,annotation
caffort-l-leon,immobilieresaigon,"Compagnie Générale immobilière de Saïgon, puis du Sud-Asie",administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,COGISA,immobcogisa,acronym,2,annotation
caillez-m,havraisepeninsulaire,Cie havraise péninsulaire,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Havraise Péninsulaire,nvlhavraisepeninsulairenavignchp,name,2,annotation
calcat-f,bordelaisecomptoirsafricains,Compagnie Bordelaise des Comptoirs africains,administrateur,1922,"AEC 1922, p. 105",afrique-occidentale-generale-comptoirs-afric-45bd26,Bordelaise des Comptoirs africains,comptoirsafricains,name,2,annotation
calcat-f-fernand,auxiliaireafricaine,Société Auxiliaire africaine,administrateur,1922,Annuaire des entreprises coloniales,afrique-occidentale-aec-1922-aof-togo-9cef7c,Auxiliaire africaine,bordelaisecomptoirsafricains,name,2,annotation
capic-a,lillebonnierescolombes,Lille-Bonnières et Colombes,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,LBC,lillebonnierescolombesstelline,acronym,2,annotation
caqueray-g,marocaine,Compagnie marocaine,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-miniere-afrique-du-nord-10fa2a,Cie marocaine,miniereafriquenord,name,2,annotation
carbonel-j,bonmarche,Au Bon Marché,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Au Bon Marché,bonmarcheboucicaut,name,2,annotation
cardozo-h,nickelcaledonie,"Le Nickel de la Nouvelle-Calédonie, puis La Garniérite",administrateur,,Qui êtes-vous 1924 ?,afrique-du-nord-qui-etes-vous-1924-algerie-7d1d37,Société Le Nickel en Nouvelle-Calédonie,nickelcaledonien,name,2,annotation
cassagnac-j,scieriesafricaines,Compagnie des Scieries africaines,administrateur,1922,"AEC 1922, p. 216",afrique-occidentale-forestiere-afrique-frse-8488bf,Scieries africaines,forestiereafrique,name,2,annotation
cavelier-m,centralemarocaine,Société Centrale marocaine,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-lieges-de-la-mamora-4d4f69,Centrale Marocaine,liegesmamora,name,2,annotation
cerjat-c,banqueottomane,Banque ottomane,administrateur,1922,"La Journée industrielle, 19 août 1922",proche-orient-ch-de-fer-cilicie-6899a9,Banque ottomane,exploitaitoncheminfercilicie,name,2,annotation
chabert-l,etsbertagna,Éts Bertagna,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Éts Bertagna,bertagnaagricalg,name,2,annotation
chaigneau,etsquillery,Éts Quillery,administrateur,1918,"La Cote de la Bourse et de la banque, 18 janvier 1918",afrique-equatoriale-coloniale-commerce-industrie-2d42a5,BTP,colonialecommerceindustrie,acronym,2,annotation
chalon-p,portfedhala,Compagnie du Port de Fedhala,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Port de Fedhala,portfedala,name,2,annotation
chanove-g,creditlyonnais,Crédit lyonnais,administrateur,1913,"Le Capitaliste, 24 avril 1913",afrique-du-nord-ch-de-fer-tanger-fez-2af025,Crédit lyonnais,francoespagnolecheminfertangerfez,name,2,annotation
cheneaux-de-leyritz-l,sucreriescoloniales,Sucreries coloniales,administrateur,1951,Annuaire des entreprises coloniales,afrique-equatoriale-aec-1951-aef-cameroun-6d0821,Sucreries coloniales,industrielleagricoleniari,name,2,annotation
chester-beatty-a,centralmining,Central Mining,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Central mining,centralmininginvestmentcorpltd,name,2,annotation
chevilliard-g,unionindustriellecreditreconstitution,Union industrielle de crédit pour la reconstitution,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,UIC,unionindustriellecreditreconstitutionuic,acronym,2,annotation
cipriani-p,unionindustriellecreditreconstitution,Union industrielle de crédit pour la reconstitution,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,UIC,unionindustriellecreditreconstitutionuic,acronym,2,annotation
claoue-r,asiatiqueafricaine,Compagnie Asiatique et africaine,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CAA,asiatiqueafricainecaa,acronym,2,annotation
cochet-c,syndicatlyonnaismadagascar,Syndicat lyonnais de Madagascar,administrateur,1951,"AEC 1951, p. 700",madagascar-et-djibouti-mines-ambatobe-000634,Syndicat lyonnais de Madagascar,minesambatobe,name,2,annotation
cochet-c,minesambatobe,Société des mines d'Ambatobé,administrateur,1951,"AEC 1951, p. 707",madagascar-et-djibouti-synd-lyonnais-madagascar-b2eaf5,› Société des mines d'Ambatobé,syndicatlyonnaismadagascar,name,2,annotation
coiffier-r,cartoucherie,Cartoucherie française,administrateur,1919,"Le Journal des débats, 2 février 1919",afrique-du-nord-aec-1951-maroc-0655fe,Cartoucherie française,comptoirminesgrandstravauxmaroc,name,2,annotation
colin-e,vignobleszayana,Société des Vignobles de Zayana,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Vignobles de Zayana,vignobleszayanatunisie,name,2,annotation
colin-gantois-a,entreprisetravauxpublicsouest,Entreprise de travaux publics de l’Ouest,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,ETPO,entreprisetravauxpublicsouestetpo,acronym,2,annotation
collette-c,etainskinta,Société des Étains de Kinta,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Étains de Kinta,etainskintapresquilemalaccamalaisie,name,2,annotation
commerciale-des-ports-africains-s,commercialeportsafricainsdakarabidjandoualamanutentionconsignationtransitcharbons,"Société Commerciale des Ports africains, Dakar, Abidjan, Douala. Manutention, consignation, transit, charbons…",administrateur,1952,"Le Monde des affaires, Paris, SEDE, 1952",afrique-occidentale-lesieur-afrique-dakar-6eb571,SOCOPAO,lesieurafrique,acronym,2,annotation
coquebert-de-neuville,transportsafrique,Compagnie Générale de transports en Afrique,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CGTA,cgtatransportsafrique,acronym,2,annotation
corblet-leon-gep-fille-de-philippe-livry-level,commercialeafriqueequatoriale,"Compagnie Commerciale de l'Afrique équatoriale française, puis Commerciale, agricole et forestière",administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CCAEF,commercialeaef,acronym,2,annotation
coupvent-des-graviers-f,oxygeneacetyleneextremeorient,Société d’Oxygène et d’acétylène d’Extrême-Orient,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SOAEO,oxygeneacetyleneextremeorientsoaeo,acronym,2,annotation
curial-de-brevannes-f,brasseriesouestafricain,Société des Brasseries de l'Ouest Africain,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SOBOA,brasseriesouestafricainsoboa,acronym,2,annotation
d-cesar-cort-boti,etainssilleda,Étains de Silleda,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Étains de Silleda,etainssilledaespagne,name,2,annotation
d-docker-s,financieretransportsentreprisesindustrielles,Société Financière de Transports et d'entreprises industrielles,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SOFINA,sofinafinancieretransportsentreprisesindustrielles,acronym,2,annotation
d-etudes-et-participations-minieres-de-la-france-d-s,miniereoubanghioriental,Compagnie Minière de l'Oubanghi oriental,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Minière de l’Oubanghi oriental,miniereoubanghiorientalcmoo,name,2,annotation
d-hespel-h,minesboudoukha,Société des mines de Boudoukha,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Mines de Boudoukha,minesboudoukhaalg,name,2,annotation
d-magge,commercialeindustriellecoteafrique,Société Commerciale et Industrielle de la Côte d'Afrique,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CICA,commercialeindustriellecoteafriquecica,acronym,2,annotation
d-raes,minesargut,Société des mines d'Argut,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Mines d’Argut,minesarguthtegaronneparticipafnsggg,name,2,annotation
daher-andre-depute-marseille-psf,chauxcimentsmateriauxconstructionmaroc,"Chaux, ciments et matériaux de construction au Maroc",administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,"Chaux, ciments et matériaux de construction du Maroc",marocchauxcimentsmateriauxconstruction,name,2,annotation
daher-andre-depute-marseille-psf,transportsmaritimesvapeur,Société générale de transports maritimes à vapeur,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SGTM,soctransportsmaritimessgtm,acronym,2,annotation
dailly-pierre-v-pdt-cm-paris-pere-detienne,industriesagricolesmeauxnantesalgerie,"Société d'Industries agricoles de Meaux, Nantes et Algérie",administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SIAMNA,siamnaindusagricmeauxnantesalgerie,acronym,2,annotation
dangelzer-g,immobilieresaigon,"Compagnie Générale immobilière de Saïgon, puis du Sud-Asie",administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,COGISA,immobcogisa,acronym,2,annotation
dardelet-v,etainskinta,Société des Étains de Kinta,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Étains de Kinta,etainskintapresquilemalaccamalaisie,name,2,annotation
dayde-j,etsquillery,Éts Quillery,administrateur,1937,"Le Journal des finances, 23 avril 1937",afrique-du-nord-generale-franco-marocaine-142ecd,BTP,francomarocaine,acronym,2,annotation
de-aledo-m,tabacsmaroc,Tabacs au Maroc,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Tabacs au Maroc,internationaleregiecointeresseetabacsmaroc,name,2,annotation
de-almeida-miranda-h,immobilierebasalpins,Immobilière des Bas-Alpins,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Immobilière des Bas-Alpins,immobilierecomptoircentralcredit,name,2,annotation
de-bailliencourt-courcol-m,algerienne,Compagnie algérienne,administrateur,1951,Annuaire des entreprises coloniales,afrique-occidentale-aec-1951-aof-togo-9a864d,Cie algérienne,navaledelmasvieljeux,name,2,annotation
de-boissel-h,creditfonciercolonial,Crédit foncier colonial,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Crédit foncier colonial,creditfonciercolonialbanque,name,2,annotation
de-cazalet-c,marseillaisecredit,Marseillaise de crédit,administrateur,1951,"AEC 1951, p. 136",empire-generale-colonies-1920-1958-e06dd2,Marseillaise crédit,colonies,name,2,annotation
de-chefdebien-zagariaga-v,etudesentreprises,Société française d’études et d’entreprises,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Études et entreprises,etudesentreprisestroize,name,2,annotation
de-danemark-p,industrielle,Compagnie générale industrielle,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Cie industrielle,industrielleminierechimique,name,2,annotation
de-foronda-m,financieretransportsentreprisesindustrielles,Société Financière de Transports et d'entreprises industrielles,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SOFINA,sofinafinancieretransportsentreprisesindustrielles,acronym,2,annotation
de-gourcuff-l,entreprisesafricaines,"Société d'entreprises africaines, puis Société d'entreprises africaines et Matériel colonial réunis",administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SEA-MC,seamcentreprisesafricainesmaterielcolonialreunis,acronym,2,annotation
de-goursac-p,cimentsartificielsoranie,Ciments artificiels de l'Oranie,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Ciments artificiels de l’Oranie,oraniecimentsartificiels,name,2,annotation
de-jerphanion-f,cimentsartificielsoranie,Ciments artificiels de l'Oranie,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Ciments artificiels de l’Oranie,oraniecimentsartificiels,name,2,annotation
de-klapka-g,banqueottomane,Banque ottomane,administrateur,1913,"L’Écho des mines et de la métallurgie, 23 octobre 1913",afrique-du-nord-aec-1922-maroc-ba808c,Banque ottomane,marocaine,name,2,annotation
de-la-morandiere-l,colonies,Compagnie Générale des colonies,administrateur,1963,"Doc af., 1963",afrique-occidentale-aec-1951-aof-togo-9a864d,Cie générale des colonies,kaolack,name,2,annotation
de-laboulaye-e,banqueindochine,Banque de l’Indochine,administrateur,1931,"L’Indochine : revue économique d’Extrême-Orient, 5 juin 1931",inde-indochine-ufeo-478e09,Banque de l'Indochine,ufeo,name,2,annotation
de-laet-e,constructionsmecaniques,Constructions mécaniques,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SACM,sacm,acronym,2,annotation
de-lassus-saint-genies-r,grandstravauxmarseillemaroc,Grands Travaux de Marseille -Maroc,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,GTM,grandstravauxmarseillegtm,acronym,2,annotation
de-lastic-saint-jal-j,maurelprom,Maurel et Prom,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Maurel & Prom,etsmaurelprom,name,2,annotation
de-lestang-l,frindoch,Cie fr.-Indoch. ],administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Cie fr.-indoch,francoindochinoise,name,2,annotation
de-maudhuy-b,unionindustriellecreditreconstitution,Union industrielle de crédit pour la reconstitution,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,UIC,unionindustriellecreditreconstitutionuic,acronym,2,annotation
de-mones-del-pujol-g,caissecentralebanquespopulaires,Caisse centrale des banques populaires,administrateur,1969,"Troyes, 1912-Marseille, 1969",afrique-du-nord-aec-1951-maroc-0655fe,Caisse centrale des Banques populaires,entreprisesmaroc,name,2,annotation
de-neuflize-j-jean,banqueimperialeottomane,"Banque impériale ottomane, puis Banque ottomane ou Osmanli Bankasi, 289 p.",administrateur,,,proche-orient-nationale-empire-ottoman-07a70a,Banque impériale ottomane,nationalecommerceindustrieagriculturedansempireottoman,name,2,annotation
de-participations-industrielles-et-detudes-miniere-s,asiatiqueafricaine,Compagnie Asiatique et africaine,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CAA,asiatiqueafricainecaa,acronym,2,annotation
de-patoul-c,financieretransportsentreprisesindustrielles,Société Financière de Transports et d'entreprises industrielles,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SOFINA,sofinafinancieretransportsentreprisesindustrielles,acronym,2,annotation
de-portzanparc-a,banquenationalecommerceindustrieindochine,Banque nationale pour le commerce et l'industrie -Indochine,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,BNCI,banquenationalecommerceindusbnci,acronym,2,annotation
de-portzanparc-a,centraleusinespapierpapeteriesjbweibelreunies,Centrale des Usines à papier et Papeteries J.-B. Weibel réunies,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CENPA,cenpa,acronym,2,annotation
de-rothschild-freres-m,equatorialemines,Compagnie Équatoriale de mines,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CEM,cemelectromecaniqueabsorbee1985paralsthom,acronym,2,annotation
de-saboulin-bollena-p,asiatiqueafricaine,Compagnie Asiatique et africaine,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CAA,asiatiqueafricainecaa,acronym,2,annotation
de-schulthess-page-f,asiatiqueafricaine,Compagnie Asiatique et africaine,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CAA,asiatiqueafricainecaa,acronym,2,annotation
de-sincay-f,vieillemontagne,Vieille Montagne,administrateur,1971,"Saint-Nicolas-de-la-Taille, Seine-Inférieure, 7 juin 1878-Dalat, 1971",inde-indochine-aec-1951-indochine-96799d,Vieille Montagne,minieremetallurgiqueindochine,name,2,annotation
de-tarde-g,banquenationalecommerceindustrieindochine,Banque nationale pour le commerce et l'industrie -Indochine,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,BNCI,banquenationalecommerceindusbnci,acronym,2,annotation
de-tarde-g,banquenationalecommerceindustrie,Banque nationale pour le commerce et l'industrie,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,BNCI-A,banquenationalecommerceindustrieafriquebncialger,acronym,2,annotation
de-vesins-j,minesboudoukha,Société des mines de Boudoukha,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Mines de Boudoukha,minesboudoukhaalg,name,2,annotation
de-vienne-h,etudesexploitationsminieresindochine,Société d'Études et d'exploitations minières de l’Indochine,administrateur,1922,"AEC 1922, p. 678",inde-indochine-commerciale-du-laos-03e51c,SEEMI,commercialelaos,acronym,2,annotation
defaye-r,centralemarocaine,Société Centrale marocaine,administrateur,1926,Annuaire des valeurs de l’Afrique du Nord 1926,afrique-du-nord-lieges-de-la-mamora-4d4f69,Centrale Marocaine,liegesmamora,name,2,annotation
defferriere-p,immobilieresaigon,"Compagnie Générale immobilière de Saïgon, puis du Sud-Asie",administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,COGISA,immobcogisa,acronym,2,annotation
degrain-j,transportsafrique,Compagnie Générale de transports en Afrique,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,CGTA,cgtatransportsafrique,acronym,2,annotation
delalande-l,frindoch,Cie fr.-Indoch. ],administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Cie fr.-indoch,francoindochinoise,name,2,annotation
delalande-l,denisfreres,Denis frères,administrateur,1919,"Le Journal des débats, 2 février 1919",afrique-du-nord-aec-1951-maroc-0655fe,Denis frères,denisfreresmaroc,name,2,annotation
delangle-a,marocaineconstructionmetallique,Société Marocaine de Construction métallique,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,Marocaine Construction métallique,marocaineconstrucmetallique,name,2,annotation
delorme-p,oxygeneacetyleneextremeorient,Société d’Oxygène et d’acétylène d’Extrême-Orient,administrateur,1956,Annuaire Desfossés 1956,empire-desfosses-1956-adm-655dbf,SOAEO,oxygeneacetyleneextremeorientsoaeo,acronym,2,annotation
