source,target,source_name,target_name,weight,shared_companies,source_chamber,target_chamber,same_chamber,mandates_overlap
brelay-e,pietri-f,Émile Brelay,François Pietri,1,Messageries fluviales de Cochinchine,Chamber of Deputies,Chamber of Deputies,1,
brelay-e,robledo-r,Émile Brelay,Romero Robledo,1,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",Chamber of Deputies,Chamber of Deputies,1,
brun-f,pechadre-a,Fernand Brun,Adhémar Péchadre,1,L'Énergie industrielle,Chamber of Deputies,Chamber of Deputies,1,1
calary-de-lamaziere,calary-de-lamaziere-r,Calary de Lamazière,Raoul Marie Louis Calary de Lamazière,1,Société Française du Dahomey,Chamber of Deputies,Chamber of Deputies,1,
calary-de-lamaziere,diagne-b,Calary de Lamazière,Blaise Diagne,1,Société Française du Dahomey,Chamber of Deputies,Chamber of Deputies,1,
calary-de-lamaziere,dugueyt-p,Calary de Lamazière,Paul Dugueyt,1,Éts L,Chamber of Deputies,Chamber of Deputies,1,
calary-de-lamaziere,gaborit-f,Calary de Lamazière,Félix Gaborit,1,Éts L,Chamber of Deputies,Chamber of Deputies,1,
calary-de-lamaziere-r,diagne-b,Raoul Marie Louis Calary de Lamazière,Blaise Diagne,1,Société Française du Dahomey,Chamber of Deputies,Chamber of Deputies,1,1
calary-de-lamaziere-r,hymans-m,Raoul Marie Louis Calary de Lamazière,Max Hymans,1,Cie Générale Transatlantique,Chamber of Deputies,Chamber of Deputies,1,
calary-de-lamaziere-r,marraud-p,Raoul Marie Louis Calary de Lamazière,Pierre Marraud,1,Cie Générale Transatlantique,Chamber of Deputies,Senate,0,1
carnot-e,carnot-f,Ernest Carnot,François Carnot,1,"Société Coloniale de Bambao, puis Comores-Bambao",Chamber of Deputies,Chamber of Deputies,1,0
carnot-e,duboin-j,Ernest Carnot,Jacques DUBOIN,1,Compagnie Asiatique et africaine,Chamber of Deputies,Chamber of Deputies,1,
carnot-e,fleurot-p,Ernest Carnot,Paul Fleurot,1,Entreprises industrielles et minieres,Chamber of Deputies,Senate,0,
carnot-e,lefevre-pontalis-a,Ernest Carnot,Amédée Lefèvre-Pontalis,1,Société des Messageries maritimes,Chamber of Deputies,Chamber of Deputies,1,0
carnot-e,michelot-l,Ernest Carnot,Lucien Michelot,1,Société des Messageries maritimes,Chamber of Deputies,Chamber of Deputies,1,
carnot-e,thierry-j,Ernest Carnot,Joseph Thierry,1,Est-Asiatique français,Chamber of Deputies,Chamber of Deputies,1,1
carnot-f,dumont-c,François Carnot,Charles Dumont,1,"Société Coloniale de Bambao, puis Comores-Bambao",Chamber of Deputies,Chamber of Deputies; Senate,0,
caze-e,edm-caze,Edmond Caze,Edm. Caze,1,Cie Coloniale du Fernan-Vaz,Chamber of Deputies,Chamber of Deputies,1,
caze-e,francois-gastu,Edmond Caze,[François] Gastu,1,Société des Chemins de fer sur routes d'Algérie,Chamber of Deputies,Chamber of Deputies,1,
caze-e,gastu-f-felix,Edmond Caze,François Gastu,1,Société des Chemins de fer sur routes d'Algérie,Chamber of Deputies,Chamber of Deputies,1,
chagnaud-l,charles-roux-j,Léon CHAGNAUD,Jules Charles-Roux,1,Société des Ports marocains de Mehedya-Kenitra et Rabat-Salé,Senate,Chamber of Deputies,0,
chagnaud-l,de-laroche-joubert-e,Léon CHAGNAUD,Edgard de Laroche-Joubert,1,Société des Ports marocains de Mehedya-Kenitra et Rabat-Salé,Senate,Chamber of Deputies,0,
chagnaud-l,giscard-d-estaing-e,Léon CHAGNAUD,Edmond Giscard d'Estaing,1,Ports marocains,Senate,Chamber of Deputies,0,
chagnaud-l,grosdidier-r,Léon CHAGNAUD,Réné Grosdidier,1,Omnium d'entreprises,Senate,Senate,1,
chagnaud-l,michel-l-ludovic,Léon CHAGNAUD,Louis Michel,1,Omnium d'entreprises,Senate,Senate,1,
chanal-e,fiancette-e,Eugène Chanal,Eugène Fiancette,1,Compagnie nationale du Rhône (CNR),Senate,Chamber of Deputies,0,
chanal-e,milan-f,Eugène Chanal,François Milan,1,Compagnie nationale du Rhône (CNR),Senate,Senate,1,
chanal-e,sellier-h,Eugène Chanal,Henri Sellier,1,Compagnie nationale du Rhône (CNR),Senate,Senate,1,
chapsal-f,charlot-e,Fernand Chapsal,Étienne Charlot,1,Distilleries de l’Indochine,Senate,Chamber of Deputies,0,1
chapsal-f,develle-e,Fernand Chapsal,Edmond Develle,1,Banque commerciale et industrielle,Senate,Chamber of Deputies; Senate,0,0
chapsal-f,dumont-c,Fernand Chapsal,Charles Dumont,1,Distilleries de l’Indochine,Senate,Chamber of Deputies; Senate,0,
chapsal-f,hervey-m,Fernand Chapsal,Maurice Hervey,1,"Éts Lucien Delignon, filature et tissage de soie, Phu-Phong, près Binh-dinh",Senate,Senate,1,1
chapsal-f,mauger-e,Fernand Chapsal,Émile Mauger,1,Banque commerciale et industrielle,Senate,Chamber of Deputies,0,0
charles-roux-j,de-laroche-joubert-e,Jules Charles-Roux,Edgard de Laroche-Joubert,1,Société des Ports marocains de Mehedya-Kenitra et Rabat-Salé,Chamber of Deputies,Chamber of Deputies,1,1
charles-roux-j,fould-a,Jules Charles-Roux,Achille Fould,1,Compagnie de Navigation Sud-Atlantique,Chamber of Deputies,Chamber of Deputies,1,0
charlot-e,dumont-c,Étienne Charlot,Charles Dumont,1,Distilleries de l’Indochine,Chamber of Deputies,Chamber of Deputies; Senate,0,
chassaigne-goyon-p,de-laroche-joubert-e,Paul Chassaigne-Goyon,Edgard de Laroche-Joubert,1,Société fusionnée des Lièges des Hamendas et de Petite-Kabylie,Chamber of Deputies,Chamber of Deputies,1,0
chassaigne-goyon-p,laroche-joubert-e,Paul Chassaigne-Goyon,Edmond Laroche-Joubert,1,Société fusionnée des Lièges des Hamendas et de Petite-Kabylie,Chamber of Deputies,Chamber of Deputies,1,1
chaumet-c,simon-s,Charles Chaumet,San Simon,1,Chargeurs réunis,Chamber of Deputies; Senate,Senate,0,
chaumet-c,tasso-h,Charles Chaumet,Henri Tasso,1,Chargeurs réunis,Chamber of Deputies; Senate,Chamber of Deputies,0,
chautard-p,dubois-l,Paul Chautard,Louis Dubois,1,"Union française de fabriques d'engrais, de produits chimiques et de superphosphates, puis Union française d'engrais et de produits chimiques",Chamber of Deputies,Chamber of Deputies,1,
chautard-p,helmer-p,Paul Chautard,Paul-Albert Helmer,1,"Salrem, puis Salrep",Chamber of Deputies,Senate,0,
chautard-p,lambert-e,Paul Chautard,Émile Lambert,1,"Salrem, puis Salrep",Chamber of Deputies,Senate,0,0
chevallier-j,deyron-l,Jack Chevallier,Léon Deyron,1,Domaine du Chapeau de Gendarme,Chamber of Deputies,Chamber of Deputies,1,
codet-j,de-beaumont,Jean Codet,de Beaumont,1,Salins du Sine Saloum,Chamber of Deputies; Senate,Chamber of Deputies,0,
coignet-j,lambert-e,Jean Coignet,Émile Lambert,1,Consortium industriel et commercial de l'Afrique du Nord,Senate,Senate,1,
coignet-j,sorel-j,Jean Coignet,Jean-Louis-Albert Sorel,1,Produits chimiques Coignet,Senate,Chamber of Deputies,0,
combrouze-g,gasparin-l,Gabriel Combrouze,Lucien Gasparin,1,Compagnie française du Togo,Chamber of Deputies,Chamber of Deputies,1,1
corsin-h,legrand-l,Henry Corsin,Louis Legrand,1,Banque de Madagascar,Chamber of Deputies,Chamber of Deputies,1,0
cosnier-h,tournan-i,Henri Cosnier,Isidore Tournan,1,"Cie d'Agriculture, de commerce et d'industrie d’Afrique",Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,1
dassault-m,giscard-d-estaing-e,Marcel Dassault,Edmond Giscard d'Estaing,1,Moteurs et automobiles Lorraine,Chamber of Deputies,Chamber of Deputies,1,
david-j,de-verninac,Jean-Paul David,de Verninac,1,Messageries fluviales de Cochinchine,Chamber of Deputies,Senate,0,
david-j,fourcand-e,Jean-Paul David,E. Fourcand,1,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",Chamber of Deputies,Senate,0,
david-j,palotte-j,Jean-Paul David,J. PALOTTE,1,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",Chamber of Deputies,Senate,0,
david-j,pietri-f,Jean-Paul David,François Pietri,1,Messageries fluviales de Cochinchine,Chamber of Deputies,Chamber of Deputies,1,
david-j,robledo-r,Jean-Paul David,Romero Robledo,1,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",Chamber of Deputies,Chamber of Deputies,1,
david-r,lebon-a-alfred,Robert David,André Lebon,1,Crédit foncier d'Algérie-Tunisie,Chamber of Deputies,Chamber of Deputies,1,
david-r,lebon-p,Robert David,Pierre Lebon,1,Compagnie Foncière de la Méditerranée,Chamber of Deputies,Chamber of Deputies,1,0
de-beaumont,de-beaumont-j,de Beaumont,Jean de Beaumont,1,Compagnie indochinoise de cultures Compagnie du Cambodge,Chamber of Deputies,Chamber of Deputies,1,
de-beaumont,faisant-j,de Beaumont,Joseph Faisant,1,Compagnie indochinoise de cultures Compagnie du Cambodge,Chamber of Deputies,Chamber of Deputies,1,
de-beaumont,galmot-j,de Beaumont,Jean Galmot,1,Transports aériens guyanais,Chamber of Deputies,Chamber of Deputies,1,
de-beaumont,outrey-e,de Beaumont,Ernest Outrey,1,Compagnie indochinoise de cultures Compagnie du Cambodge,Chamber of Deputies,Chamber of Deputies,1,
de-beaumont-j,faisant-j,Jean de Beaumont,Joseph Faisant,1,Compagnie indochinoise de cultures Compagnie du Cambodge,Chamber of Deputies,Chamber of Deputies,1,
de-beaumont-j,lagarrosse-g,Jean de Beaumont,Gaston LAGARROSSE,1,Compagnie Forestière équatoriale,Chamber of Deputies,Senate,0,
de-beaumont-j,outrey-e,Jean de Beaumont,Ernest Outrey,1,Compagnie indochinoise de cultures Compagnie du Cambodge,Chamber of Deputies,Chamber of Deputies,1,
de-beaumont-j,sonnery-r,Jean de Beaumont,René Sonnery,1,Compagnie des Caoutchoucs de Padang,Chamber of Deputies,Chamber of Deputies,1,
de-lareinty,passy-l,de Lareinty,Louis Passy,1,Crédit foncier colonial,Senate,Chamber of Deputies,0,
de-laroche-joubert-e,laroche-joubert-e,Edgard de Laroche-Joubert,Edmond Laroche-Joubert,1,Société fusionnée des Lièges des Hamendas et de Petite-Kabylie,Chamber of Deputies,Chamber of Deputies,1,0
de-monplanet-h,passy-l,Henri de Monplanet,Louis Passy,1,Charbonnages du Tonkin,Chamber of Deputies,Chamber of Deputies,1,
de-monplanet-h,plichon-j,Henri de Monplanet,Jean Plichon,1,Crédit industriel et commercial (CIC),Chamber of Deputies,Chamber of Deputies,1,
de-monplanet-h,simon-s,Henri de Monplanet,San Simon,1,Charbonnages du Tonkin,Chamber of Deputies,Senate,0,
de-monplanet-h,thoumyre-r,Henri de Monplanet,Robert Thoumyre,1,Charbonnages du Tonkin,Chamber of Deputies,Chamber of Deputies; Senate,0,
de-rouvre-c,duchesne-fournet-p,Charles de Rouvre,Pierre Duchesne-Fournet,1,Compagnie des Mines de Falémé-Gambie,Chamber of Deputies,Chamber of Deputies,1,
de-rouvre-c,roulleaux-dugage-h,Charles de Rouvre,Henry Roulleaux-Dugage,1,Compagnie des Mines de Falémé-Gambie,Chamber of Deputies,Chamber of Deputies,1,
de-verninac,pietri-f,de Verninac,François Pietri,1,Messageries fluviales de Cochinchine,Senate,Chamber of Deputies,0,
de-vogue-f,giscard-d-estaing-e,François de Vogüé,Edmond Giscard d'Estaing,1,Société des ports marocains de Méhédya-Port-Lyautey et,Chamber of Deputies,Chamber of Deputies,1,0
de-wendel-f,montaigu-h,FRANÇOIS DE WENDEL,Hubert Montaigu,1,Société marocaine des Éts J.-J. Carnaud et Forges de Basse-Indre,Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,1
decauville-p-pierre,saint-germain-m,Paul Decauville,Marcel Saint- Germain,1,"Decauville aîné, Société, Société nouvelle des Établissements)",Senate,Chamber of Deputies; Senate,0,
delaunay-r,loste-h,Raphaël Delaunay,Henry Loste,1,« Savana »,Chamber of Deputies,Senate,0,
denais-j,lebrun-a,Joseph DENAIS,Albert Lebrun,1,Entrepôts frigorifiques des halles de Paris,Chamber of Deputies,Chamber of Deputies; Senate,0,1
deschanel-p,krantz-c,Paul Deschanel,Camille Krantz,1,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,Chamber of Deputies,Chamber of Deputies,1,
deschanel-p,robaglia-b,Paul Deschanel,Barthélémy Robaglia,1,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,Chamber of Deputies,Chamber of Deputies,1,
deschanel-p,surcouf-r,Paul Deschanel,Robert Surcouf,1,Arsenal de la Marine,Chamber of Deputies,Chamber of Deputies; Senate,0,
develle-e,mauger-e,Edmond Develle,Émile Mauger,1,Banque commerciale et industrielle,Chamber of Deputies; Senate,Chamber of Deputies,0,0
develle-e,richard-a,Edmond Develle,Adrien Richard,1,Éts Quillery,Chamber of Deputies; Senate,Senate,0,
deves-p,durand-reville-l,Paul Devès,Luc Durand-Reville,1,Messageries africaines,Chamber of Deputies; Senate,Senate,0,
deves-p,paul-deves,Paul Devès,[Paul] Devès,1,Compagnie du Chemin de fer de Bône à Guelma et prolongements,Chamber of Deputies; Senate,Senate,0,
deyron-l,saint-germain-m,Léon Deyron,Marcel Saint- Germain,1,Omnium Société générale de mines d'Algérie-Tunisie,Chamber of Deputies,Chamber of Deputies; Senate,0,0
diagne-b,gourdeau-g,Blaise Diagne,Gaston Gourdeau,1,« Francimex »,Chamber of Deputies,Chamber of Deputies,1,1
diagne-b,jourdain-p,Blaise Diagne,Paul Jourdain,1,L'Office du Niger,Chamber of Deputies,Chamber of Deputies; Senate,0,
diagne-b,marin-l,Blaise Diagne,Louis Marin,1,L'Office du Niger,Chamber of Deputies,Chamber of Deputies,1,1
diebolt-weber-m,dion-a,Michel Diebolt-Weber,Albert Dion,1,Société parisienne de machines-outils,Senate,Senate,1,
diebolt-weber-m,mayer-r,Michel Diebolt-Weber,René Mayer,1,Grands Moulins de Pantin-Paris,Senate,Chamber of Deputies,0,
diebolt-weber-m,petit-c,Michel Diebolt-Weber,Claude Petit,1,Grands Moulins de Pantin-Paris,Senate,Chamber of Deputies,0,
dior-l-louis,doumer-p,Lucien Dior,Paul Doumer,1,"L'Industrielle Foncière, puis Industrielle Foncière et Routière",Chamber of Deputies,Chamber of Deputies; Senate,0,1
dior-l-louis,lebon-a-alfred,Lucien Dior,André Lebon,1,"L'Industrielle Foncière, puis Industrielle Foncière et Routière",Chamber of Deputies,Chamber of Deputies,1,
donadei-a,valadier-e,Alfred Donadei,Édouard Valadier,1,Eaux minérales d’Évian-les-Bains,Chamber of Deputies,Senate,0,
donon-m,sabatier-a,Marcel Donon,Auguste Sabatier,1,"Société Meunière du Levant, Damas, Jaffa",Senate,Chamber of Deputies,0,1
doumer-p,lebon-a-alfred,Paul Doumer,André Lebon,1,"L'Industrielle Foncière, puis Industrielle Foncière et Routière",Chamber of Deputies; Senate,Chamber of Deputies,0,
doumer-p,reille-a,Paul Doumer,Amédée Reille,1,Crédit français,Chamber of Deputies; Senate,Chamber of Deputies,0,1
doumer-p,sarraut-a,Paul Doumer,Albert Sarraut,1,Maison des étudiants de l'Indochine à la Cité universitaire de Paris . Succès des étudiants indochinois en France,Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,
dreyfus-l,gavazzi-l,Louis Dreyfus,Louis Gavazzi,1,"Banque italienne d'escompte Banca italiana di sconto, Rome",Chamber of Deputies,Senate,0,
dreyfus-l,leonardi-cattolica-p,Louis Dreyfus,Pascal Leonardi Cattolica,1,"Banque italienne d'escompte Banca italiana di sconto, Rome",Chamber of Deputies,Senate,0,
dreyfus-l,marconi-g,Louis Dreyfus,Guillaume Marconi,1,"Banque italienne d'escompte Banca italiana di sconto, Rome",Chamber of Deputies,Senate,0,
dreyfus-l,rossi-c,Louis Dreyfus,Cesare Rossi,1,"Banque italienne d'escompte Banca italiana di sconto, Rome",Chamber of Deputies,Senate,0,
duboin-j,largier-e,Jacques DUBOIN,Edmond Largier,1,Union électrique rurale,Chamber of Deputies,Chamber of Deputies,1,
duboin-j,robaglia-b,Jacques DUBOIN,Barthélémy Robaglia,1,"Chaux, ciments et matériaux de construction au Maroc",Chamber of Deputies,Chamber of Deputies,1,
dugueyt-p,gaborit-f,Paul Dugueyt,Félix Gaborit,1,Éts L,Chamber of Deputies,Chamber of Deputies,1,
dugueyt-p,rocher-c,Paul Dugueyt,Camille Rocher,1,Compagnie Minière des Pétroles de Madagascar,Chamber of Deputies,Chamber of Deputies,1,1
dumont-c,reille-a,Charles Dumont,Amédée Reille,1,Compagnie Générale des Tabacs,Chamber of Deputies; Senate,Chamber of Deputies,0,
dumont-c,robaglia-b,Charles Dumont,Barthélémy Robaglia,1,Compagnie Générale des Tabacs,Chamber of Deputies; Senate,Chamber of Deputies,0,
dumont-c,rouland-j,Charles Dumont,Julien Rouland,1,Compagnie Générale des Tabacs,Chamber of Deputies; Senate,Chamber of Deputies; Senate,1,
dupont-f,nicolle-l,F. Dupont,Louis Nicolle,1,Banque L. Dupont et Compagnie,Chamber of Deputies,Chamber of Deputies,1,
dupraz-j,saint-germain-m,Johannès Dupraz,Marcel Saint- Germain,1,Descours et Cabaud,Chamber of Deputies,Chamber of Deputies; Senate,0,
durand-reville-l,larche-g,Luc Durand-Reville,Georges Larché,1,Messageries du Sénégal,Senate,Senate,1,
durand-reville-l,lautier-e,Luc Durand-Reville,Eugène Lautier,1,Compagnie Forestière Sangha-Oubangui,Senate,Chamber of Deputies,0,
dutreil-m,roche-j,Maurice Dutreil,Jules Roche,1,Huelva copper and sulfur mines,Chamber of Deputies,Chamber of Deputies,1,
faisant-j,outrey-e,Joseph Faisant,Ernest Outrey,1,Compagnie indochinoise de cultures Compagnie du Cambodge,Chamber of Deputies,Chamber of Deputies,1,
faure-e,molinie-j,Émile-André Faure,Jean Molinié,1,Société française des Nouvelles-Hébrides,Chamber of Deputies,Chamber of Deputies,1,1
feray-j,giraud-h-henry,Jacques Feray,Hubert Giraud,1,Compagnie marocaine,Chamber of Deputies; Senate,Chamber of Deputies,0,0
fiancette-e,milan-f,Eugène Fiancette,François Milan,1,Compagnie nationale du Rhône (CNR),Chamber of Deputies,Senate,0,
fiancette-e,sellier-h,Eugène Fiancette,Henri Sellier,1,Compagnie nationale du Rhône (CNR),Chamber of Deputies,Senate,0,
fleurot-p,heuzey-c,Paul Fleurot,Charles Heuzey,1,Entreprises industrielles et minieres,Senate,Chamber of Deputies,0,
flory-c,morel-j,Charles Flory,Jean Morel,1,Société des Moulins du Maghreb,Senate,Senate,1,
fould-a,francois-marsal-f,Achille Fould,Frédéric FRANÇOIS-MARSAL,1,Banque privée,Chamber of Deputies,Senate,0,
fould-a,reille-x,Achille Fould,Xavier Reille,1,Banque privée,Chamber of Deputies,Chamber of Deputies,1,
fourcand-e,palotte-j,E. Fourcand,J. PALOTTE,1,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",Senate,Senate,1,
fourcand-e,robledo-r,E. Fourcand,Romero Robledo,1,"Banque européenne, Bruxelles, Paris. Tentative de reprise des domaines agricoles et de la concession de ramassage d'alfa de la Compagnie franco-algérienne",Senate,Chamber of Deputies,0,
fournier-p-paul,saint-germain-m,Pierre Fournier,Marcel Saint- Germain,1,Compagnie algérienne,Chamber of Deputies,Chamber of Deputies; Senate,0,
fournier-sarloveze-r,reille-a,Robert Fournier-Sarlovèze,Amédée Reille,1,Société Pyrénéenne d'Énergie électrique,Chamber of Deputies,Chamber of Deputies,1,1
fournier-sarloveze-r,reille-x,Robert Fournier-Sarlovèze,Xavier Reille,1,Société Pyrénéenne d'Énergie électrique,Chamber of Deputies,Chamber of Deputies,1,
francois-gastu,gastu-f-felix,[François] Gastu,François Gastu,1,Société des Chemins de fer sur routes d'Algérie,Chamber of Deputies,Chamber of Deputies,1,
francois-marsal-f,manaut-f,Frédéric FRANÇOIS-MARSAL,Frédéric-Victor-Adolphe MANAUT,1,Banque commerciale africaine,Senate,Chamber of Deputies,0,
francois-marsal-f,milan-f,Frédéric FRANÇOIS-MARSAL,François Milan,1,"Bénard et Jarislovsky, puis Bénard frères et Cie",Senate,Senate,1,
francois-marsal-f,reille-x,Frédéric FRANÇOIS-MARSAL,Xavier Reille,1,Banque privée,Senate,Chamber of Deputies,0,
franklin-bouillon-h,lautier-e,Henry Franklin-Bouillon,Eugène Lautier,1,La Mutuelle de France et des Colonies,Chamber of Deputies,Chamber of Deputies,1,1
fremy-l,talabot-p,Louis Frémy,Paulin Talabot,1,Cie des minerais de fer magnétiques de Mokta-el-Hadid,Chamber of Deputies,Chamber of Deputies,1,
fremy-l,teisserenc-de-bort-l,Louis Frémy,TEISSERENC DE BORT,1,Cie des minerais de fer magnétiques de Mokta-el-Hadid,Chamber of Deputies,Senate,0,
gaulle-p,loste-h,Pierre Gaulle,Henry Loste,1,Société Immobilière et financière africaine,Chamber of Deputies,Senate,0,
gavazzi-l,leonardi-cattolica-p,Louis Gavazzi,Pascal Leonardi Cattolica,1,"Banque italienne d'escompte Banca italiana di sconto, Rome",Senate,Senate,1,
gavazzi-l,marconi-g,Louis Gavazzi,Guillaume Marconi,1,"Banque italienne d'escompte Banca italiana di sconto, Rome",Senate,Senate,1,
gavazzi-l,rossi-c,Louis Gavazzi,Cesare Rossi,1,"Banque italienne d'escompte Banca italiana di sconto, Rome",Senate,Senate,1,
georges-b,robert-p-paul,Barthélémy Georges,Pierre Robert,1,Societe francaise des Cotons africains,Chamber of Deputies,Senate,0,
georges-b,viollette-m,Barthélémy Georges,Maurice VIOLLETTE,1,Societe francaise des Cotons africains,Chamber of Deputies,Chamber of Deputies; Senate,0,
gerard-a-auguste,laroze-p,Albert Gérard,Pierre Laroze,1,Banque de l’Indochine,Senate,Chamber of Deputies,0,0
gerard-a-auguste,michelot-l,Albert Gérard,Lucien Michelot,1,Banque de l’Indochine,Senate,Chamber of Deputies,0,
gerard-a-auguste,simon-s,Albert Gérard,San Simon,1,Banque de l’Indochine,Senate,Senate,1,
gerard-f,villain-h,François Gérard,Henri Villain,1,Compagnie des Chemins de fer de l'Ouest-Algérien,Chamber of Deputies,Chamber of Deputies,1,
giraud-h-henry,talabot-p,Hubert Giraud,Paulin Talabot,1,Société générale de transports maritimes à vapeur,Chamber of Deputies,Chamber of Deputies,1,
giscard-d-estaing-e,lasserre-m,Edmond Giscard d'Estaing,Maurice Lasserre,1,Crédit marocain,Chamber of Deputies,Chamber of Deputies,1,
giscard-d-estaing-e,robaglia-b,Edmond Giscard d'Estaing,Barthélémy Robaglia,1,Crédit foncier de l'Ouest-Africain,Chamber of Deputies,Chamber of Deputies,1,0
grosdidier-r,michel-l-ludovic,Réné Grosdidier,Louis Michel,1,Omnium d'entreprises,Senate,Senate,1,
guy-de-wendel,lebrun-a,Guy de Wendel,Albert Lebrun,1,Charbonnages de Beeringen,Chamber of Deputies,Chamber of Deputies; Senate,0,1
guy-de-wendel,michel-c,Guy de Wendel,Charles Michel,1,Compagnie Métallurgique et minière franco-marocaine,Chamber of Deputies,Chamber of Deputies; Senate,0,1
guy-de-wendel,reille-x,Guy de Wendel,Xavier Reille,1,Compagnie Métallurgique et minière franco-marocaine,Chamber of Deputies,Chamber of Deputies,1,
guy-de-wendel,sabatier-a,Guy de Wendel,Auguste Sabatier,1,"Société Meunière du Levant, Damas, Jaffa",Chamber of Deputies,Chamber of Deputies,1,0
hayez-p,manaut-r,Paul Hayez,René-Victor Manaut,1,L’Électrique Lille-Roubaix-Tourcoing,Chamber of Deputies; Senate,Chamber of Deputies,0,0
helmer-p,lambert-e,Paul-Albert Helmer,Émile Lambert,1,"Salrem, puis Salrep",Senate,Senate,1,
hymans-m,marraud-p,Max Hymans,Pierre Marraud,1,Cie Générale Transatlantique,Chamber of Deputies,Senate,0,
j-rouillon-a,muller-e,Alfredo J. Rouillon,Édouard Muller,1,Banque alsacienne de Paris,Chamber of Deputies,Chamber of Deputies,1,
jenouvrier-l,michel-c,Léon Jenouvrier,Charles Michel,1,"Union espagnole de fabriques d'engrais, de produits chimiques et de superphosphates",Senate,Chamber of Deputies; Senate,0,1
josse-p,prosper-josse,Prosper Josse,[Prosper] Josse,1,Afrique et Congo,Chamber of Deputies; Senate,Senate,0,
jourdain-p,marin-l,Paul Jourdain,Louis Marin,1,L'Office du Niger,Chamber of Deputies; Senate,Chamber of Deputies,0,
krantz-c,robaglia-b,Camille Krantz,Barthélémy Robaglia,1,Compagnie du Chemin de fer franco-éthiopien de Djibouti à Addis-Abeba,Chamber of Deputies,Chamber of Deputies,1,0
krantz-c,vincent-a,Camille Krantz,Adolphe Vincent,1,Compagnie du Maroc,Chamber of Deputies,Chamber of Deputies,1,
lambert-c,langlois-m,Charles Lambert,Maurice LANGLOIS,1,Société rizicole de Battambang ou Rizicole de Battambang,Chamber of Deputies,Senate,0,1
lambert-c,outrey-e,Charles Lambert,Ernest Outrey,1,Société Foncière du Cambodge,Chamber of Deputies,Chamber of Deputies,1,1
lambert-c,outrey-m,Charles Lambert,Max OUTREY,1,Société Foncière du Cambodge,Chamber of Deputies,Chamber of Deputies,1,1
lambert-e,meunier-a,Émile Lambert,Albert Meunier,1,Compagnie Équatoriale de mines,Senate,Senate,1,
laroze-p,michelot-l,Pierre Laroze,Lucien Michelot,1,Banque de l’Indochine,Chamber of Deputies,Chamber of Deputies,1,
laroze-p,simon-s,Pierre Laroze,San Simon,1,Banque de l’Indochine,Chamber of Deputies,Senate,0,
lautier-e,paris-l,Eugène Lautier,L. C. P. Pâris,1,"Oriental Carpet Manufacturers, Ltd",Chamber of Deputies,Chamber of Deputies,1,
le-cesne-j-jules,repiquet-g,Jules Le Cesne,G. Repiquet,1,Banque de l'Afrique occidentale,Chamber of Deputies,Senate,0,
le-cesne-j-jules,simon-s,Jules Le Cesne,San Simon,1,Banque de l'Afrique occidentale,Chamber of Deputies,Senate,0,
lebon-a-alfred,lebon-p,André Lebon,Pierre Lebon,1,"Compagnie Centrale d'Éclairage par le gaz, puis Compagnie Lebon",Chamber of Deputies,Chamber of Deputies,1,
lebon-a-alfred,messimy-a,André Lebon,Adolphe-Marie Messimy,1,Compagnie Générale des colonies,Chamber of Deputies,Chamber of Deputies; Senate,0,
lebon-a-alfred,petit-c,André Lebon,Claude Petit,1,Crédit foncier d'Orient,Chamber of Deputies,Chamber of Deputies,1,
lebon-p,robbe-f-ferdinand,Pierre Lebon,Fernand Robbe,1,Éts Robbe fr,Chamber of Deputies,Chamber of Deputies,1,0
lebon-p,rouland-j,Pierre Lebon,Julien Rouland,1,Immeubles de France,Chamber of Deputies,Chamber of Deputies; Senate,0,1
lebon-p,thoumyre-r,Pierre Lebon,Robert Thoumyre,1,Éts Robbe fr,Chamber of Deputies,Chamber of Deputies; Senate,0,1
lebrun-a,wendel-g,Albert Lebrun,Guy Wendel,1,Charbonnages de Beeringen,Chamber of Deputies; Senate,Chamber of Deputies,0,1
lederlin-p,livry-level-p,Paul Lederlin,Philippe Livry-Level,1,G.-H. Mumm,Senate,Chamber of Deputies,0,0
lefevre-pontalis-a,michelot-l,Amédée Lefèvre-Pontalis,Lucien Michelot,1,Société des Messageries maritimes,Chamber of Deputies,Chamber of Deputies,1,
leonardi-cattolica-p,marconi-g,Pascal Leonardi Cattolica,Guillaume Marconi,1,"Banque italienne d'escompte Banca italiana di sconto, Rome",Senate,Senate,1,
