doc_id,pdf_url,entry_type,name_normalised,sector,country,region,year_start,year_end,title_raw
afrique-du-nord-secteur-marocain-eclairage-e05fdf,https://entreprises-coloniales.fr/afrique-du-nord/Secteur_marocain_eclairage.pdf,company,Secteur marocain d’éclairage et de force,"Eau, gaz, électricité (Utilities)",Maroc,Maroc,1927,1931,Secteur marocain d’éclairage et de force (1927-1931)
afrique-du-nord-sefan-fedhala-ec63b8,https://entreprises-coloniales.fr/afrique-du-nord/SEFAN-Fedhala.pdf,company,Société des Entrepôts frigorifiques de l'Afrique du Nord,Industries agro-alimentaires,Maroc,Maroc,,,"Entrepôts frigorifiques de l'Afrique du Nord (Société des)(SEFAN), Fedhala"
afrique-du-nord-semcam-1baf5b,https://entreprises-coloniales.fr/afrique-du-nord/SEMCAM.pdf,company,"Société d'Études marocaines pour le commerce, l'agriculture et les mines","Banques, groupes financiers, assureurs",Maroc,Maroc,,,"Études marocaines pour le commerce, l'agriculture et les mines (Société d')"
afrique-du-nord-setam-casablanca-2d7a3b,https://entreprises-coloniales.fr/afrique-du-nord/SETAM-Casablanca.pdf,company,Société d’Études et de Travaux d'art du Maroc,"Bâtiment et travaux publics, matériaux de construction, céramique",Maroc,Maroc,1921,,"Études et de Travaux d'art du Maroc (Société d’)(1921), Casablanca"
afrique-du-nord-setcm-647438,https://entreprises-coloniales.fr/afrique-du-nord/SETCM.pdf,company,Société d’Études et de Travaux de construction du Maroc,"Bâtiment et travaux publics, matériaux de construction, céramique",Maroc,Maroc,1920,1923,Études et de Travaux de construction du Maroc (Société d’)(1920-1923)
afrique-du-nord-sevam-casablanca-a2fe80,https://entreprises-coloniales.fr/afrique-du-nord/SEVAM-Casablanca.pdf,company,Exploitation de verrerie au Maroc (souvent,Industries chimiques,Maroc,Maroc,,,"Exploitation de verrerie au Maroc (souvent : Exploitation de verreries au Maroc)(Société d')(SEVAM)(1934), Casablanca"
afrique-du-nord-sidi-moussa-el-harati-aca77a,https://entreprises-coloniales.fr/afrique-du-nord/Sidi-Moussa_El_Harati.pdf,company,Société agricole et commerciale de Sidi-Moussa El Harati,Industries agro-alimentaires,Maroc,Maroc,,,"Sidi-Moussa El Harati (Société agricole et commerciale de) : élevage de chèvres, fromagerie"
afrique-du-nord-sidi-moussa-f26273,https://entreprises-coloniales.fr/afrique-du-nord/Sidi-Moussa.pdf,company,"Sidi-Moussa, puis Société cotonnière au Maroc",Industries agro-alimentaires,Maroc,Maroc,,,"Sidi-Moussa, puis Société cotonnière au Maroc"
afrique-du-nord-silyma-8c3249,https://entreprises-coloniales.fr/afrique-du-nord/Silyma.pdf,company,Société Immobilière Lyonnaise Marocaine,Sociétés foncières et immobilières,Maroc,Maroc,,,Immobilière Lyonnaise Marocaine (Société)
afrique-du-nord-simpa-casablanca-96453d,https://entreprises-coloniales.fr/afrique-du-nord/SIMPA-Casablanca.pdf,company,"Société Industrielle Marocaine de Produits alimentaires, Casabanca",Industries agro-alimentaires,Maroc,Maroc,,,"Industrielle Marocaine de Produits alimentaires (Société)(SIMPA), Casabanca"
afrique-du-nord-smact-casablanca-08ff42,https://entreprises-coloniales.fr/afrique-du-nord/SMACT-Casablanca.pdf,company,"Société Marocaine d'Affrètement, de consignation et de transit, Casablanca, Port-Lyautey","Transports maritimes, fluviaux et aériens",Maroc,Maroc,1932,,"Marocaine d'Affrètement, de consignation et de transit (Société)(SMACT)(S.A., 1932), Casablanca, Port-Lyautey"
afrique-du-nord-smcm-barbie-8058b8,https://entreprises-coloniales.fr/afrique-du-nord/SMCM-Barbie.pdf,company,Société Marocaine de Construction métallique,"Bâtiment et travaux publics, matériaux de construction, céramique",Maroc,Maroc,1930,,Marocaine de Construction métallique (Société)(Anc. Éts Jean Barbié)(1930)
